;Time;Thrust;BEM pressure;N2O pressure
0;0.0;16849;1;2742
1;0.007905006408691406;16822;0;2737
2;0.015152215957641602;16838;1;2755
3;0.022396087646484375;16824;0;2747
4;0.029636859893798828;16825;0;2747
5;0.03686189651489258;16813;1;2741
6;0.044106245040893555;16824;1;2751
7;0.051343679428100586;16813;1;2752
8;0.05859184265136719;16820;0;2748
9;0.06583809852600098;16796;0;2738
10;0.07308387756347656;16783;1;2746
11;0.08034229278564453;16795;0;2749
12;0.08761334419250488;16827;0;2725
13;0.09488868713378906;16800;1;2751
14;0.10213398933410645;16801;0;2756
15;0.1093747615814209;16788;0;2744
16;0.1166238784790039;16779;0;2746
17;0.12386560440063477;16776;0;2753
18;0.13110709190368652;16779;0;2751
19;0.13834738731384277;16799;0;2738
20;0.14559650421142578;16806;1;2713
21;0.1528458595275879;16800;0;2752
22;0.16009068489074707;16800;1;2749
23;0.16733264923095703;16808;1;2751
24;0.17459607124328613;16788;1;2739
25;0.18184542655944824;16823;1;2742
26;0.18909072875976562;16818;1;2752
27;0.19633269309997559;16809;0;2737
28;0.20357966423034668;16816;0;2734
29;0.2108292579650879;16817;0;2740
30;0.2180783748626709;16833;1;2749
31;0.22531795501708984;16836;0;2747
32;0.23256206512451172;16827;0;2746
33;0.23981642723083496;16811;0;2740
34;0.24706292152404785;16803;0;2754
35;0.25430965423583984;16825;0;2749
36;0.26156091690063477;16817;1;2739
37;0.26880788803100586;16809;1;2747
38;0.27605152130126953;16790;0;2746
39;0.28328537940979004;16799;0;2734
40;0.29157137870788574;16788;1;2747
41;0.2988440990447998;16788;1;2752
42;0.3060941696166992;16782;1;2735
43;0.3133366107940674;16784;0;2750
44;0.32058143615722656;16758;0;2751
45;0.32782864570617676;16788;1;2736
46;0.33507823944091797;16763;1;2745
47;0.34232234954833984;16783;0;2747
48;0.3495638370513916;16805;0;2758
49;0.3568077087402344;16811;0;2743
50;0.36405086517333984;16795;0;2741
51;0.37129735946655273;16811;1;2740
52;0.37854647636413574;16807;1;2738
53;0.38579368591308594;16817;0;2734
54;0.39304184913635254;16819;1;2744
55;0.40029168128967285;16826;1;2739
56;0.407543420791626;16855;0;2733
57;0.41478419303894043;16837;1;2748
58;0.4220290184020996;16834;0;2741
59;0.42927122116088867;16821;1;2751
60;0.4365122318267822;16823;1;2738
61;0.4437563419342041;16818;0;2733
62;0.4510049819946289;16804;1;2747
63;0.4582517147064209;16816;1;2739
64;0.4654977321624756;16814;1;2738
65;0.4727909564971924;16776;0;2744
66;0.4800410270690918;16814;0;2731
67;0.4872879981994629;16813;1;2750
68;0.4945244789123535;16792;0;2740
69;0.5017673969268799;16793;1;2743
70;0.509014368057251;16787;0;2734
71;0.5162582397460938;16774;0;2740
72;0.5235047340393066;16777;0;2747
73;0.5307402610778809;16772;0;2748
74;0.5379893779754639;16790;1;2739
75;0.5452325344085693;16810;0;2741
76;0.5524766445159912;16805;0;2733
77;0.5597186088562012;16811;0;2733
78;0.5669636726379395;16810;1;2746
79;0.5742099285125732;16806;1;2732
80;0.5814604759216309;16809;0;2744
81;0.5887048244476318;16810;1;2752
82;0.5959529876708984;16812;0;2755
83;0.6032025814056396;16835;2;2732
84;0.6104526519775391;16829;0;2749
85;0.6190431118011475;16816;0;2748
86;0.6287825107574463;16822;0;2744
87;0.6385295391082764;16825;0;2723
88;0.6483221054077148;16797;0;2745
89;0.6580629348754883;16802;1;2740
90;0.6677896976470947;16791;0;2737
91;0.6775350570678711;16807;1;2743
92;0.687269926071167;16819;0;2737
93;0.6970434188842773;16798;0;2738
94;0.7067844867706299;16805;1;2742
95;0.7165451049804688;16794;0;2745
96;0.7263336181640625;16808;0;2743
97;0.7360825538635254;16814;2;2741
98;0.7458295822143555;16814;0;2744
99;0.7555816173553467;16822;0;2744
100;0.7653367519378662;16825;0;2714
101;0.7750957012176514;16803;1;2742
102;0.7848527431488037;16820;1;2748
103;0.7946186065673828;16814;0;2750
104;0.8043804168701172;16820;1;2734
105;0.8141381740570068;16812;0;2737
106;0.8239047527313232;16795;2;2737
107;0.833648681640625;16809;1;2728
108;0.8433902263641357;16795;0;2743
109;0.8531363010406494;16789;1;2748
110;0.8628847599029541;16770;1;2730
111;0.8726413249969482;16788;1;2752
112;0.8823871612548828;16800;0;2737
113;0.8921399116516113;16786;0;2727
114;0.9018838405609131;16786;0;2735
115;0.911656379699707;16806;1;2750
116;0.9214386940002441;16802;0;2740
117;0.9311881065368652;16797;0;2739
118;0.940932035446167;16811;0;2737
119;0.9507067203521729;16805;1;2738
120;0.9604675769805908;16808;1;2705
121;0.9702258110046387;16814;1;2737
122;0.9799857139587402;16838;1;2743
123;0.989753246307373;16824;1;2739
124;0.9995152950286865;16821;0;2743
125;1.0092639923095703;16808;0;2738
126;1.019059419631958;16826;0;2743
127;1.0287930965423584;16825;1;2744
128;1.0385973453521729;16808;0;2743
129;1.0483958721160889;16801;0;2745
130;1.0581457614898682;16793;1;2742
131;1.0678880214691162;16794;0;2733
132;1.0776371955871582;16791;1;2748
133;1.0874137878417969;16803;1;2733
134;1.097151279449463;16783;0;2734
135;1.1068954467773438;16780;0;2736
136;1.116663932800293;16796;1;2745
137;1.1264042854309082;16805;1;2749
138;1.1361415386199951;16812;0;2739
139;1.1458840370178223;16804;1;2735
140;1.155639886856079;16811;0;2733
141;1.1653845310211182;16817;0;2748
142;1.1751387119293213;16815;0;2758
143;1.1849086284637451;16818;0;2752
144;1.1946520805358887;16826;1;2754
145;1.204394817352295;16813;-1;2742
146;1.214141845703125;16820;1;2737
147;1.2239582538604736;16797;1;2738
148;1.2337284088134766;16803;0;2745
149;1.2435009479522705;16796;1;2736
150;1.253262996673584;16789;0;2737
151;1.2630107402801514;16793;1;2742
152;1.2727556228637695;16777;1;2740
153;1.2825031280517578;16779;1;2716
154;1.2922556400299072;16781;0;2732
155;1.3033459186553955;16777;1;2730
156;1.31313157081604;16789;0;2746
157;1.3228745460510254;16810;0;2746
158;1.3326292037963867;16802;0;2744
159;1.3423845767974854;16809;1;2745
160;1.352121353149414;16801;0;2725
161;1.361863374710083;16815;1;2735
162;1.3716447353363037;16812;1;2735
163;1.3813846111297607;16810;1;2745
164;1.3911337852478027;16842;1;2744
165;1.400879144668579;16832;0;2733
166;1.4106547832489014;16816;1;2728
167;1.4203948974609375;16826;1;2735
168;1.4301393032073975;16796;1;2745
169;1.4398832321166992;16808;0;2744
170;1.4496324062347412;16799;1;2744
171;1.4593863487243652;16799;1;2743
172;1.4691369533538818;16777;0;2733
173;1.4788851737976074;16792;1;2732
174;1.4886345863342285;16796;1;2733
175;1.4984068870544434;16798;1;2741
176;1.5081422328948975;16798;0;2729
177;1.5179052352905273;16805;0;2737
178;1.5276434421539307;16797;0;2739
179;1.537367582321167;16795;-1;2733
180;1.5471382141113281;16807;1;2711
181;1.5568821430206299;16822;0;2746
182;1.566636562347412;16810;1;2735
183;1.5763850212097168;16846;0;2740
184;1.5861320495605469;16797;0;2739
185;1.5958788394927979;16812;1;2743
186;1.6056368350982666;16816;0;2743
187;1.6153838634490967;16807;0;2739
188;1.625152349472046;16795;0;2746
189;1.6349494457244873;16798;1;2728
190;1.644698143005371;16812;0;2734
191;1.6544561386108398;16793;1;2753
192;1.6642217636108398;16779;0;2725
193;1.673985242843628;16807;0;2722
194;1.6837658882141113;16796;0;2749
195;1.6935105323791504;16816;0;2733
196;1.7032623291015625;16799;0;2746
197;1.713005542755127;16798;0;2736
198;1.722780466079712;16800;1;2744
199;1.7325263023376465;16816;1;2743
200;1.7422685623168945;16811;0;2728
201;1.752009630203247;16795;0;2739
202;1.7617590427398682;16820;1;2746
203;1.7715044021606445;16830;0;2747
204;1.7812461853027344;16809;0;2744
205;1.7909836769104004;16825;0;2752
206;1.800743818283081;16802;0;2748
207;1.8105261325836182;16811;1;2731
208;1.820305585861206;16799;1;2746
209;1.830033540725708;16817;0;2743
210;1.8397648334503174;16787;0;2733
211;1.8495097160339355;16782;0;2750
212;1.859262466430664;16786;1;2733
213;1.8690025806427002;16804;0;2723
214;1.8787477016448975;16801;0;2735
215;1.8885085582733154;16813;1;2740
216;1.8982625007629395;16823;0;2749
217;1.9080066680908203;16802;0;2731
218;1.9177544116973877;16810;0;2734
219;1.9275307655334473;16823;0;2730
220;1.9372735023498535;16820;0;2738
221;1.9470551013946533;16831;0;2742
222;1.9567859172821045;16819;0;2742
223;1.9665353298187256;16815;1;2734
224;1.976325273513794;16824;1;2737
225;1.9860811233520508;16820;0;2746
226;1.9958398342132568;16816;0;2722
227;2.0056095123291016;16866;0;2747
228;2.015683889389038;16795;1;2771
229;2.025486946105957;16813;0;2780
230;2.0352137088775635;16780;1;2800
231;2.0449910163879395;16770;0;2799
232;2.0547444820404053;16773;0;2785
233;2.064504861831665;16784;1;2777
234;2.074256420135498;16788;0;2788
235;2.0839974880218506;16783;0;2777
236;2.093757152557373;16823;0;2770
237;2.1035056114196777;16856;0;2626
238;2.113257884979248;17289;1;2632
239;2.123025894165039;17582;1;2614
240;2.1327662467956543;17103;1;2569
241;2.142512321472168;17571;1;2613
242;2.152257204055786;17388;0;2485
243;2.162004232406616;17493;1;2576
244;2.1717543601989746;17888;0;2555
