;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;9;12736;31;18175
1;0.015361785888671875;12;12736;32;18231
2;0.029808998107910156;-8;12736;32;18311
3;0.04402899742126465;2;12732;33;18235
4;0.058270931243896484;12;12733;33;18264
5;0.07257699966430664;-2;12734;31;18352
6;0.08688211441040039;16;12734;32;18506
7;0.10114121437072754;14;12732;31;18418
8;0.11539626121520996;12;12734;32;18279
9;0.12973523139953613;-2;12750;31;18180
10;0.1440742015838623;7;12733;31;18156
11;0.15835046768188477;3;12736;33;18230
12;0.17257356643676758;17;12754;31;18211
13;0.1869373321533203;6;12745;31;18346
14;0.2011585235595703;16;12731;32;18304
15;0.215348482131958;-1;12735;32;18251
16;0.22991466522216797;6;12756;32;18258
17;0.24419260025024414;12;12758;32;18280
18;0.25835275650024414;5;12734;32;18246
19;0.27260565757751465;12;12734;31;18277
20;0.28696680068969727;-7;12756;31;18234
21;0.30121684074401855;6;12755;31;18265
22;0.3154447078704834;8;12734;32;18395
23;0.3298797607421875;7;12733;32;18366
24;0.34413909912109375;-4;12756;34;18371
25;0.35840892791748047;10;12736;32;18287
26;0.37270617485046387;-4;12741;31;18330
27;0.38703107833862305;3;12749;31;18211
28;0.40129709243774414;-5;12757;33;18182
29;0.4155261516571045;11;12757;33;18236
30;0.4298422336578369;14;12733;32;18272
31;0.4441232681274414;6;12733;31;18300
32;0.4583754539489746;7;12735;32;18186
33;0.4726254940032959;-1;12755;32;18233
34;0.48700451850891113;2;12756;32;18245
35;0.5013105869293213;7;12734;33;18215
36;0.5154995918273926;-4;12742;30;18279
37;0.5298266410827637;3;12732;33;18245
38;0.5440876483917236;1;12756;31;18337
39;0.5582597255706787;-10;12733;32;18290
40;0.5725617408752441;-1;12743;30;18240
41;0.5868957042694092;-6;12734;33;18184
42;0.6011748313903809;10;12735;31;18172
43;0.615386962890625;4;12738;32;18118
44;0.6297628879547119;12;12746;33;18285
45;0.6440060138702393;-7;12740;32;18295
46;0.6612226963043213;13;12754;33;18274
47;0.680060863494873;3;12730;31;18246
48;0.6987736225128174;7;12756;32;18196
49;0.7175328731536865;2;12739;33;18135
50;0.7362823486328125;8;12757;32;18064
51;0.7550606727600098;-7;12710;32;18106
52;0.7737841606140137;-5;12718;31;18183
53;0.8032519817352295;11;12759;32;18162
54;0.8219895362854004;-3;12735;32;18226
55;0.8407278060913086;7;12733;32;18170
56;0.8573405742645264;6;12738;32;18114
57;0.8716535568237305;10;12735;31;18051
58;0.8859827518463135;-8;12711;32;18048
59;0.9003145694732666;14;12733;31;18128
60;0.9145476818084717;-3;12734;31;18230
61;0.9289498329162598;-2;12751;31;18203
62;0.9433259963989258;11;12757;31;18160
63;0.9575717449188232;1;12756;32;18144
64;0.9717991352081299;6;12735;30;18207
65;0.9861299991607666;10;12732;32;18216
66;1.000452995300293;6;12732;32;18235
67;1.0161707401275635;0;12712;31;18222
68;1.0305328369140625;0;12733;32;18289
69;1.044785976409912;14;12757;32;18218
70;1.0590767860412598;-3;12757;31;18344
71;1.0733561515808105;-5;12733;31;18279
72;1.0875699520111084;19;12755;31;18261
73;1.1018660068511963;-8;12741;31;18250
74;1.1161301136016846;-5;12757;31;18204
75;1.1305060386657715;11;12753;31;18247
76;1.1447811126708984;22;12735;32;18247
77;1.159088134765625;15;12734;32;18248
78;1.1734092235565186;9;12730;32;18268
79;1.1964762210845947;-6;12736;32;18240
80;1.2138276100158691;15;12754;32;18281
81;1.2280387878417969;-2;12736;32;18349
82;1.242532730102539;4;12734;32;18290
83;1.2567939758300781;20;12740;32;18296
84;1.271019697189331;22;12748;31;18269
85;1.2852609157562256;15;12753;31;18289
86;1.2996399402618408;1;12732;32;18411
87;1.3138577938079834;10;12756;32;18399
88;1.3281199932098389;-2;12744;31;18329
89;1.342466115951538;-1;12732;31;18317
90;1.3567900657653809;-6;12733;32;18306
91;1.37107515335083;-6;12759;32;18324
92;1.3853120803833008;0;12733;32;18347
93;1.399670124053955;10;12748;32;18255
94;1.41391921043396;-5;12755;31;18195
95;1.4281671047210693;8;12733;33;18208
96;1.442479133605957;14;12731;32;18210
97;1.4567923545837402;9;12745;31;18329
98;1.4710602760314941;15;12734;32;18352
99;1.48526930809021;10;12735;32;18310
100;1.4996464252471924;3;12755;31;18236
101;1.5138335227966309;1;12744;32;18184
102;1.5280766487121582;-2;12742;31;18167
