;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;-2015;-379;10593;27984
1;0.015550613403320312;-2015;-377;10594;27978
2;0.02970576286315918;-2015;-364;10574;27977
3;0.04432249069213867;-2016;-364;10571;27980
4;0.05852341651916504;-2016;-374;10572;27984
5;0.07282495498657227;-2016;-360;10572;27980
6;0.08709573745727539;-2015;-387;10572;27976
7;0.10136675834655762;-2016;-372;10583;27978
8;0.1156625747680664;-2016;-376;10594;27981
9;0.12987542152404785;-2015;-375;10572;27980
10;0.1441650390625;-2015;-372;10595;27981
11;0.15837788581848145;-2015;-368;10594;27981
12;0.17259764671325684;-2015;-392;10552;27979
13;0.18686771392822266;-2015;-363;10572;27978
14;0.20219945907592773;-2015;-366;10595;27984
15;0.21658730506896973;-2016;-371;10596;27981
16;0.2307450771331787;-2016;-378;10572;27978
17;0.24497580528259277;-2015;-371;10588;27978
18;0.2592484951019287;-2015;-382;10572;27979
19;0.27357053756713867;-2015;-374;10573;27981
20;0.2877802848815918;-2015;-374;10596;27983
21;0.30199122428894043;-2016;-385;10585;27983
22;0.31633996963500977;-2015;-378;10595;27977
23;0.3306307792663574;-2015;-369;10595;27976
24;0.34487056732177734;-2015;-381;10573;27981
25;0.35921454429626465;-2016;-381;10594;27981
26;0.3735322952270508;-2015;-375;10572;27980
27;0.38783717155456543;-2015;-375;10575;27984
28;0.40204286575317383;-2015;-373;10596;27981
29;0.41629672050476074;-2016;-366;10589;27979
30;0.4305887222290039;-2015;-391;10586;27979
31;0.44481849670410156;-2016;-378;10595;27979
32;0.4590790271759033;-2015;-381;10571;27981
33;0.47339320182800293;-2015;-368;10595;27981
34;0.487703800201416;-2016;-363;10573;27977
35;0.501922607421875;-2016;-358;10572;27978
36;0.5161993503570557;-2015;-387;10596;27979
37;0.5304772853851318;-2015;-376;10594;27980
38;0.5447149276733398;-2015;-370;10573;27979
39;0.5589239597320557;-2015;-374;10595;27980
40;0.5731997489929199;-2014;-372;10572;27981
41;0.587383508682251;-2015;-368;10571;27976
42;0.6015863418579102;-2014;-378;10571;27977
43;0.615828275680542;-2015;-367;10595;27982
44;0.6300768852233887;-2015;-376;10573;27982
45;0.6486208438873291;-2016;-374;10572;27979
46;0.6672544479370117;-2015;-372;10571;27979
47;0.6859521865844727;-2015;-389;10595;27975
48;0.7156648635864258;-2015;-372;10595;27984
49;0.7341227531433105;-2016;-366;10575;27983
50;0.7484033107757568;-2016;-367;10583;27982
51;0.762702226638794;-2015;-389;10571;27981
52;0.7769782543182373;-2016;-357;10597;27979
53;0.7912008762359619;-2016;-368;10572;27980
54;0.8054516315460205;-2016;-370;10585;27979
55;0.8196976184844971;-2016;-364;10576;27981
56;0.8340075016021729;-2016;-368;10595;27981
57;0.8483543395996094;-2015;-371;10577;27980
58;0.8625950813293457;-2016;-375;10595;27981
59;0.8769009113311768;-2015;-374;10595;27981
60;0.8911268711090088;-2015;-368;10594;27980
61;0.9053354263305664;-2015;-372;10595;27981
62;0.9196033477783203;-2016;-376;10584;27984
63;0.9339091777801514;-2016;-396;10573;27982
64;0.9481120109558105;-2016;-380;10596;27984
65;0.9623348712921143;-2015;-373;10594;27982
66;0.9766755104064941;-2016;-361;10583;27984
67;0.9908773899078369;-2016;-365;10595;27983
68;1.005211353302002;-2015;-20;11021;27915
69;1.0579197406768799;-2014;-73;10853;27927
70;1.072157382965088;-2015;-151;10767;27957
71;1.0866971015930176;-2016;-221;10721;27974
72;1.1008789539337158;-2015;-255;10676;27964
73;1.1238789558410645;-2015;-268;10664;27965
74;1.1380987167358398;-2015;-274;10685;27972
75;1.152503490447998;-2016;-294;10666;27983
76;1.1668083667755127;-2016;-341;10646;27982
77;1.1810259819030762;-2015;-321;10626;27980
78;1.1952509880065918;-2016;-306;10632;27978
79;1.2095346450805664;-2015;-308;10641;27980
80;1.2238554954528809;-2015;-314;10634;27983
81;1.2379934787750244;-2016;-301;10644;27982
82;1.2522132396697998;-2015;-302;10651;27972
83;1.2665178775787354;-2015;-284;10667;27962
84;1.2807366847991943;-2015;-284;10683;27965
85;1.2949705123901367;-2015;-292;10662;27966
86;1.309389591217041;-2015;-271;10647;27923
