;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;-2013;-366;9197;28104
1;0.0160367488861084;-2013;-370;9200;28099
2;0.0302731990814209;-2013;-367;9199;28096
3;0.04448986053466797;-2014;-367;9200;28098
4;0.058736562728881836;-2013;-376;9199;28096
5;0.0729219913482666;-2014;-356;9199;28096
6;0.08717060089111328;-2013;-357;9218;28098
7;0.10149025917053223;-2013;-359;9198;28094
8;0.11572885513305664;-2013;-364;9198;28097
9;0.12994146347045898;-2013;-369;9220;28102
10;0.14411687850952148;-2014;-380;9200;28098
11;0.1584784984588623;-2014;-365;9222;28095
12;0.1726672649383545;-2013;-363;9200;28094
13;0.18688368797302246;-2013;-367;9199;28094
14;0.20122528076171875;-2013;-356;9201;28096
15;0.21548795700073242;-2013;-366;9201;28098
16;0.22971153259277344;-2013;-377;9201;28090
17;0.24392008781433105;-2014;-375;9202;28091
18;0.25823163986206055;-2014;-362;9201;28096
19;0.2724783420562744;-2013;-363;9200;28096
20;0.286740779876709;-2014;-370;9200;28093
21;0.3010225296020508;-2013;-362;9219;28093
22;0.315324068069458;-2013;-375;9198;28089
23;0.32956457138061523;-2014;-361;9199;28090
24;0.3437652587890625;-2013;-366;9201;28097
25;0.35802483558654785;-2013;-364;9200;28096
26;0.3722553253173828;-2013;-369;9202;28090
27;0.386401891708374;-2013;-359;9209;28091
28;0.40065956115722656;-2013;-358;9209;28090
29;0.41486120223999023;-2013;-369;9202;28092
30;0.4291207790374756;-2014;-362;9222;28094
31;0.4433252811431885;-2014;-364;9202;28092
32;0.45758891105651855;-2013;-371;9192;28087
33;0.47186946868896484;-2014;-353;9200;28091
34;0.4861881732940674;-2014;-348;9200;28095
35;0.500457763671875;-2013;-371;9217;28097
36;0.5147013664245605;-2013;-364;9201;28096
37;0.5290179252624512;-2013;-372;9216;28092
38;0.5432374477386475;-2014;-356;9201;28091
39;0.5575191974639893;-2012;-368;9200;28093
40;0.571833610534668;-2013;-368;9200;28099
41;0.5860815048217773;-2013;-386;9215;28100
42;0.600308895111084;-2013;-373;9200;28095
43;0.6145875453948975;-2013;-379;9201;28094
44;0.6376497745513916;-2013;-357;9198;28098
45;0.6519834995269775;-2013;-357;9201;28100
46;0.6692469120025635;-2015;-371;9200;28099
47;0.6879096031188965;-2013;-364;9201;28099
48;0.7064838409423828;-2014;-355;9200;28101
49;0.7250502109527588;-2013;-372;9203;28103
50;0.7437088489532471;-2014;-379;9200;28097
