;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;-1972;-407;13238;23901
1;0.015785932540893555;-1972;-402;13215;23888
2;0.029927730560302734;-1971;-403;13238;23904
3;0.04404735565185547;-1973;-408;13238;23906
4;0.05820488929748535;-1972;-415;13225;23888
5;0.07232069969177246;-1972;-398;13217;23884
6;0.0864095687866211;-1973;-400;13239;23901
7;0.10056328773498535;-1972;-403;13237;23906
8;0.11474990844726562;-1971;-413;13238;23901
9;0.12877464294433594;-1971;-401;13216;23885
10;0.14288854598999023;-1971;-400;13226;23885
11;0.15713095664978027;-1972;-431;13235;23888
12;0.17130088806152344;-1972;-397;13239;23881
13;0.18537640571594238;-1972;-400;13226;23886
14;0.19948101043701172;-1971;-413;13239;23906
15;0.21376490592956543;-1973;-405;13215;23883
16;0.22791767120361328;-1972;-411;13237;23881
17;0.2420365810394287;-1973;-408;13237;23897
18;0.25614404678344727;-1974;-402;13237;23905
19;0.2703108787536621;-1973;-405;13237;23890
20;0.2845005989074707;-1971;-407;13227;23906
21;0.298572301864624;-1973;-404;13239;23905
22;0.3127098083496094;-1972;-397;13239;23898
23;0.3268697261810303;-1970;-410;13238;23897
24;0.3410623073577881;-1971;-418;13238;23881
25;0.3552219867706299;-1973;-398;13218;23902
26;0.36931276321411133;-1972;-394;13237;23898
27;0.38339757919311523;-1971;-413;13238;23893
28;0.3974802494049072;-1972;-398;13239;23886
29;0.4116499423980713;-1973;-404;13227;23895
30;0.4257326126098633;-1973;-403;13239;23883
31;0.43984127044677734;-1972;-419;13218;23906
32;0.454085111618042;-1972;-406;13237;23900
33;0.4682440757751465;-1972;-399;13237;23883
34;0.4824385643005371;-1972;-414;13238;23894
35;0.49654221534729004;-1970;-412;13237;23897
36;0.5107710361480713;-1972;-405;13238;23897
37;0.5249087810516357;-1970;-409;13215;23904
38;0.5389974117279053;-1972;-401;13238;23881
39;0.5531392097473145;-1972;-407;13228;23889
40;0.5673050880432129;-1971;-401;13238;23901
41;0.5814697742462158;-1972;-405;13238;23892
42;0.5955593585968018;-1973;-412;13239;23903
43;0.609666109085083;-1972;-413;13238;23884
44;0.6238329410552979;-1971;-424;13226;23906
45;0.6461665630340576;-1973;-402;13239;23886
46;0.66050124168396;-1973;-398;13238;23887
47;0.6792054176330566;-1972;-415;13237;23897
48;0.6976516246795654;-1971;-401;13236;23905
49;0.716202974319458;-1973;-398;13238;23882
50;0.7347233295440674;-1974;-399;13238;23882
