;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;86;34;9831;7800
1;0.01605677604675293;73;32;9831;7803
2;0.030584096908569336;71;32;9830;7802
3;0.04533672332763672;72;33;9831;7805
4;0.059760093688964844;69;34;9831;7797
5;0.0740358829498291;68;32;9831;7805
6;0.0884544849395752;68;32;9832;7804
7;0.10279297828674316;71;33;9831;7803
8;0.1173396110534668;73;36;9830;7799
9;0.1317434310913086;71;33;9831;7800
10;0.1460740566253662;72;31;9808;7803
11;0.1605064868927002;73;31;9832;7801
12;0.17487597465515137;72;30;9853;7801
13;0.18924379348754883;72;32;9831;7803
14;0.2037191390991211;72;31;9831;7800
15;0.21813488006591797;70;30;9831;7801
16;0.23250341415405273;72;31;9832;7800
17;0.2470259666442871;71;32;9831;7803
18;0.26132869720458984;70;32;9831;7805
19;0.27567219734191895;72;32;9831;7804
20;0.29015374183654785;72;32;9830;7802
21;0.3045835494995117;71;37;9831;7807
22;0.31894993782043457;73;34;9832;7805
23;0.3334007263183594;72;33;9830;7803
24;0.3477821350097656;74;32;9832;7804
25;0.36212658882141113;73;31;9831;7802
26;0.3766052722930908;74;31;9831;7803
27;0.3910999298095703;72;32;9831;7801
28;0.40546464920043945;71;31;9831;7802
29;0.4199390411376953;72;31;9831;7801
30;0.4344005584716797;73;31;9831;7804
31;0.4488353729248047;72;32;9832;7799
32;0.46317505836486816;72;31;9832;7795
33;0.477602481842041;75;31;9831;7800
34;0.49192309379577637;70;31;9832;7798
35;0.5065367221832275;69;31;9831;7803
36;0.5209193229675293;71;32;9853;7805
37;0.5353078842163086;73;32;9832;7796
38;0.5497822761535645;73;32;9829;7802
39;0.5641820430755615;71;31;9831;7802
40;0.5785777568817139;71;33;9831;7801
41;0.5929393768310547;70;32;9854;7804
42;0.6073966026306152;69;32;9832;7805
43;0.6218364238739014;71;36;9831;7800
44;0.6361911296844482;70;33;9831;7800
45;0.6506795883178711;71;31;9843;7797
46;0.6650311946868896;72;31;9831;7795
47;0.683424711227417;70;33;9831;7802
48;0.7024180889129639;70;36;9831;7797
49;0.7213304042816162;70;33;9831;7801
50;0.7402939796447754;70;32;9830;7801
51;0.759251594543457;71;34;9831;7802
52;0.778127908706665;75;35;9807;7803
53;0.7971055507659912;72;32;9831;7801
54;0.8160719871520996;70;33;9830;7798
55;0.835031270980835;73;32;9831;7799
56;0.8539338111877441;72;32;9832;7802
57;0.8729314804077148;71;32;9850;7803
58;0.8918957710266113;72;32;9843;7799
59;0.9108600616455078;71;31;9832;7803
60;0.92970871925354;71;31;9831;7802
61;0.9485759735107422;71;30;9830;7795
62;0.9674575328826904;73;31;9830;7800
63;0.9862861633300781;72;33;9853;7804
64;1.0053715705871582;71;415;10230;7792
65;1.0815484523773193;73;298;10069;7801
66;1.0959928035736084;71;208;9999;7785
67;1.1103825569152832;72;207;9994;7769
68;1.124739170074463;70;194;9951;7732
69;1.1391808986663818;72;210;9949;7675
70;1.1536064147949219;74;271;9923;7630
71;1.1680448055267334;75;402;9910;7618
72;1.1824095249176025;78;600;9835;7671
73;1.1968331336975098;88;894;9762;7700
74;1.2113635540008545;95;1203;9692;7722
75;1.2256784439086914;92;1661;9542;7725
76;1.2402379512786865;90;2264;9504;7735
77;1.2546966075897217;96;2999;9453;7775
78;1.2689931392669678;109;3922;9363;7834
79;1.2834465503692627;107;4828;9320;7880
80;1.2977962493896484;103;5668;9278;7883
81;1.3121628761291504;104;6495;9211;7852
82;1.3266534805297852;112;7294;9195;7800
83;1.3411509990692139;128;8089;9148;7755
84;1.3555147647857666;151;8832;9103;7735
85;1.3700053691864014;179;9560;9038;7732
86;1.38450288772583;219;10253;8986;7744
87;1.3988873958587646;262;10880;8931;7756
88;1.4134941101074219;299;11511;8893;7772
89;1.4279837608337402;323;12079;8847;7788
90;1.4423801898956299;345;12608;8780;7806
91;1.4631104469299316;385;13352;8617;7802
92;1.477593183517456;410;13830;8416;7787
93;1.491980791091919;442;14248;8371;7776
94;1.506338357925415;484;14637;8424;7716
95;1.5208919048309326;519;15023;8696;7688
96;1.5352625846862793;546;15370;8887;7675
97;1.5497632026672363;551;15703;8977;7700
98;1.5641288757324219;568;16005;8976;7726
99;1.5785093307495117;587;16291;9021;7726
100;1.5928690433502197;610;16549;8976;7709
101;1.6145734786987305;650;16855;8998;7708
102;1.6289889812469482;665;17060;8997;7711
103;1.6434366703033447;662;17245;9020;7691
104;1.6578240394592285;658;17430;8997;7686
105;1.6721677780151367;667;17590;9028;7665
106;1.686692237854004;675;17734;9030;7644
107;1.7011287212371826;685;17852;9042;7637
108;1.7154524326324463;704;17944;9042;7649
109;1.7299399375915527;720;18036;8996;7667
110;1.7444028854370117;730;18131;8996;7677
111;1.7587602138519287;736;18221;8985;7684
112;1.7730357646942139;744;18304;8986;7693
113;1.7911982536315918;749;18346;8951;7702
114;1.8100929260253906;764;18410;8951;7699
115;1.8289194107055664;779;18470;8951;7694
116;1.84798264503479;780;18517;8904;7686
117;1.8667724132537842;798;18524;8884;7685
118;1.8857905864715576;804;18541;8837;7704
119;1.9046761989593506;809;18534;8770;7710
120;1.9234566688537598;816;18549;8733;7713
121;1.9426119327545166;821;18538;8678;7708
122;1.9613914489746094;825;18519;8631;7706
123;1.9802320003509521;834;18536;8559;7695
124;1.9990313053131104;832;18522;8472;7691
125;2.0178468227386475;828;18471;8494;7696
126;2.036827564239502;827;18438;8451;7695
127;2.0558087825775146;825;18401;8428;7702
128;2.074686288833618;822;18379;8406;7710
129;2.0935328006744385;821;18343;8360;7721
130;2.112476348876953;818;18309;8346;7715
131;2.1313395500183105;818;18278;8314;7706
132;2.1502373218536377;820;18226;8315;7716
133;2.169175624847412;817;18192;8337;7734
134;2.188019037246704;815;18156;8315;7734
135;2.2068076133728027;815;18095;8335;7734
136;2.2257559299468994;827;18040;8314;7729
137;2.244664430618286;825;17992;8292;7736
138;2.266909122467041;828;17939;8246;7728
139;2.28595232963562;824;17893;8230;7711
140;2.3048439025878906;825;17846;8236;7691
141;2.323646306991577;821;17786;8225;7680
142;2.3425936698913574;824;17752;8247;7690
143;2.361377000808716;820;17704;8247;7710
144;2.380220651626587;817;17664;8226;7713
145;2.398989200592041;814;17609;8239;7708
146;2.4178707599639893;816;17545;8192;7688
147;2.4367430210113525;814;17510;8158;7684
148;2.456071615219116;814;17430;8112;7678
149;2.4749460220336914;813;17384;8112;7671
150;2.4939143657684326;812;17347;8096;7668
151;2.5127358436584473;810;17293;8090;7682
152;2.5314834117889404;809;17231;8111;7691
153;2.5503828525543213;810;17189;8046;7682
154;2.5692214965820312;808;17129;8010;7674
155;2.5881378650665283;807;17083;7993;7664
156;2.6070220470428467;809;17019;7946;7645
157;2.6258668899536133;805;16963;7857;7629
158;2.6447982788085938;802;16911;7754;7627
159;2.6635918617248535;803;16854;7620;7623
160;2.682615041732788;801;16794;7708;7629
161;2.7014336585998535;798;16752;7451;7629
162;2.7203421592712402;797;16697;7500;7633
163;2.7392354011535645;795;16650;7358;7625
164;2.7581300735473633;794;16592;7355;7627
165;2.7768683433532715;793;16540;7101;7623
166;2.7957987785339355;789;16478;7275;7615
167;2.814748525619507;789;16427;6916;7629
168;2.833574056625366;787;16389;7156;7641
169;2.85256028175354;785;16324;6856;7650
170;2.8713717460632324;782;16273;6936;7663
171;2.890385150909424;781;16236;6881;7657
172;2.9092605113983154;776;16181;6755;7657
173;2.928305149078369;778;16103;6712;7659
174;2.947267770767212;782;16052;6756;7646
175;2.9731338024139404;778;15991;6708;7653
176;2.9886815547943115;776;15951;6680;7656
177;3.0030410289764404;774;15926;6572;7661
178;3.017437696456909;772;15876;6492;7662
179;3.031813144683838;772;15855;6388;7659
180;3.0464727878570557;771;15797;6394;7661
181;3.0609633922576904;770;15768;6389;7668
182;3.075327157974243;769;15731;6366;7668
183;3.089770555496216;769;15691;6359;7663
184;3.104142189025879;765;15662;6317;7660
185;3.1185197830200195;766;15633;6281;7658
186;3.13289737701416;760;15589;6253;7663
187;3.1474361419677734;761;15539;6253;7674
188;3.161806583404541;759;15507;6314;7677
189;3.176164150238037;754;15467;6328;7685
190;3.1906168460845947;757;15424;6320;7688
191;3.204977512359619;754;15374;6298;7695
192;3.219352960586548;755;15345;6275;7684
193;3.233759641647339;752;15318;6233;7676
194;3.248239278793335;749;15287;6255;7662
195;3.2625646591186523;748;15269;6248;7653
196;3.2769882678985596;747;15219;6339;7660
197;3.291313886642456;746;15180;6391;7664
198;3.305635690689087;743;15141;6353;7668
199;3.320106029510498;743;15099;6299;7679
200;3.334580898284912;739;15063;6196;7677
201;3.349043369293213;741;15024;6163;7673
202;3.363503932952881;739;14969;6192;7671
203;3.3780486583709717;736;14950;6275;7657
204;3.3924381732940674;734;14911;6298;7648
205;3.4069275856018066;732;14868;6207;7638
206;3.421330213546753;728;14838;6095;7632
207;3.4357359409332275;722;14809;6091;7629
208;3.45023250579834;718;14771;6148;7643
209;3.4647090435028076;714;14728;6154;7649
210;3.479174852371216;714;14695;6053;7650
211;3.4936561584472656;712;14659;5938;7653
212;3.5082647800445557;713;14633;5958;7650
213;3.5225584506988525;708;14587;6068;7644
214;3.537067174911499;705;14563;6030;7637
215;3.551455497741699;704;14516;5912;7635
216;3.565819263458252;700;14497;5939;7621
217;3.580200672149658;697;14442;6053;7614
218;3.5946474075317383;693;14421;5989;7612
219;3.609031915664673;695;14396;5876;7616
220;3.623607635498047;694;14355;5916;7619
221;3.638066291809082;690;14317;5948;7621
