;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;4375;3;3;226
1;0.016183137893676758;4384;3;3;237
2;0.030422687530517578;4383;3;3;227
3;0.0449068546295166;4379;3;3;239
4;0.05935168266296387;4384;3;3;230
5;0.07354950904846191;4376;3;2;226
6;0.08782339096069336;4382;3;3;234
7;0.1021883487701416;4376;3;2;228
8;0.11657428741455078;4377;2;2;232
9;0.1308882236480713;4387;3;2;232
10;0.14532017707824707;4389;3;3;235
11;0.15961909294128418;4382;3;3;232
12;0.1740717887878418;4392;3;2;237
13;0.19487881660461426;4390;3;3;227
14;0.20934486389160156;4382;3;3;238
15;0.2236495018005371;4380;2;2;226
16;0.23799872398376465;4391;3;3;238
17;0.2523994445800781;4391;3;3;226
18;0.26669931411743164;4380;2;3;225
19;0.28136229515075684;4387;3;3;238
20;0.2958240509033203;4380;2;3;241
21;0.31014299392700195;4380;2;3;232
22;0.3244760036468506;4390;3;3;240
23;0.3387768268585205;4377;3;3;235
24;0.35310864448547363;4392;3;4;230
25;0.3674495220184326;4385;3;2;239
26;0.3819394111633301;4391;3;2;226
27;0.3962383270263672;4381;3;3;234
28;0.4105534553527832;4383;2;3;235
29;0.4249131679534912;4378;2;3;236
30;0.43926024436950684;4386;2;2;239
31;0.45362305641174316;4379;3;3;235
32;0.4679911136627197;4392;2;3;234
33;0.48233985900878906;4385;3;3;228
34;0.4966318607330322;4379;3;3;225
35;0.5109877586364746;4388;2;3;239
36;0.5253844261169434;4386;3;3;229
37;0.5396754741668701;4387;3;4;232
38;0.5540134906768799;4392;3;3;236
39;0.5683722496032715;4385;2;3;229
40;0.5827670097351074;4392;2;3;238
41;0.5969030857086182;4391;3;3;239
42;0.6112461090087891;4382;3;3;229
43;0.6257097721099854;4378;3;3;239
44;0.6399929523468018;4378;2;2;241
45;0.6549386978149414;4390;3;3;228
46;0.6737525463104248;4386;3;2;227
47;0.692751407623291;4390;3;4;236
48;0.711470365524292;4379;3;3;235
49;0.7302670478820801;4391;4;2;227
50;0.7489540576934814;4386;3;3;227
51;0.767768144607544;4382;3;2;232
52;0.7865896224975586;4379;3;1;237
53;0.8054847717285156;4382;3;2;233
54;0.8241865634918213;4384;2;2;237
55;0.84295654296875;4386;3;2;238
56;0.8618431091308594;4392;3;4;237
57;0.8808832168579102;4391;3;3;225
58;0.8996889591217041;4384;3;2;226
59;0.9186229705810547;4380;3;3;226
60;0.937471866607666;4378;3;2;237
61;0.9562594890594482;4391;2;3;236
62;0.9750797748565674;4378;3;2;229
63;0.9940555095672607;4381;3;2;227
64;1.012972354888916;4392;-12;2;235
65;1.0793848037719727;4382;5;3;234
66;1.0936977863311768;4388;4;5;229
67;1.1080527305603027;4379;4;3;230
68;1.1224305629730225;4378;4;2;232
69;1.1367204189300537;4381;2;4;225
70;1.1510264873504639;4390;4;4;231
71;1.1658403873443604;4386;3;3;241
72;1.1804373264312744;4377;4;4;229
73;1.194762945175171;4392;3;3;236
74;1.2092399597167969;4380;1;3;234
75;1.223578929901123;4377;3;3;225
76;1.2379636764526367;4390;2;2;233
77;1.2523376941680908;4388;3;2;232
78;1.2666175365447998;4379;3;3;235
79;1.2809154987335205;4390;2;1;235
80;1.2952945232391357;4381;4;2;236
81;1.309558391571045;4390;3;3;239
82;1.3239521980285645;4382;3;2;240
83;1.338313341140747;4377;2;2;228
84;1.352673053741455;4382;3;3;238
85;1.3669359683990479;4383;2;3;226
86;1.3812708854675293;4392;3;2;231
87;1.3956327438354492;4376;2;4;226
88;1.4099676609039307;4378;2;4;225
89;1.4245057106018066;4384;3;3;227
90;1.4387924671173096;4391;4;4;230
91;1.4530913829803467;4376;3;4;229
92;1.4674384593963623;4385;2;3;231
93;1.4821851253509521;4378;2;3;230
94;1.4964790344238281;4376;2;3;234
95;1.5108680725097656;4378;3;3;230
96;1.5252699851989746;4384;4;3;226
97;1.5395517349243164;4388;2;3;237
98;1.5538935661315918;4389;3;3;226
99;1.568328619003296;4387;3;2;228
100;1.582688570022583;4390;4;2;226
101;1.596982479095459;4377;3;2;229
102;1.6113393306732178;4392;3;3;225
103;1.6257293224334717;4389;3;4;240
104;1.640085220336914;4390;2;24;237
105;1.6647140979766846;4390;2;3;237
106;1.679189682006836;4388;3;3;228
107;1.6995916366577148;4391;3;3;238
108;1.7139596939086914;4390;3;2;236
109;1.7284646034240723;4377;3;2;229
110;1.7428233623504639;4379;2;2;234
111;1.7570712566375732;4377;3;2;236
112;1.7742292881011963;4391;3;3;230
113;1.793074131011963;4377;3;3;227
114;1.8118982315063477;4391;3;3;226
115;1.8306457996368408;4389;3;2;226
116;1.8494608402252197;4387;2;3;227
117;1.8680915832519531;4380;3;4;227
118;1.8870494365692139;4389;2;3;240
119;1.905900239944458;4388;2;3;238
120;1.9247112274169922;4379;3;4;224
121;1.943392038345337;4392;3;3;228
122;1.9620730876922607;4379;4;3;237
123;1.980771780014038;4387;2;3;235
124;1.9995477199554443;4390;2;3;227
125;2.0183117389678955;4377;3;3;231
126;2.03730845451355;4384;2;2;238
127;2.0560872554779053;4390;3;3;235
128;2.074831485748291;4384;3;3;233
129;2.09407114982605;4388;3;4;236
130;2.11285400390625;4378;3;3;237
131;2.1316988468170166;4381;3;3;226
132;2.150482654571533;4378;4;3;235
133;2.1693737506866455;4377;2;3;227
134;2.1880974769592285;4388;3;3;225
135;2.206998348236084;4390;3;3;229
136;2.225848436355591;4387;3;3;228
137;2.2446179389953613;4379;3;3;226
138;2.2662999629974365;4379;2;3;237
139;2.285141706466675;4382;3;3;227
140;2.3038885593414307;4380;3;3;234
141;2.3226497173309326;4388;2;3;233
142;2.341402292251587;4385;3;3;230
143;2.3601343631744385;4385;3;3;237
144;2.378852128982544;4382;4;3;239
145;2.397630214691162;4384;3;3;235
146;2.416455030441284;4379;4;3;238
147;2.4352710247039795;4391;4;3;228
148;2.453932762145996;4385;3;3;229
149;2.472677707672119;4379;3;3;225
150;2.491443395614624;4384;3;3;227
151;2.5104684829711914;4378;3;3;228
152;2.5292463302612305;4391;3;3;232
153;2.547962188720703;4379;3;3;225
154;2.5666580200195312;4390;4;2;225
155;2.5854506492614746;4383;3;2;227
156;2.6040239334106445;4381;2;3;226
157;2.622828483581543;4392;2;3;237
158;2.6414945125579834;4377;3;3;227
159;2.660203218460083;4386;3;3;227
160;2.679176092147827;4386;2;2;233
161;2.697937250137329;4388;2;3;230
162;2.7167789936065674;4383;3;3;234
163;2.735623836517334;4390;3;2;226
164;2.754331588745117;4383;3;3;234
165;2.7730965614318848;4381;2;3;227
166;2.791919469833374;4376;3;3;239
167;2.810678243637085;4392;4;3;231
168;2.8294360637664795;4380;2;3;238
169;2.8481521606445312;4385;1;3;226
170;2.8671109676361084;4392;3;3;227
171;2.885924816131592;4389;2;4;227
172;2.904728651046753;4390;3;2;226
173;2.92348051071167;4391;2;3;227
174;2.942490339279175;4378;3;3;225
175;2.9613394737243652;4393;3;4;235
176;2.9801723957061768;4390;2;3;237
177;2.998885154724121;4384;4;3;234
178;3.0176708698272705;4379;3;3;236
179;3.0626957416534424;4380;4;3;229
180;3.077024459838867;4377;5;3;232
181;3.0913405418395996;4381;3;3;230
182;3.1056525707244873;4391;3;3;238
183;3.119901180267334;4377;4;3;238
184;3.1341552734375;4391;4;3;237
185;3.14844012260437;4386;3;3;239
186;3.1627490520477295;4378;3;3;237
187;3.177015781402588;4378;3;2;236
188;3.197366714477539;4384;2;3;240
189;3.2116808891296387;4378;3;4;228
190;3.225980758666992;4384;3;3;237
191;3.2402806282043457;4381;3;2;234
192;3.25465726852417;4377;2;3;233
193;3.269036293029785;4383;2;3;226
194;3.2833220958709717;4379;2;3;236
195;3.2975571155548096;4378;3;4;238
196;3.3119149208068848;4389;2;3;235
197;3.3261148929595947;4379;2;3;225
198;3.340358018875122;4386;2;3;234
199;3.354670524597168;4387;3;3;239
200;3.369102716445923;4382;3;3;236
201;3.3834004402160645;4379;3;3;240
202;3.3976383209228516;4378;3;3;239
203;3.41207218170166;4393;3;3;238
204;3.4263272285461426;4377;3;2;233
205;3.440567970275879;4377;3;3;239
206;3.454866886138916;4377;3;3;237
207;3.469172954559326;4377;3;3;230
208;3.4834320545196533;4378;3;3;228
209;3.4976677894592285;4391;4;3;240
210;3.5120346546173096;4377;3;3;228
211;3.5262975692749023;4383;2;3;227
212;3.540590286254883;4381;3;4;236
213;3.554882287979126;4383;3;4;230
214;3.569153308868408;4382;2;2;228
215;3.5833723545074463;4393;3;2;228
216;3.597567081451416;4391;2;3;229
217;3.6119401454925537;4376;2;3;228
218;3.6262028217315674;4388;2;1;235
219;3.6403307914733887;4381;5;3;237
220;3.6651415824890137;4389;3;2;231
221;3.679501533508301;4377;3;3;237
222;3.6937313079833984;4382;2;2;234
223;3.7102694511413574;4388;2;3;237
224;3.724663257598877;4390;2;3;227
225;3.738889217376709;4383;3;3;233
226;3.7531239986419678;4386;3;3;229
227;3.7673418521881104;4379;3;2;227
228;3.784872055053711;4390;3;3;233
229;3.803408622741699;4391;3;2;239
230;3.8220126628875732;4391;3;2;231
231;3.840710401535034;4382;3;3;227
232;3.859436273574829;4391;3;2;237
233;3.877965211868286;4377;2;2;228
234;3.897141933441162;4377;3;3;237
235;3.91589617729187;4387;4;3;232
236;3.9345879554748535;4381;3;3;226
237;3.953216791152954;4384;2;2;234
238;3.971879720687866;4380;3;2;232
239;3.990596294403076;4384;2;3;230
240;4.009308338165283;4379;3;2;225
241;4.027965307235718;4379;3;3;238
242;4.046695947647095;4383;3;3;228
243;4.0653510093688965;4378;3;2;232
244;4.084083795547485;4392;4;3;240
245;4.102795839309692;4391;3;3;236
246;4.121475696563721;4377;3;3;237
247;4.1402482986450195;4377;4;3;231
248;4.15887713432312;4389;3;3;232
249;4.177638053894043;4380;3;3;232
250;4.1963279247283936;4385;3;3;236
251;4.2150349617004395;4391;3;3;237
252;4.2336719036102295;4381;3;3;225
253;4.252414703369141;4380;2;3;231
254;4.270918607711792;4386;3;3;234
255;4.289748430252075;4380;3;2;235
256;4.308436155319214;4389;3;2;239
257;4.327092170715332;4388;2;3;237
258;4.345799922943115;4389;3;3;234
259;4.364335775375366;4392;3;3;228
260;4.383020877838135;4389;3;3;234
261;4.40176248550415;4379;3;3;226
262;4.420472621917725;4380;3;2;239
263;4.439222574234009;4390;3;3;225
264;4.457836389541626;4379;3;4;228
265;4.4765143394470215;4393;3;3;233
266;4.495445013046265;4379;3;3;231
267;4.514075994491577;4387;2;3;238
268;4.532850742340088;4383;3;3;228
269;4.551511764526367;4389;3;3;235
270;4.570114612579346;4389;3;2;231
271;4.588783264160156;4387;3;3;227
272;4.60746431350708;4380;3;3;230
273;4.626120090484619;4386;2;2;234
274;4.64486026763916;4388;4;3;239
275;4.663501739501953;4389;2;3;227
276;4.682378768920898;4390;2;3;227
277;4.7093117237091064;4378;2;3;237
278;4.72797155380249;4381;2;3;229
279;4.7467265129089355;4377;3;3;233
280;4.765449285507202;4388;3;3;226
281;4.781429290771484;4376;2;3;232
282;4.795752048492432;4381;3;2;231
283;4.809988975524902;4377;3;3;237
284;4.824159860610962;4392;3;3;227
285;4.838384628295898;4386;3;3;227
286;4.8529136180877686;4388;3;3;240
287;4.867143630981445;4377;2;3;226
288;4.881409645080566;4378;3;2;228
289;4.895723342895508;4382;3;3;234
290;4.909957408905029;4392;2;3;238
291;4.92423415184021;4377;2;3;231
292;4.938497066497803;4384;3;2;231
293;4.952820062637329;4391;2;3;239
294;4.9670538902282715;4377;4;2;227
295;4.981339931488037;4392;2;3;239
296;4.99565577507019;4384;3;3;227
297;5.009950637817383;4384;3;3;237
298;5.024197578430176;4385;2;2;230
299;5.038522481918335;4378;3;2;235
300;5.052854299545288;4391;3;3;233
301;5.067092180252075;4390;3;2;239
302;5.0815112590789795;4389;2;2;237
303;5.095842123031616;4380;3;3;235
304;5.110041856765747;4389;2;3;231
305;5.124267816543579;4384;2;2;239
306;5.138584852218628;4379;3;3;229
307;5.152893781661987;4380;3;4;233
308;5.167117595672607;4378;4;3;238
309;5.183542490005493;4379;3;3;231
310;5.197738170623779;4381;3;3;232
311;5.212050199508667;4379;3;3;228
312;5.226261377334595;4390;4;3;230
313;5.240509271621704;4384;2;3;228
314;5.254910945892334;4386;3;3;237
315;5.269209861755371;4392;2;3;230
316;5.283445835113525;4391;3;3;239
317;5.2976648807525635;4389;2;2;238
318;5.312016725540161;4384;3;3;235
319;5.326151371002197;4386;3;3;237
320;5.340400457382202;4383;2;3;228
321;5.354725360870361;4379;3;2;238
322;5.36902117729187;4377;3;2;237
323;5.3832621574401855;4391;3;3;238
324;5.397480010986328;4379;3;2;227
325;5.411805868148804;4377;3;3;233
326;5.426044940948486;4391;3;2;227
327;5.440302848815918;4392;3;2;234
328;5.454690456390381;4390;2;2;235
329;5.468918561935425;4378;4;4;227
330;5.483917236328125;4378;3;3;235
331;5.502665281295776;4388;2;3;240
332;5.521377325057983;4389;3;2;236
333;5.540149927139282;4382;2;3;228
334;5.558794021606445;4390;3;2;231
335;5.577380895614624;4386;3;3;239
336;5.596052646636963;4385;3;3;240
337;5.614791631698608;4379;3;3;234
338;5.633449554443359;4391;3;3;233
339;5.652162313461304;4377;4;3;226
340;5.670779228210449;4380;2;3;234
341;5.6894850730896;4390;2;3;229
342;5.7081029415130615;4387;3;3;232
343;5.72675895690918;4384;3;4;241
344;5.745558738708496;4377;3;3;236
345;5.764224529266357;4391;3;3;238
346;5.7829954624176025;4393;3;3;241
347;5.801743268966675;4385;2;3;239
348;5.820390224456787;4378;4;3;240
349;5.839047193527222;4380;3;3;227
350;5.857722997665405;4386;3;3;239
351;5.87643575668335;4391;2;3;239
352;5.895538806915283;4389;3;2;230
353;5.914146661758423;4381;3;3;240
354;5.932866334915161;4378;3;3;237
355;5.951489210128784;4391;2;3;233
356;5.97019100189209;4392;2;3;236
357;5.988751173019409;4386;3;3;238
358;6.007466077804565;4382;3;3;228
359;6.026068687438965;4376;3;3;231
360;6.0447914600372314;4384;2;3;231
361;6.063382625579834;4378;2;2;228
362;6.081947326660156;4391;3;3;227
363;6.100611448287964;4379;3;3;238
364;6.119282245635986;4389;3;2;239
365;6.1379311084747314;4378;3;3;237
366;6.156632900238037;4390;2;3;228
367;6.175396919250488;4377;3;3;234
368;6.201740503311157;4390;2;3;233
369;6.220444440841675;4381;2;2;226
370;6.239192247390747;4377;4;3;234
371;6.257840156555176;4380;3;2;238
372;6.276577949523926;4385;2;2;227
373;6.2959020137786865;4379;3;3;236
374;6.314550876617432;4378;4;3;229
375;6.333173751831055;4382;2;4;237
376;6.351979494094849;4388;3;3;227
377;6.370678424835205;4379;2;2;227
378;6.389441251754761;4379;3;4;226
379;6.4081151485443115;4388;3;3;240
380;6.426855087280273;4390;3;3;234
381;6.445628881454468;4391;4;3;226
382;6.464273929595947;4391;3;3;227
383;6.483069658279419;4390;3;3;226
384;6.501858472824097;4378;4;4;228
385;6.520720481872559;4377;3;4;232
386;6.5394814014434814;4381;3;3;231
387;6.5581042766571045;4387;2;2;238
388;6.57672905921936;4389;3;3;232
389;6.595505952835083;4392;3;2;237
390;6.614076852798462;4392;3;3;239
391;6.6328208446502686;4382;2;2;230
392;6.651472568511963;4387;3;3;228
393;6.670164585113525;4385;4;4;240
394;6.688783407211304;4390;3;2;236
395;6.710651159286499;4390;3;3;240
396;6.72933292388916;4378;3;3;234
397;6.747982025146484;4379;3;3;233
398;6.766595840454102;4380;3;3;234
399;6.785270690917969;4391;3;2;230
400;6.803952693939209;4392;2;3;231
401;6.8225624561309814;4379;3;3;229
402;6.841270208358765;4390;3;3;240
403;6.859857082366943;4378;4;3;238
404;6.8785200119018555;4388;3;2;239
405;6.897355079650879;4390;2;2;228
406;6.916034936904907;4392;3;3;237
407;6.9349684715271;4390;3;3;225
408;6.953645467758179;4384;3;3;237
409;6.972436428070068;4384;3;3;227
410;6.9910523891448975;4377;4;3;233
411;7.009774208068848;4390;3;3;226
412;7.028434991836548;4378;3;3;232
413;7.047199964523315;4387;3;3;235
414;7.0658698081970215;4389;3;4;236
415;7.08444881439209;4391;3;3;227
416;7.103139638900757;4383;2;2;238
417;7.121864557266235;4393;3;3;239
418;7.140599250793457;4380;3;3;226
419;7.1593310832977295;4393;3;3;227
420;7.177962064743042;4377;3;3;233
421;7.196799039840698;4383;3;3;236
422;7.2155280113220215;4388;3;2;233
423;7.2341628074646;4386;2;3;233
424;7.252924680709839;4378;3;3;230
425;7.271651268005371;4383;3;3;227
426;7.290257453918457;4391;4;3;238
427;7.308903217315674;4380;2;4;239
428;7.327562093734741;4376;2;3;226
429;7.346336126327515;4378;3;4;239
430;7.365083932876587;4378;4;3;233
431;7.383784770965576;4378;2;3;232
432;7.4026265144348145;4380;3;3;225
433;7.421343564987183;4388;3;3;231
434;7.440082550048828;4382;2;3;226
435;7.458716154098511;4391;3;3;235
436;7.477435111999512;4380;2;3;227
437;7.496171951293945;4381;2;4;229
438;7.514884948730469;4385;2;3;226
439;7.533501625061035;4379;3;2;227
440;7.552214622497559;4384;3;4;235
441;7.570734262466431;4391;3;4;239
442;7.589386224746704;4380;4;4;226
443;7.608014106750488;4389;3;3;238
444;7.626734018325806;4393;3;2;237
445;7.645457029342651;4392;3;2;238
446;7.664104700088501;4376;3;4;237
447;7.6828367710113525;4381;3;3;237
448;7.710139513015747;4384;3;4;236
449;7.728773355484009;4392;3;3;230
450;7.747555255889893;4389;3;3;237
451;7.766269207000732;4379;3;3;230
452;7.78499698638916;4380;3;4;226
453;7.803480863571167;4383;3;2;240
454;7.822109699249268;4391;3;3;239
455;7.84077262878418;4384;4;2;233
456;7.859529495239258;4378;3;3;232
457;7.878168344497681;4393;2;3;239
458;7.896871089935303;4384;3;3;239
459;7.91560435295105;4380;4;3;227
460;7.934223890304565;4389;3;3;235
461;7.952969074249268;4383;3;3;239
462;7.9719297885894775;4381;3;3;234
463;7.990595579147339;4376;3;3;230
