;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;43;46;9743;8575
1;0.015766620635986328;186;36;9761;8567
2;0.030159473419189453;42;41;9753;8562
3;0.04459023475646973;40;50;9765;8567
4;0.05888104438781738;401;45;9743;8572
5;0.07368254661560059;42;36;9742;8579
6;0.08796453475952148;41;38;9744;8568
7;0.10229015350341797;43;36;9764;8566
8;0.11659002304077148;46;36;9743;8574
9;0.13111090660095215;45;43;9765;8578
10;0.1454174518585205;42;41;9765;8578
11;0.15970826148986816;42;42;9746;8573
12;0.17406201362609863;42;38;9765;8561
13;0.1882636547088623;42;35;9758;8563
14;0.20270156860351562;42;33;9743;8571
15;0.21698522567749023;46;38;9766;8570
16;0.23135781288146973;41;41;9765;8578
17;0.2456495761871338;38;38;9744;8571
18;0.2600135803222656;49;35;9747;8568
19;0.27440643310546875;46;40;9765;8569
20;0.28881001472473145;42;39;9765;8569
21;0.30312561988830566;40;41;9760;8577
22;0.3175075054168701;41;38;9766;8752
23;0.33170413970947266;42;42;9765;8555
24;0.3459608554840088;42;38;9764;8567
25;0.360595703125;45;40;9766;8567
26;0.3749833106994629;44;36;9744;8582
27;0.3893451690673828;44;39;9754;8810
28;0.40375494956970215;44;43;9765;8575
29;0.41803669929504395;45;35;9765;8564
30;0.43236660957336426;42;40;9763;8688
31;0.4468092918395996;45;37;9758;8565
32;0.46117591857910156;100;35;9755;8572
33;0.4754457473754883;41;40;9743;8569
34;0.49050235748291016;42;38;9756;8564
35;0.5047252178192139;44;39;9744;8563
36;0.5189428329467773;42;38;9744;8570
37;0.5333616733551025;44;38;9743;8575
38;0.5477633476257324;42;38;9732;8574
39;0.5621321201324463;44;42;9743;8563
40;0.5764379501342773;44;37;9745;8560
41;0.5908157825469971;46;34;9743;8560
42;0.6051135063171387;46;38;9744;8576
43;0.6194510459899902;43;40;9743;8579
44;0.6338868141174316;44;35;9743;8582
45;0.648207426071167;41;43;9720;8573
46;0.6631884574890137;44;35;9743;8565
47;0.6819210052490234;42;39;9724;8568
48;0.7008185386657715;43;36;9742;8578
49;0.719609260559082;45;44;9743;8565
50;0.7384071350097656;44;36;9743;8560
51;0.7572007179260254;44;40;9721;8565
52;0.7759814262390137;45;48;9743;8568
53;0.7948389053344727;41;35;9720;8576
54;0.8137786388397217;44;42;9706;8573
55;0.8323793411254883;39;38;9738;8571
56;0.8512060642242432;44;37;9722;8572
57;0.869891881942749;41;34;9743;8580
58;0.8886804580688477;45;40;9720;8570
59;0.9073131084442139;44;36;9720;8579
60;0.9260597229003906;42;36;9720;8575
61;0.9448714256286621;42;39;9743;8581
62;0.9638781547546387;44;45;9720;8567
63;0.9825689792633057;43;38;9743;8575
64;1.0014195442199707;42;37;9761;8581
65;1.0737712383270264;46;427;10068;8573
66;1.0881729125976562;41;292;9974;8573
67;1.1024458408355713;41;208;9892;8580
68;1.1166965961456299;43;180;9877;8573
69;1.1310291290283203;45;164;9861;8565
70;1.145263910293579;43;146;9832;8562
71;1.1596105098724365;45;112;9811;8565
72;1.1739704608917236;46;108;9800;8576
73;1.1882190704345703;43;103;9814;8575
74;1.2024729251861572;42;122;9845;8568
75;1.216773509979248;47;143;9845;8573
76;1.2311632633209229;43;147;9863;8578
77;1.245393991470337;46;165;9851;8574
78;1.2597370147705078;45;188;9858;8521
79;1.274047613143921;45;233;9861;8492
