;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;-21;36;5510;8720
1;0.016263484954833984;-33;40;5510;8686
2;0.030623674392700195;-33;35;5492;8691
3;0.044996023178100586;-33;36;5509;8727
4;0.05947542190551758;-31;35;5533;8738
5;0.07386565208435059;-34;38;5487;8714
6;0.0883488655090332;-32;34;5533;8684
7;0.1028444766998291;-34;34;5510;8693
8;0.11731171607971191;-36;34;5500;8729
9;0.13274002075195312;-26;34;5511;8727
10;0.14712142944335938;-32;36;5510;8707
11;0.16144084930419922;-32;37;5487;8683
12;0.17590713500976562;-33;35;5510;8699
13;0.19039225578308105;-31;33;5499;8733
14;0.20472073554992676;-32;36;5510;8727
15;0.2193131446838379;-33;33;5511;8697
16;0.2337653636932373;-35;35;5510;8686
17;0.24830079078674316;-33;35;5509;8711
18;0.26276206970214844;-32;34;5511;8734
19;0.27721452713012695;-32;34;5511;8726
20;0.29178786277770996;-33;32;5509;8692
21;0.306304931640625;-32;34;5510;8683
22;0.32068634033203125;-32;38;5498;8712
23;0.3350818157196045;-34;38;5518;8740
24;0.3495481014251709;-33;35;5509;8718
25;0.3640005588531494;-31;35;5510;8689
26;0.37847065925598145;-33;33;5509;8688
27;0.3929421901702881;-32;35;5510;8713
28;0.4073665142059326;-32;36;5510;8732
29;0.42169976234436035;-34;34;5510;8711
30;0.43609023094177246;-32;33;5510;8685
31;0.4505174160003662;-32;37;5513;8704
32;0.4649627208709717;-34;36;5510;8727
33;0.47942495346069336;-34;39;5509;8723
34;0.4937915802001953;-31;34;5489;8700
35;0.5083277225494385;-31;32;5510;8691
36;0.5227560997009277;-33;33;5510;8705
37;0.5372123718261719;-32;34;5510;8725
38;0.5517499446868896;-32;35;5486;8726
39;0.5661821365356445;-33;34;5510;8707
40;0.5805585384368896;-33;32;5532;8691
41;0.5949788093566895;-31;32;5510;8702
42;0.6094861030578613;-35;33;5509;8719
43;0.6239454746246338;-35;34;5509;8723
44;0.6384437084197998;-35;34;5510;8712
45;0.6557590961456299;-31;35;5515;8697
46;0.6745719909667969;-30;39;5529;8712
47;0.6935503482818604;-31;34;5509;8725
48;0.7124695777893066;-33;39;5510;8709
49;0.7369303703308105;-34;35;5510;8700
50;0.7536056041717529;-34;38;5510;8707
51;0.7681207656860352;-34;38;5510;8718
52;0.7825272083282471;-34;35;5533;8720
53;0.7969987392425537;-35;35;5510;8710
54;0.8114628791809082;-33;36;5510;8701
55;0.8259382247924805;-34;35;5509;8707
56;0.8403246402740479;-31;33;5520;8717
57;0.8547089099884033;-34;32;5511;8713
58;0.8693201541900635;-32;33;5509;8706
59;0.8837077617645264;-32;33;5530;8704
60;0.8981509208679199;-32;33;5509;8711
61;0.9126071929931641;-34;34;5510;8715
62;0.9269266128540039;-32;33;5509;8712
63;0.9413928985595703;-32;32;5511;8708
64;0.9559111595153809;-35;35;5520;8708
65;0.9703454971313477;-35;38;5510;8710
66;0.9849128723144531;-34;41;5508;8714
67;0.9994211196899414;-35;34;5532;8713
68;1.0138757228851318;-31;32;5509;8702
69;1.0666661262512207;-35;481;5937;8707
70;1.0812904834747314;-37;310;5741;8709
71;1.0958926677703857;-31;217;5693;8709
72;1.1103262901306152;-31;172;5643;8717
73;1.1250643730163574;-31;143;5607;8718
74;1.1395368576049805;-31;122;5588;8728
75;1.153933048248291;-33;109;5556;8731
76;1.1684114933013916;-31;111;5582;8727
77;1.1837577819824219;-35;115;5581;8720
78;1.1982922554016113;-31;120;5615;8723
79;1.2127785682678223;-34;131;5610;8732
80;1.2272148132324219;-31;145;5598;8724
81;1.2417521476745605;-31;151;5625;8692
82;1.2561836242675781;-31;169;5630;8664
83;1.2705278396606445;-32;220;5619;8667
84;1.2849960327148438;-35;274;5614;8672
85;1.2994794845581055;-34;357;5616;8665
86;1.3139946460723877;-31;475;5570;8660
87;1.3284902572631836;-34;650;5546;8665
88;1.3430614471435547;-35;855;5524;8689
89;1.357569694519043;-32;1116;5456;8719
90;1.3720333576202393;-29;1428;5406;8741
91;1.3866233825683594;-26;1754;5384;8739
92;1.4010899066925049;-19;2146;5334;8764
93;1.4158692359924316;-14;2533;5290;8782
94;1.4301855564117432;-10;2924;5285;8771
95;1.4446368217468262;-4;3140;5220;8749
96;1.4606959819793701;-7;3519;5171;8743
97;1.4796662330627441;-6;4058;5147;8746
98;1.4985733032226562;1;4632;5100;8737
99;1.5176866054534912;19;5132;5053;8745
100;1.5366547107696533;37;5618;5008;8744
101;1.5555596351623535;51;6082;4984;8746
102;1.5746479034423828;59;6517;4934;8755
103;1.5937139987945557;53;6897;4912;8756
104;1.612741231918335;60;7271;4864;8740
105;1.6316192150115967;93;7569;4838;8742
106;1.6618778705596924;146;7902;4697;8757
107;1.6774182319641113;164;8083;4667;8751
108;1.6919124126434326;179;8246;4631;8765
109;1.7064626216888428;182;8412;4629;8764
110;1.7210962772369385;183;8540;4585;8768
111;1.7356696128845215;193;8646;4561;8748
112;1.7500848770141602;212;8740;4536;8728
113;1.7644941806793213;223;8835;4515;8730
114;1.7789955139160156;234;8920;4494;8735
115;1.7933809757232666;242;9000;4472;8740
116;1.8078632354736328;247;9071;4473;8742
117;1.8223214149475098;247;9134;4447;8727
118;1.8368158340454102;245;9186;4427;8729
119;1.8512370586395264;253;9239;4405;8720
120;1.8658015727996826;262;9271;4381;8720
121;1.8802509307861328;263;9341;4381;8714
122;1.8947911262512207;265;9340;4358;8706
123;1.9093225002288818;265;9398;4334;8705
124;1.9236648082733154;271;9422;4292;8695
125;1.9381442070007324;276;9428;4313;8698
126;1.9526104927062988;279;9440;4306;8703
127;1.9670698642730713;282;9435;4302;8694
128;1.981471300125122;287;9446;4223;8693
129;1.9960734844207764;289;9451;4190;8692
130;2.0105669498443604;285;9437;4161;8701
131;2.0250353813171387;291;9420;4174;8695
132;2.0395336151123047;289;9407;4220;8675
133;2.0540218353271484;294;9376;4221;8679
134;2.0685322284698486;292;9369;4153;8681
135;2.083042621612549;292;9345;4090;8687
136;2.097585916519165;292;9337;4081;8683
137;2.1121373176574707;295;9295;4115;8678
138;2.1287853717803955;293;9280;4084;8687
139;2.143253803253174;294;9256;4015;8697
140;2.157682180404663;292;9237;4013;8697
141;2.1720755100250244;293;9202;4039;8696
142;2.1865687370300293;295;9194;4038;8689
143;2.200965166091919;288;9136;3997;8694
144;2.215571403503418;293;9134;3958;8697
