;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;1564234567.6313171;4199;230;6322;6392
1;1564234567.6420748;3917;229;4096;4075
2;1564234567.652784;7141;229;5490;6331
3;1564234567.6635861;4010;229;4120;4121
4;1564234567.6742887;7133;230;4054;6145
5;1564234567.685082;4049;231;4154;4134
6;1564234567.6957974;6244;230;3456;5301
7;1564234567.706575;4061;230;5097;4139
8;1564234567.7173004;5811;230;4053;3980
9;1564234567.7280295;4080;230;6536;4295
10;1564234567.7387266;4425;229;4086;3543
11;1564234567.7494903;4082;229;6639;5457
12;1564234567.760166;2486;229;4066;4025
13;1564234567.7708898;4687;230;6265;6656
14;1564234567.7815886;3530;230;4120;4090
15;1564234567.792289;6620;231;5883;6555
16;1564234567.8029845;3974;231;4119;4134
17;1564234567.8136861;7419;229;4614;6247
18;1564234567.8244576;4031;230;4121;4125
19;1564234567.835206;6518;229;3234;5755
20;1564234567.8459318;4035;230;4603;4136
21;1564234567.8566585;6174;229;3972;4481
22;1564234567.867402;4075;230;6165;4142
23;1564234567.8780923;5125;230;4050;3045
24;1564234567.8888323;4091;231;6904;4802
25;1564234567.8995256;3205;229;4068;4011
26;1564234567.9102485;4097;230;6377;6340
27;1564234567.920918;2305;230;4106;4070
28;1564234567.9317882;5683;230;6190;6987
29;1564234567.9425387;3940;230;4115;4122
30;1564234567.9532552;7433;229;5219;6336
31;1564234567.9640222;4003;230;4120;4121
32;1564234567.974776;6920;230;3635;6025
33;1564234567.9854932;4065;231;4283;4122
34;1564234567.9967601;6217;230;3973;4921
35;1564234568.0075862;4072;230;6352;4141
36;1564234568.0183058;4968;231;4054;3003
37;1564234568.0290608;4101;229;6980;4912
38;1564234568.0398772;2658;229;4080;4043
39;1564234568.0505733;4170;230;6332;6696
40;1564234568.0612772;2623;230;4113;4051
41;1564234568.0720649;6144;229;6087;6841
42;1564234568.0827298;3978;230;4101;4109
43;1564234568.0934012;7585;229;5130;6291
44;1564234568.1040952;4022;230;4103;4123
45;1564234568.114794;7020;230;3550;6048
46;1564234568.1254973;4064;229;4242;4152
47;1564234568.1362238;6210;230;3336;4902
48;1564234568.1469162;4084;231;5556;4142
49;1564234568.1576107;5628;230;4026;3503
50;1564234568.168367;4094;230;6902;4373
51;1564234568.1790593;3950;231;4068;3541
52;1564234568.1899;4086;229;6696;5941
53;1564234568.2006001;2015;230;4082;4053
54;1564234568.211369;5063;229;6275;7120
55;1564234568.22206;3871;230;4134;4075
56;1564234568.2327476;7400;229;5678;6449
57;1564234568.2434425;4007;229;4120;4121
58;1564234568.2541895;7704;229;4026;6245
59;1564234568.2649238;4045;229;4122;4135
60;1564234568.275677;6394;229;2802;5498
61;1564234568.2863724;4025;-4;4886;4139
62;1564234568.2971373;6150;-5;3987;3978
63;1564234568.3078825;4077;-5;6716;4157
64;1564234568.318585;4666;-4;4051;2764
65;1564234568.329324;4091;-4;7146;5213
66;1564234568.340027;2151;-4;4091;3989
67;1564234568.3507433;4156;-5;6353;7001
68;1564234568.3614469;2357;-4;4098;4061
69;1564234568.3722198;6455;-6;6081;7038
70;1564234568.382921;3968;-5;4106;4088
71;1564234568.3936696;7958;-6;4851;6306
72;1564234568.4044282;4021;-4;4122;4123
73;1564234568.4152217;6989;-4;3062;5930
74;1564234568.425918;4028;-4;4467;4154
75;1564234568.436638;6167;-5;3592;4467
76;1564234568.4473214;4092;-4;6184;4125
77;1564234568.458038;5311;-4;4037;2910
78;1564234568.4687743;4094;-5;7309;4592
79;1564234568.47948;3156;-5;4066;3843
80;1564234568.490172;4110;-5;6617;6367
81;1564234568.5008776;1657;-5;4090;4024
82;1564234568.5115807;5349;-5;6265;7434
83;1564234568.5222745;3839;-4;4110;4056
84;1564234568.533042;7867;-5;5609;6498
85;1564234568.5437334;3988;-4;4102;4113
86;1564234568.554505;7834;-4;3791;6249
87;1564234568.5652242;4046;-4;4145;4131
88;1564234568.583582;6321;-4;4137;4104
89;1564234568.594433;7955;-3;3841;6257
90;1564234568.6051872;4005;-4;4127;4151
91;1564234568.61592;6397;-5;2518;5386
92;1564234568.6266084;4058;-4;4946;4140
93;1564234568.6392195;4229;-4;4051;3105
94;1564234568.650945;4107;-5;6334;7039
95;1564234568.662529;3861;-4;4097;4075
96;1564234568.6739955;7954;-5;4556;6320
97;1564234568.6854053;4035;-3;4126;4115
98;1564234568.6967623;6181;-4;3552;4453
99;1564234568.7081287;4100;-3;6890;4129
100;1564234568.7195873;3509;-5;4045;3706
101;1564234568.7309809;4129;-6;6333;7108
102;1564234568.7423434;3676;-4;4099;4083
103;1564234568.7537084;7990;-3;5089;6352
104;1564234568.7651582;4033;1;4125;4143
105;1564234568.776629;6256;1;3217;4766
106;1564234568.7880218;4090;2;6763;4160
107;1564234568.7993684;3795;0;4080;3362
108;1564234568.8109162;4104;-1;6381;6897
109;1564234568.8225799;3624;9;4131;4073
110;1564234568.8340268;7966;4;4588;6297
111;1564234568.8453922;4009;1175;4154;4135
112;1564234568.8567734;6204;1219;3434;4528
113;1564234568.868167;4119;1282;6849;4163
114;1564234568.8795345;3618;1334;4065;3525
115;1564234568.8909254;4132;1388;6383;6960
116;1564234568.9023445;3345;1443;4120;4092
117;1564234568.9137945;7998;1477;5146;6355
118;1564234568.925273;4024;1539;4149;4132
119;1564234568.9366775;6251;1567;3119;4741
120;1564234568.9480517;4080;1611;6732;4144
121;1564234568.9594986;3912;1632;4075;3319
122;1564234568.9708812;4148;1650;6383;6858
123;1564234568.9824402;3312;1685;4087;4064
124;1564234568.993872;7995;1707;5079;6325
125;1564234569.0053332;4041;1733;4147;4132
126;1564234569.0167434;6249;1748;3132;4749
127;1564234569.0281646;4080;1808;6778;4162
128;1564234569.0396137;3809;1873;4070;3344
129;1564234569.0509934;4116;1911;6374;6937
130;1564234569.0623484;3264;1962;4124;4068
131;1564234569.0737836;7945;2027;5222;6350
132;1564234569.0852087;4037;2096;4131;4125
133;1564234569.0966265;6282;2163;3027;4931
134;1564234569.108007;4083;2247;6628;4162
135;1564234569.1193557;4173;2334;4068;3065
136;1564234569.1306973;4131;2422;6522;6643
137;1564234569.1420248;2508;2515;4090;4057
138;1564234569.1533754;7922;2572;5607;6485
139;1564234569.1647177;4014;2664;4128;4105
140;1564234569.176103;6594;2724;2576;5515
141;1564234569.1875105;4067;2773;5841;4141
142;1564234569.1989017;4883;2866;4029;2407
143;1564234569.2103875;4134;2913;6777;6163
144;1564234569.2218158;1826;2969;4094;4061
145;1564234569.2332082;7618;3041;5778;6617
146;1564234569.2446196;4023;3113;4106;4139
147;1564234569.2559767;6710;3166;2708;5607
148;1564234569.2673962;4077;3244;5627;4123
149;1564234569.2787824;5049;3266;4030;2466
150;1564234569.290252;4128;3329;6919;5910
151;1564234569.3016205;1654;3387;4077;4073
152;1564234569.3129587;7022;3415;5959;6858
153;1564234569.3242922;4015;3470;4116;4119
154;1564234569.3356073;7156;3505;3117;5957
155;1564234569.3469527;4052;3554;4913;4140
156;1564234569.3583124;5619;3633;4017;3156
157;1564234569.3696632;4125;3678;7361;4977
158;1564234569.3810937;2004;3721;4077;4042
159;1564234569.3925629;6071;3782;6234;7266
160;1564234569.4039645;4007;3834;4130;4112
161;1564234569.4153228;7533;3871;3417;6120
162;1564234569.4267426;4091;3933;4678;4121
163;1564234569.4381733;5927;3966;4010;3390
164;1564234569.44959;4130;3996;7461;4848
165;1564234569.4610288;1988;4065;4068;4009
166;1564234569.4725983;5982;4086;6225;7287
167;1564234569.4839897;3984;4144;4102;4111
168;1564234569.4953594;7551;4208;3412;6130
169;1564234569.5068207;4096;4269;4708;4139
170;1564234569.5182407;5822;4312;4025;3340
171;1564234569.529757;4109;4330;7411;4914
172;1564234569.5411713;2030;4382;4085;4049
173;1564234569.5526052;6120;4434;6215;7234
174;1564234569.5640178;4007;4473;4117;4096
175;1564234569.5754406;7557;4506;3428;6129
176;1564234569.586837;4073;4559;4728;4140
177;1564234569.5981894;5904;4597;4018;3414
178;1564234569.609572;4106;4628;7438;4740
179;1564234569.6209414;1977;4677;4084;3998
180;1564234569.632302;5486;4710;6279;7457
181;1564234569.6556647;7520;4808;3227;6082
182;1564234569.6676295;4064;4860;4319;4132
183;1564234569.6784356;5759;4899;4025;3306
184;1564234569.6892014;4118;4927;7204;4368
185;1564234569.6999116;3649;4965;4060;3425
186;1564234569.7106178;4126;5029;6793;6122
187;1564234569.7213593;1917;5068;4097;4023
188;1564234569.73205;5058;5100;6288;7397
189;1564234569.742785;3493;5156;4106;4068
190;1564234569.7534752;7718;5192;5783;6635
191;1564234569.7642558;3999;5234;4121;4107
192;1564234569.7749984;8044;5263;3925;6266
193;1564234569.7857347;4063;5304;4133;4132
194;1564234569.7964203;6490;5330;2559;5498
195;1564234569.8072693;4066;5362;4967;4118
196;1564234569.8179646;6127;5404;3998;3804
197;1564234569.8287187;4108;5451;6883;4129
198;1564234569.8394256;4573;5491;4061;2584
199;1564234569.8501592;4142;5503;7232;5351
200;1564234569.8608341;2066;5524;4064;3996
201;1564234569.8715305;4167;5552;6361;7059
