;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;1564234794.6499279;4001;5238;4130;4109
1;1564234794.660671;6559;5234;3562;5881
2;1564234794.6713667;4057;5236;4522;4128
3;1564234794.6820662;6226;5234;3918;4731
4;1564234794.692762;4084;5234;5666;4132
5;1564234794.7034626;5413;5235;4053;3555
6;1564234794.714187;4084;5236;6584;4584
7;1564234794.724893;3871;5234;4075;3965
8;1564234794.7356603;4123;5234;6438;5870
9;1564234794.746373;2397;5234;4068;4062
10;1564234794.7571335;5363;5232;6234;6719
11;1564234794.767872;3930;5233;4101;4062
12;1564234794.778575;7258;5234;5417;6338
13;1564234794.7892733;4012;5236;4094;4091
14;1564234794.7999642;7107;5236;4062;6143
15;1564234794.810682;4048;5237;4129;4126
16;1564234794.8213813;6273;5235;3529;5370
17;1564234794.8320668;4068;5236;4943;4148
18;1564234794.8428016;5937;5235;4006;4173
19;1564234794.8535032;4103;5234;6334;4211
20;1564234794.8642116;4774;5234;4049;3597
21;1564234794.8749058;4113;5235;6589;5118
22;1564234794.8856;2827;5237;4079;4004
23;1564234794.8962922;4418;5234;6321;6417
24;1564234794.90705;3226;5234;4078;4051
25;1564234794.9178028;6229;5234;5961;6588
26;1564234794.9285197;3952;5236;4101;4110
27;1564234794.9392745;7253;5235;4777;6262
28;1564234794.9499693;4032;5238;4113;4118
29;1564234794.9606838;6570;5235;3555;5858
30;1564234794.9713726;4058;5236;4518;4112
31;1564234794.9820685;6211;5237;3927;4732
32;1564234794.9927688;4077;5235;5699;4135
33;1564234795.0034773;5416;5236;4032;3502
34;1564234795.014348;4076;5234;6639;4628
35;1564234795.0251596;3634;5236;4051;3983
36;1564234795.0358772;4118;5236;6372;6198
37;1564234795.0466228;2588;5235;4088;4062
38;1564234795.0573099;5721;5234;6185;6792
39;1564234795.0680072;3963;5236;4081;4072
40;1564234795.0787044;7348;5234;5334;6291
41;1564234795.0893657;4023;5239;4105;4119
42;1564234795.1000717;7073;5236;3955;6092
43;1564234795.110765;4039;5240;4165;4119
44;1564234795.1214664;6275;5238;3474;5252
45;1564234795.1321754;4090;5239;5036;4113
46;1564234795.142887;5861;5238;3997;3998
47;1564234795.153601;4089;5237;6505;4288
48;1564234795.1642933;4589;5238;4037;3498
49;1564234795.1749895;4114;5236;6713;5328
50;1564234795.1856837;2535;5238;4052;4039
51;1564234795.1963892;4561;5235;6314;6580
52;1564234795.2072115;3280;5238;4094;4084
53;1564234795.2179248;6634;5235;5870;6548
54;1564234795.2286236;3979;5237;4103;4084
55;1564234795.2393222;7411;5236;4639;6243
56;1564234795.2500324;4016;5239;4124;4115
57;1564234795.2607424;6565;5237;3342;5845
58;1564234795.2714593;4035;5240;4612;4129
59;1564234795.28218;6196;5240;3959;4492
60;1564234795.2928867;4069;5238;6070;4130
61;1564234795.303582;5266;5237;4015;3110
62;1564234795.3142684;4099;5236;6882;4711
63;1564234795.3249667;3476;5238;4045;3964
64;1564234795.335639;4124;5236;6428;6206
65;1564234795.3463686;2030;5237;4067;4057
66;1564234795.35713;5508;5236;6249;7062
67;1564234795.3678846;3939;5239;4080;4065
68;1564234795.3785806;7474;5238;5359;6328
69;1564234795.3892868;4010;5242;4106;4098
70;1564234795.400009;7292;5239;3818;6151
71;1564234795.4107065;4038;5240;4138;4140
72;1564234795.4214118;6278;-4;3098;5170
73;1564234795.432116;4037;2;5136;4128
74;1564234795.442864;5850;-2;3995;3744
75;1564234795.4535666;4160;5215;6828;4244
76;1564234795.4642794;4386;5180;4014;3210
77;1564234795.4749913;4096;4546;6871;5530
78;1564234795.485706;2254;4940;4049;4034
79;1564234795.496401;4617;5182;6321;7020
80;1564234795.5071607;3142;5189;4104;4059
81;1564234795.5178545;6961;5113;5857;6607
82;1564234795.5285745;3970;4955;4094;4107
83;1564234795.5392978;7761;5061;4380;6271
84;1564234795.5500352;4018;4821;4108;4105
85;1564234795.5607393;6629;5030;2969;5685
86;1564234795.5714414;4058;5207;4591;4109
87;1564234795.5895627;6214;5363;4123;4116
88;1564234795.6002772;7162;5213;3275;5999
89;1564234795.6109803;4012;2507;4269;4138
90;1564234795.6217449;6264;5055;3227;4726
91;1564234795.6324916;4093;5129;5896;4121
92;1564234795.6432304;5425;5337;4040;3066
93;1564234795.6557653;4120;5298;6408;6699
94;1564234795.6674826;3799;5392;4103;4053
95;1564234795.6788828;7964;5381;5017;6317
96;1564234795.6903994;4043;5335;4127;4126
97;1564234795.7018743;6236;-6;3349;4618
98;1564234795.7135794;4085;-1;6994;4170
99;1564234795.7252116;2730;-8;4057;3967
100;1564234795.736629;4912;-18;6287;7327
101;1564234795.748083;3928;-3;4082;4085
102;1564234795.7595236;7921;-3;3898;6260
103;1564234795.770914;4043;18;4245;4128
104;1564234795.7823102;6165;-7;3957;3975
105;1564234795.7936978;4067;-8;7198;4335
106;1564234795.8051302;2647;-3;4053;3983
107;1564234795.81654;4744;-14;6292;7333
108;1564234795.827959;3894;-6;4106;4054
109;1564234795.8392868;8006;-12;4164;6253
110;1564234795.8506775;4035;13;4130;4106
111;1564234795.862056;6173;-5;3798;4225
112;1564234795.8734033;4070;-9;7079;4140
113;1564234795.8847544;3229;-3;4056;3829
114;1564234795.8961217;4170;-11;6356;7158
115;1564234795.9074733;3759;-14;4088;4087
116;1564234795.9188457;8038;-15;5021;6319
117;1564234795.9303296;4003;16;4101;4109
118;1564234795.941772;6219;-10;3175;4670
119;1564234795.9532185;4092;0;6916;4121
120;1564234795.964597;3494;-8;4033;3543
121;1564234795.9759488;4116;-14;6360;6978
122;1564234795.987325;3299;-4;4097;4065
123;1564234795.9987218;8005;-19;5141;6332
124;1564234796.0101893;4021;10;4113;4132
125;1564234796.0215557;6232;8;3003;4809
126;1564234796.0329442;4059;5;6716;4135
127;1564234796.0443666;3981;-6;4029;3097
128;1564234796.055801;4105;-19;6398;6846
129;1564234796.067227;2925;-5;4092;4081
