;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.001483917236328125;109;31;11159;3001
1;0.012575387954711914;112;30;11159;3001
2;0.0233151912689209;112;31;11158;3003
3;0.03410792350769043;112;31;11159;3001
4;0.04485893249511719;114;31;11159;3002
5;0.055600643157958984;113;31;11160;3003
6;0.06633901596069336;112;30;11160;3002
7;0.0770723819732666;114;31;11159;3001
8;0.08779764175415039;113;31;11158;3001
9;0.09852862358093262;114;30;11158;3001
10;0.10939908027648926;113;31;11159;3002
11;0.12210202217102051;114;30;11159;3002
12;0.1328432559967041;111;30;11158;3002
13;0.1435680389404297;111;31;11160;3000
14;0.15430045127868652;113;30;11172;3002
15;0.16503548622131348;113;30;11180;3001
16;0.17577409744262695;113;30;11158;3001
17;0.18658971786499023;112;30;11169;3002
18;0.19737648963928223;113;30;11160;3001
19;0.20817041397094727;-65;30;11159;3002
20;0.21891093254089355;112;31;11176;3002
21;0.22964859008789062;113;31;11158;3001
22;0.2403857707977295;112;30;11158;3001
23;0.2511277198791504;113;30;11159;3002
24;0.26191163063049316;112;30;11180;3002
25;0.2726452350616455;113;31;11159;3003
26;0.2834455966949463;111;31;11159;3002
27;0.2941863536834717;112;29;11159;3002
28;0.30495786666870117;112;31;11159;3002
29;0.3156881332397461;113;30;11159;3001
30;0.32642483711242676;113;30;11159;3004
31;0.3371579647064209;113;29;11158;3001
32;0.3478963375091553;114;30;11157;3003
33;0.3586857318878174;113;30;11158;3002
34;0.3694274425506592;113;32;11159;3002
35;0.3801748752593994;113;30;11159;3002
36;0.39091944694519043;112;29;11160;3002
37;0.4016566276550293;112;30;11181;3001
38;0.412447452545166;112;31;11159;3002
39;0.42318129539489746;113;31;11181;3001
40;0.4339783191680908;112;31;11159;3002
41;0.44474053382873535;113;30;11158;3002
42;0.4554779529571533;111;31;11181;3002
43;0.466202974319458;113;31;11165;3003
44;0.47693490982055664;112;31;11159;3002
45;0.48767614364624023;112;31;11160;3002
46;0.49840831756591797;112;31;11159;3003
47;0.5092575550079346;112;32;11159;3002
48;0.5199973583221436;113;30;11159;3001
49;0.53078293800354;113;31;11159;3003
50;0.5415315628051758;113;32;11160;3002
51;0.5522620677947998;113;31;11160;3002
52;0.5629980564117432;113;31;11158;3000
53;0.5737366676330566;111;31;11161;3003
54;0.584484338760376;111;30;11158;3002
55;0.595217227935791;112;31;11178;3002
56;0.6059980392456055;113;30;11158;3002
57;0.6167399883270264;113;31;11159;3001
58;0.6275033950805664;113;32;11160;3002
59;0.6382477283477783;114;30;11155;3002
60;0.648979663848877;112;31;11159;3002
61;0.6597154140472412;111;31;11160;3002
62;0.6704590320587158;112;30;11159;3002
63;0.6812522411346436;113;31;11159;3002
64;0.692039966583252;112;30;11136;3002
65;0.702786922454834;112;31;11159;3002
66;0.7135658264160156;112;31;11160;3002
67;0.7242963314056396;112;31;11159;3002
68;0.735037088394165;111;30;11160;3001
69;0.745781660079956;113;30;11159;3002
70;0.7565779685974121;112;31;11160;3003
71;0.7673676013946533;113;30;11159;3002
72;0.7781045436859131;112;30;11159;3002
73;0.7888550758361816;113;30;11158;3002
74;0.7995903491973877;112;31;11159;3002
75;0.8103578090667725;112;31;11158;3002
76;0.8210837841033936;112;30;11159;3002
77;0.8318276405334473;113;31;11160;3002
78;0.8425741195678711;111;30;11159;3002
79;0.8533086776733398;111;30;11160;3001
80;0.8640470504760742;112;30;11159;3001
81;0.8747875690460205;111;29;11159;3002
82;0.8855304718017578;112;31;11159;3002
83;0.8962588310241699;112;31;11159;3001
84;0.9070391654968262;113;31;11159;3002
85;0.9177765846252441;113;31;11159;3001
86;0.9285173416137695;113;31;11159;3002
87;0.9393675327301025;113;30;11158;3001
88;0.9501080513000488;112;30;11159;3001
