;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0058383941650390625;589;8;7;826
1;0.02129364013671875;1717;6;7;1928
2;0.03556251525878906;2433;9;11;2581
3;0.04858875274658203;2701;8;7;2749
4;0.06166529655456543;2730;5;7;2778
5;0.07464170455932617;2739;10;10;2782
6;0.08759737014770508;2745;8;7;2784
7;0.10073161125183105;2745;6;8;2791
8;0.11369752883911133;2750;11;8;2795
9;0.1265866756439209;2761;8;8;2799
10;0.13950777053833008;2759;5;9;2800
11;0.1524064540863037;2759;11;8;2806
12;0.16527199745178223;2770;8;5;2805
13;0.17816710472106934;2766;7;9;2805
14;0.19104719161987305;2766;9;7;2811
15;0.20401692390441895;2771;8;5;2812
16;0.21689987182617188;2767;8;10;2808
17;0.22979068756103516;2771;9;7;2810
18;0.24269819259643555;2770;7;6;2813
19;0.2555985450744629;2773;9;10;2815
20;0.2684793472290039;2777;9;6;2810
21;0.28140735626220703;2771;6;8;2815
22;0.29438138008117676;2771;10;8;2816
23;0.30734944343566895;2776;9;7;2813
24;0.3202648162841797;2774;6;7;2815
25;0.3331613540649414;2776;11;8;2815
26;0.3460731506347656;2782;8;7;2820
27;0.3590552806854248;2775;7;9;2815
28;0.37192749977111816;2774;12;7;2818
29;0.38483357429504395;2782;7;3;2819
30;0.3977198600769043;2780;7;11;2815
31;0.4106733798980713;2777;8;7;2816
32;0.4235656261444092;2783;8;5;2822
33;0.436445951461792;2780;7;11;2817
34;0.4493231773376465;2785;9;8;2813
35;0.46230578422546387;2779;6;6;2826
36;0.4752674102783203;2775;9;11;2814
37;0.48815250396728516;2783;8;8;2818
38;0.5010793209075928;2781;3;7;2820
39;0.5140581130981445;2777;11;7;2817
40;0.5269544124603271;2788;7;7;2820
41;0.5398621559143066;2779;5;8;2824
42;0.5527641773223877;2780;11;8;2818
43;0.5657346248626709;2786;8;7;2818
44;0.5786356925964355;2780;6;9;2817
45;0.59163498878479;2778;11;8;2818
46;0.6045961380004883;2787;8;3;2822
47;0.6175022125244141;2777;8;11;2820
48;0.6304864883422852;2781;8;8;2818
49;0.6433732509613037;2787;8;5;2823
50;0.6562495231628418;2780;9;12;2820
51;0.6691286563873291;2783;8;8;2821
52;0.6820125579833984;2784;5;6;2823
53;0.6948893070220947;2779;10;10;2819
54;0.7078225612640381;2787;8;7;2816
55;0.7206969261169434;2782;5;8;2825
56;0.7336781024932861;2776;12;7;2820
57;0.7465689182281494;2789;7;8;2820
58;0.7594466209411621;2785;5;8;2821
59;0.7724030017852783;2778;10;7;2816
60;0.78531813621521;2791;8;5;2818
61;0.7981915473937988;2781;7;10;2820
62;0.8112075328826904;2777;10;8;2820
63;0.8241546154022217;2787;8;4;2820
64;0.8370416164398193;2782;8;11;2816
65;0.8499166965484619;2783;8;8;2818
66;0.862842321395874;2786;7;5;2819
67;0.8758118152618408;2778;9;10;2815
68;0.8886852264404297;2787;8;8;2817
69;0.9029920101165771;2762;8;5;2793
70;0.9158763885498047;2781;8;10;2817
71;0.9287436008453369;2784;9;7;2816
72;0.9416382312774658;2783;5;6;2822
73;0.9545154571533203;2779;10;10;2818
74;0.9673886299133301;2786;7;7;2816
75;0.9802751541137695;2782;4;8;2823
76;0.9931495189666748;2777;12;7;2817
77;1.0060398578643799;2786;7;6;2819
78;1.019016981124878;2781;6;8;2814
79;1.0319242477416992;2780;11;7;2819
80;1.04488205909729;2786;8;5;2821
81;1.0577516555786133;2781;6;10;2819
82;1.0706384181976318;2781;9;8;2817
83;1.08351469039917;2788;8;5;2819
84;1.0970702171325684;2768;7;11;2805
85;1.110124111175537;2777;7;8;2815
86;1.1231002807617188;2784;7;5;2820
87;1.136017084121704;2781;8;11;2817
88;1.1490087509155273;2781;8;8;2813
89;1.1619563102722168;2781;7;7;2820
90;1.1748502254486084;2779;9;11;2816
91;1.1877408027648926;2786;8;7;2817
92;1.2006452083587646;2781;4;7;2817
93;1.2136366367340088;2781;11;8;2813
94;1.2265231609344482;2789;9;7;2817
95;1.2394089698791504;2781;6;8;2819
96;1.252321720123291;2782;11;7;2815
97;1.2652027606964111;2786;8;6;2817
98;1.2780849933624268;2783;8;10;2818
99;1.2909858226776123;2780;10;7;2818
100;1.303903579711914;2788;8;4;2818
101;1.3168044090270996;2780;8;11;2817
102;1.3296864032745361;2785;8;7;2816
103;1.3426625728607178;2788;9;4;2819
104;1.3555617332458496;2780;9;11;2815
105;1.3684513568878174;2785;8;8;2814
106;1.3813331127166748;2784;5;7;2821
107;1.3942675590515137;2779;10;9;2816
108;1.4072113037109375;2787;9;7;2816
109;1.4200944900512695;2781;4;8;2819
110;1.4329760074615479;2777;11;7;2817
111;1.4458754062652588;2786;7;8;2816
112;1.4587631225585938;2779;5;8;2817
113;1.4716546535491943;2779;12;7;2814
114;1.4845316410064697;2786;7;5;2821
115;1.4974133968353271;2783;7;10;2818
116;1.6067893505096436;1833;8;7;1928
117;1.6256752014160156;2495;8;7;2616
118;1.7532470226287842;1687;6;10;1774
119;1.7720863819122314;2418;11;8;2546
120;1.7851531505584717;2738;8;9;2738
121;1.804215908050537;2659;8;4;2766
122;1.8149135112762451;2807;12;7;2856
123;1.8247230052947998;2834;7;5;2861
124;1.834484338760376;2829;11;8;2861
125;1.8442833423614502;2832;7;5;2863
126;1.8541336059570312;2827;12;9;2860
127;1.8640077114105225;2835;6;5;2862
128;1.8737983703613281;2828;11;8;2863
129;1.8835690021514893;2835;4;6;2865
130;1.8933594226837158;2830;11;9;2864
131;1.9031355381011963;2836;4;6;2865
132;1.9129180908203125;2832;9;7;2862
133;1.9226927757263184;2840;5;7;2870
134;1.9324707984924316;2830;7;8;2862
135;1.9422471523284912;2835;5;7;2869
136;1.9520421028137207;2832;8;8;2863
137;1.961829423904419;2836;5;8;2865
138;1.9716274738311768;2832;8;7;2864
139;1.981590747833252;2835;5;8;2865
140;1.9913835525512695;2832;8;8;2865
141;2.001155138015747;2835;5;7;2869
142;2.0109314918518066;2830;8;8;2867
143;2.0207135677337646;2836;7;8;2867
144;2.0305023193359375;2835;8;8;2863
145;2.040275812149048;2838;6;8;2869
146;2.0500497817993164;2838;9;8;2864
147;2.0598580837249756;2836;6;9;2867
148;2.0696358680725098;2836;8;7;2863
149;2.079531192779541;2833;7;9;2865
150;2.0893239974975586;2836;7;7;2862
151;2.099114418029785;2837;8;9;2868
152;2.1088829040527344;2838;8;7;2865
153;2.118664026260376;2836;8;11;2870
154;2.1284332275390625;2839;8;8;2869
155;2.1382040977478027;2837;8;11;2867
156;2.14798903465271;2838;7;7;2864
157;2.157784938812256;2837;8;11;2869
158;2.167555093765259;2842;7;7;2864
159;2.1773486137390137;2840;10;10;2865
160;2.1871232986450195;2840;7;7;2867
161;2.196916341781616;2836;10;11;2865
162;2.2067039012908936;2843;8;7;2870
163;2.2164857387542725;2840;9;10;2855
164;2.22711181640625;2821;8;7;2866
165;2.2368991374969482;2839;9;10;2865
166;2.246673345565796;2842;8;6;2870
167;2.256442070007324;2838;9;11;2870
168;2.266214609146118;2841;8;5;2871
169;2.2760095596313477;2837;11;12;2865
170;2.285778522491455;2843;7;4;2870
171;2.295562267303467;2837;12;10;2869
172;2.305328607559204;2843;7;4;2871
173;2.3151066303253174;2837;12;8;2870
174;2.324911117553711;2845;7;3;2869
175;2.3346917629241943;2838;11;7;2867
176;2.344464063644409;2844;7;4;2869
177;2.3542401790618896;2837;11;8;2869
178;2.3640172481536865;2843;5;5;2871
179;2.3737952709198;2838;11;7;2867
180;2.383568048477173;2844;4;5;2873
181;2.39333438873291;2838;11;8;2871
182;2.403109073638916;2841;4;6;2871
183;2.4128806591033936;2836;9;8;2870
184;2.4226529598236084;2841;4;6;2872
185;2.4324283599853516;2837;8;8;2868
186;2.442211389541626;2840;5;6;2869
187;2.451990842819214;2835;8;7;2867
188;2.4617650508880615;2845;5;7;2872
189;2.4715957641601562;2835;9;8;2866
190;2.4813904762268066;2839;4;8;2871
191;2.491136074066162;2837;9;8;2869
192;2.500915765762329;2841;6;8;2874
193;2.510692596435547;2838;10;7;2854
194;2.5233263969421387;2785;8;4;2820
195;2.5362608432769775;2779;8;12;2816
196;2.549161911010742;2781;8;7;2812
197;2.5620574951171875;2786;7;6;2820
198;2.5749268531799316;2780;9;11;2814
199;2.5878219604492188;2782;9;7;2814
200;2.6018452644348145;2763;7;5;2800
201;2.614861249923706;2777;9;11;2814
202;2.627825975418091;2782;8;7;2814
203;2.6407318115234375;2783;5;6;2820
204;2.6537179946899414;2774;10;10;2815
205;2.666642665863037;2786;8;7;2816
206;2.6796557903289795;2777;4;8;2815
207;2.692643642425537;2776;11;8;2815
208;2.70558762550354;2786;8;7;2815
209;2.7185556888580322;2781;5;9;2818
210;2.7314529418945312;2775;11;7;2812
211;2.744464635848999;2785;8;6;2819
212;2.757361888885498;2778;6;10;2818
213;2.7702510356903076;2782;10;8;2816
214;2.7831544876098633;2785;8;4;2818
215;2.7960495948791504;2780;8;11;2817
216;2.809030532836914;2777;8;7;2813
217;2.8220229148864746;2783;7;4;2821
218;2.8349201679229736;2778;9;11;2813
219;2.847799301147461;2788;8;9;2815
220;2.860703229904175;2786;6;7;2819
221;2.8736860752105713;2779;10;10;2817
222;2.8865668773651123;2784;9;8;2815
223;2.8995301723480225;2779;4;8;2819
224;2.9124269485473633;2780;12;7;2813
225;2.9253385066986084;2786;8;7;2821
226;2.938236713409424;2780;5;9;2814
227;2.9512102603912354;2777;11;8;2815
228;2.9640891551971436;2788;8;6;2820
229;2.9770243167877197;2780;7;9;2815
230;2.989924430847168;2781;9;8;2817
231;3.002800226211548;2786;7;4;2816
232;3.0158495903015137;2776;9;10;2815
233;3.028756618499756;2783;8;7;2819
234;3.0416715145111084;2782;7;4;2820
235;3.054564952850342;2780;9;11;2815
236;3.067455291748047;2784;8;7;2816
237;3.0803401470184326;2783;3;6;2822
238;3.0932254791259766;2779;10;9;2817
