;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.004103660583496094;20;6;26;2926
1;0.01880049705505371;58;7;24;2952
2;0.036977529525756836;20;7;24;2915
3;0.05282282829284668;21;7;26;2937
4;0.06699681282043457;19;6;28;2938
5;0.0800027847290039;20;7;25;2942
6;0.0930027961730957;22;6;26;2937
7;0.10591244697570801;21;8;26;2933
8;0.1187748908996582;21;7;24;2929
9;0.1316230297088623;20;7;25;2927
10;0.14445948600769043;21;7;25;2928
11;0.15729451179504395;21;7;25;2927
12;0.17011284828186035;21;7;28;2926
13;0.1830427646636963;20;7;25;2919
14;0.19589734077453613;20;6;23;2920
15;0.20876455307006836;20;6;26;2920
16;0.22160959243774414;20;7;25;2923
17;0.23444628715515137;21;7;27;2922
18;0.24728918075561523;20;5;28;2929
19;0.2601189613342285;21;7;26;2929
20;0.27295923233032227;19;6;26;2927
21;0.2858138084411621;20;6;25;2935
22;0.2986569404602051;20;6;24;2933
23;0.31154608726501465;21;6;25;2939
24;0.32440185546875;19;7;25;2937
25;0.33724141120910645;21;6;25;2941
26;0.3500983715057373;20;7;28;2934
27;0.3630411624908447;21;7;26;2930
28;0.3758680820465088;20;6;23;2928
29;0.38869786262512207;20;7;26;2924
30;0.4015161991119385;22;7;26;2926
31;0.41434502601623535;20;5;27;2923
32;0.4272885322570801;20;7;29;2919
33;0.4401116371154785;20;7;24;2918
34;0.45298027992248535;20;6;25;2924
35;0.46581411361694336;20;7;26;2929
36;0.4786851406097412;21;7;24;2931
37;0.4915125370025635;20;7;25;2926
38;0.5043456554412842;22;6;24;2924
39;0.5172529220581055;23;7;25;2927
40;0.53009033203125;28;6;28;2938
41;0.5429916381835938;34;6;26;2943
42;0.5558412075042725;40;7;24;2938
43;0.5686328411102295;51;7;27;2930
44;0.5814456939697266;62;7;26;2928
45;0.594416618347168;65;6;27;2935
46;0.6072943210601807;61;6;27;2938
47;0.6201736927032471;62;7;25;2915
48;0.6329967975616455;61;7;25;2915
49;0.6457788944244385;61;7;26;2921
50;0.6586477756500244;61;7;24;2928
51;0.6715531349182129;59;7;26;2934
52;0.6843864917755127;60;7;24;2921
53;0.697216272354126;59;8;26;2912
54;0.7100768089294434;60;6;28;2912
55;0.7229616641998291;63;6;25;2933
56;0.7357842922210693;70;7;24;2939
57;0.748619794845581;80;7;26;2939
58;0.7614626884460449;89;7;25;2924
59;0.7743368148803711;90;6;27;2925
60;0.7872271537780762;90;7;28;2933
61;0.800062894821167;91;7;26;2941
62;0.8130290508270264;92;7;25;2944
63;0.8258559703826904;93;6;27;2932
64;0.838698148727417;92;7;25;2924
65;0.8515317440032959;91;7;25;2915
66;0.8643627166748047;91;7;25;2917
67;0.8772013187408447;90;7;26;2930
68;0.890019416809082;90;7;29;2934
69;0.9029006958007812;90;7;25;2927
70;0.9172027111053467;89;7;26;2912
