Time [s];Waga rybacka [kg];pressure_tank
0.04954361915588379;0.654;37.99
1.0070216655731201;0.653;38.077
1.8130550384521484;0.657;37.986
2.7284059524536133;0.653;37.99
3.5714569091796875;0.653;38.034
4.467640161514282;0.653;37.982
5.33855938911438;0.651;37.986
6.204096078872681;0.65;37.982
7.105782985687256;0.648;37.962
7.992027521133423;0.65;37.922
8.930153369903564;0.648;38.01
9.767969608306885;0.653;37.986
10.635697364807129;0.647;37.894
11.502981424331665;0.651;37.986
12.376803874969482;0.65;37.898
13.396411895751953;0.653;37.89
14.290687799453735;0.651;37.982
15.189087629318237;0.651;37.986
16.082905292510986;0.654;37.978
17.007358074188232;0.653;38.034
17.92326545715332;0.651;38.061
18.82844853401184;0.65;37.986
19.725813150405884;0.647;38.073
20.662495613098145;0.645;38.073
21.52598810195923;0.648;38.069
22.37818932533264;0.648;37.986
23.222724676132202;0.654;37.986
24.078198671340942;0.65;37.978
24.95116662979126;0.65;37.982
25.819262742996216;0.651;37.982
26.69683313369751;0.654;37.986
27.565000772476196;0.651;37.982
28.442432403564453;0.645;37.986
29.31257152557373;0.653;37.922
30.216354608535767;0.656;37.982
31.107858180999756;0.644;37.99
32.021138191223145;0.653;37.918
32.924147844314575;0.654;37.986
33.83621835708618;0.651;37.99
34.913108825683594;0.654;37.986
35.8399932384491;0.654;37.986
36.77426600456238;0.654;38.065
37.70066976547241;0.657;37.99
38.63903450965881;0.656;38.073
39.59564733505249;0.656;37.986
40.560526609420776;0.66;38.073
41.543298959732056;0.647;37.986
42.440024614334106;0.656;37.894
43.33302593231201;0.654;37.986
44.237937450408936;0.65;37.982
45.13277840614319;0.647;38.006
46.03661561012268;0.645;37.982
46.93491053581238;0.65;37.986
47.83084177970886;0.657;37.982
48.761491775512695;0.654;37.978
49.679449796676636;0.654;37.99
50.60932779312134;0.644;38.061
51.5318922996521;0.654;37.918
52.45853042602539;0.645;37.986
53.379337549209595;0.653;37.99
54.31050705909729;0.65;38.053
55.231541872024536;0.693;37.986
56.14041090011597;0.653;38.069
57.173319816589355;0.648;37.986
58.07144784927368;0.657;38.077
58.97280502319336;0.651;38.073
59.865777015686035;0.656;37.982
60.76955580711365;0.653;38.073
61.663275718688965;0.653;37.982
62.556984186172485;0.647;37.982
63.46099829673767;0.651;37.986
64.36021685600281;0.643;37.99
65.26967930793762;0.651;38.01
66.16521215438843;0.653;37.982
67.06067061424255;0.653;38.077
67.98845720291138;0.653;37.986
68.9077262878418;0.645;38.073
69.8348183631897;0.65;37.982
70.75856423377991;0.647;37.986
71.68624067306519;0.656;37.922
72.60698437690735;0.65;38.065
73.53793239593506;0.645;38.073
74.45913004875183;0.643;37.982
75.39015483856201;0.65;37.986
76.31041955947876;0.653;37.982
77.2570013999939;0.645;38.073
78.20893478393555;0.651;38.073
79.15364360809326;0.651;37.982
80.27523994445801;0.647;37.986
81.22093725204468;0.662;38.427
82.15684056282043;0.66;38.872
82.98349857330322;0.668;39.222
83.83478927612305;0.675;39.493
84.68691086769104;0.671;39.723
85.55381035804749;0.671;40.037
86.38844442367554;0.692;40.312
87.21482944488525;0.68;40.308
88.02864909172058;0.678;40.486
88.86429190635681;0.695;40.578
89.68876528739929;0.707;40.761
90.56657934188843;0.723;41.027
91.4500584602356;0.732;41.206
92.29211759567261;0.745;41.381
93.16215443611145;0.762;41.556
94.03434729576111;0.775;41.731
94.92767238616943;0.78;41.818
95.82191681861877;0.793;42.037
96.72598195075989;0.807;42.172
97.61374425888062;0.814;42.347
98.47197389602661;0.822;42.53
99.35411047935486;0.833;42.625
100.22300481796265;0.839;42.713
101.1029405593872;0.85;42.892
101.96178960800171;0.862;42.983
102.80962562561035;0.866;43.074
103.83593797683716;0.881;43.249
104.68191456794739;0.88;43.416
105.53688859939575;0.895;43.516
106.3994562625885;0.907;43.603
107.25791645050049;0.914;43.691
108.12296962738037;0.919;43.774
108.99560952186584;0.919;43.826
109.87492203712463;0.93;43.87
110.7454981803894;0.942;43.953
111.6311764717102;0.939;44.052
112.52026009559631;0.956;44.14
113.40275287628174;0.96;44.283
114.2952139377594;0.962;44.227
115.20188570022583;0.962;44.227
116.08322024345398;0.969;44.144
116.95436954498291;0.974;44.136
117.82504963874817;0.962;44.136
118.7021267414093;0.96;44.108
119.57351899147034;0.957;44.14
120.45202827453613;0.966;44.048
121.32213640213013;0.971;44.052
122.20432639122009;0.966;44.052
123.07413125038147;0.968;43.957
123.95742774009705;0.978;43.953
124.83370637893677;0.974;43.87
125.70520949363708;0.971;43.866
126.75971746444702;0.968;43.782
127.63195180892944;0.966;43.782
128.50820398330688;0.972;43.703
129.38184571266174;0.971;43.774
130.26203274726868;0.969;43.778
131.13551449775696;0.965;43.691
132.01843905448914;0.98;43.691
132.8930902481079;0.972;43.631
133.76672554016113;0.978;43.691
134.67342805862427;0.975;43.599
135.56921911239624;0.966;43.599
136.47170400619507;0.966;43.512
137.3682405948639;0.966;43.552
138.27053475379944;0.968;43.607
139.1665894985199;0.968;43.599
140.0699532032013;0.969;43.488
140.96750211715698;0.969;43.516
141.87154722213745;0.978;43.428
142.76572942733765;0.969;43.428
143.66903066635132;0.98;43.428
144.56548261642456;0.975;43.428
145.46852564811707;0.974;43.432
146.3650414943695;0.984;43.428
147.4605793952942;0.98;43.424
148.36727142333984;0.977;43.341
149.28271079063416;0.978;43.404
150.18863892555237;0.978;43.432
151.1034655570984;0.978;43.337
152.011075258255;0.977;43.369
152.925518989563;0.975;43.337
153.85813212394714;0.98;43.277
154.79637837409973;0.971;43.337
155.7316129207611;0.971;43.249
156.6693663597107;0.975;43.337
157.599294424057;0.972;43.249
158.53759026527405;0.978;43.249
159.46793127059937;0.977;43.249
160.40505456924438;0.977;43.245
161.33706045150757;0.969;43.249
162.27672791481018;0.977;43.341
163.20842289924622;0.975;43.249
164.14709496498108;0.98;43.249
165.04220461845398;0.975;43.249
165.93679428100586;0.983;43.249
166.82628393173218;0.966;43.245
167.9200255870819;0.983;43.237
168.8290822505951;0.977;43.202
169.74550008773804;0.983;43.245
170.65354180335999;0.983;43.162
171.572740316391;0.975;43.249
172.48212242126465;0.971;43.158
173.40027832984924;0.972;43.162
174.3100266456604;0.98;43.162
175.2284779548645;0.972;43.158
176.13899111747742;0.969;43.162
177.05710339546204;0.978;43.162
177.96683263778687;0.971;43.162
178.88705921173096;0.978;43.206
179.79697513580322;0.975;43.158
180.71730256080627;0.969;43.245
181.62796211242676;0.969;43.162
182.54797983169556;0.969;43.162
183.46022629737854;0.977;43.158
184.38277053833008;0.972;43.158
185.29653906822205;0.974;43.162
186.21503734588623;0.977;43.162
187.1262731552124;0.984;43.158
188.23280572891235;0.984;43.158
189.1432590484619;0.974;43.118
190.06410956382751;0.978;43.158
190.97576904296875;0.981;43.074
191.92016553878784;0.983;43.158
192.8560872077942;0.963;43.158
193.79948568344116;0.98;43.142
194.7341070175171;0.984;43.074
195.6984157562256;0.975;43.074
196.6976397037506;0.981;43.071
