;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0055997371673583984;57;7;10867;3860
1;0.02180314064025879;52;45;10866;3518
2;0.03634023666381836;55;19;10888;3832
3;0.05153679847717285;51;60;10866;3594
4;0.06480240821838379;57;28;10867;3659
5;0.07787632942199707;62;16;10866;3727
6;0.09093308448791504;55;22;10866;3697
7;0.1039886474609375;55;31;10872;3862
8;0.11699080467224121;52;21;10866;3580
9;0.12994003295898438;57;-2;10867;3682
10;0.14294099807739258;46;36;10866;3546
11;0.1558682918548584;49;17;10867;3649
12;0.16881442070007324;51;27;10866;3521
13;0.18178558349609375;55;31;10866;3742
14;0.1959834098815918;50;28;10866;3718
15;0.20920634269714355;47;29;10867;3435
16;0.22231197357177734;60;30;10866;3615
17;0.23519659042358398;55;28;10882;3501
18;0.24815583229064941;53;30;10889;3716
19;0.261016845703125;46;31;10867;3672
20;0.27395081520080566;51;30;10866;3683
21;0.2868077754974365;56;28;10878;3662
22;0.29970622062683105;60;25;10866;3650
23;0.3126227855682373;56;28;10867;3611
24;0.32555389404296875;53;31;10890;3638
25;0.33840131759643555;53;44;10867;3716
26;0.35140061378479004;53;36;10866;3685
27;0.36427974700927734;54;36;10866;3645
28;0.3771185874938965;63;26;10866;3565
29;0.38997626304626465;55;34;10866;3674
30;0.4029049873352051;52;25;10865;3473
31;0.41576504707336426;47;31;10866;3684
32;0.4287142753601074;51;33;10867;3579
33;0.44163990020751953;59;31;10867;3718
34;0.454559326171875;59;37;10866;3626
35;0.4674093723297119;46;9;10866;3745
36;0.48027873039245605;43;42;10867;3595
37;0.4931330680847168;49;48;10868;3688
38;0.5060629844665527;58;29;10867;3479
39;0.5190351009368896;54;13;10889;3637
40;0.5318975448608398;57;78;10867;3633
41;0.5447494983673096;56;52;10887;3688
42;0.5577268600463867;48;54;10866;3679
43;0.5706722736358643;57;-58;10865;3574
44;0.5835208892822266;51;38;10887;3784
45;0.5964367389678955;51;-18;10866;3434
46;0.6093764305114746;55;-9;10866;3810
47;0.622323751449585;56;27;10873;3392
48;0.635178804397583;52;48;10876;3803
49;0.6481189727783203;57;72;10866;3505
50;0.6609814167022705;52;35;10866;3803
51;0.6738619804382324;51;70;10867;3631
52;0.6867358684539795;60;16;10866;3711
53;0.6995823383331299;60;24;10877;3678
54;0.7125058174133301;47;44;10873;3550
55;0.7254841327667236;60;38;10865;3588
56;0.7383487224578857;44;-10;10866;3596
57;0.7512805461883545;51;19;10867;3565
58;0.7641704082489014;54;55;10866;3732
59;0.7770521640777588;50;7;10882;3572
60;0.7899084091186523;56;95;10866;3833
61;0.8027544021606445;62;58;10866;3423
62;0.815671443939209;48;29;10866;3666
63;0.8305113315582275;52;25;10866;3604
64;0.8434276580810547;50;-175;10882;3666
65;0.8562989234924316;41;44;10876;3750
66;0.8692119121551514;57;46;10866;3576
67;0.8820819854736328;61;30;10866;3786
68;0.8949282169342041;50;-23;10867;3517
69;0.9078526496887207;51;54;10888;3710
70;0.9207544326782227;50;54;10866;3440
71;0.9337401390075684;61;6;10874;3759
72;0.9466454982757568;50;26;10866;3469
73;0.9595470428466797;48;45;10867;3903
74;0.9724440574645996;54;14;10867;3412
75;0.9853196144104004;59;61;10866;3926
76;0.9981880187988281;53;44;10890;3326
77;1.0112462043762207;51;52;10890;3904
78;1.024125576019287;55;59;10867;3323
79;1.0369977951049805;51;61;10867;3895
80;1.0498991012573242;61;53;10883;3384
81;1.0627593994140625;61;51;10878;3911
82;1.075634241104126;60;395;10867;3462
83;1.0885679721832275;60;140;10867;3818
84;1.101447582244873;54;204;10867;3525
85;1.1144707202911377;54;-58;10866;3670
86;1.1273465156555176;53;-17;10867;3618
87;1.1402173042297363;51;36;10866;3489
88;1.1531412601470947;62;425;10867;3744
89;1.1660358905792236;54;-192;10889;3449
90;1.1789119243621826;57;-149;10865;3925
91;1.1917996406555176;49;-27;10866;3398
92;1.204667091369629;51;-22;10878;4035
93;1.2176904678344727;59;15;10884;3297
94;1.2306194305419922;51;16;10867;3994
95;1.2434885501861572;58;30;10866;3241
96;1.2563745975494385;46;34;10867;3953
97;1.2692878246307373;59;37;10878;3315
98;1.282226324081421;59;42;10867;3926
99;1.2951059341430664;62;30;10865;3414
100;1.3081285953521729;48;23;10867;3748
101;1.3210177421569824;60;37;10886;3508
102;1.3338797092437744;59;33;10866;3657
103;1.346787929534912;55;29;10888;3609
104;1.3596563339233398;54;27;10889;3580
105;1.3725252151489258;54;29;10866;3727
106;1.385498285293579;51;23;10867;3613
107;1.3984084129333496;59;25;10867;3740
108;1.4113490581512451;55;23;10878;3589
109;1.424259901046753;51;34;10866;3702
110;1.4371576309204102;60;31;10865;3592
111;1.4500596523284912;53;29;10866;3671
112;1.4629316329956055;54;39;10871;3550
113;1.4757945537567139;60;30;10875;3706
114;1.4888887405395508;55;30;10868;3478
115;1.5017647743225098;47;22;10889;3832
116;1.5146715641021729;61;29;10889;3416
117;1.527606725692749;63;26;10867;3893
118;1.5405445098876953;55;35;10867;3340
119;1.5534002780914307;46;32;10865;3886
120;1.5662972927093506;64;26;10867;3404
121;1.5791845321655273;57;29;10867;3842
122;1.5920650959014893;58;18;10890;3504
123;1.6049628257751465;57;31;10866;3786
124;1.6179049015045166;56;42;10867;3598
125;1.6308543682098389;62;31;10866;3699
126;1.6437103748321533;58;33;10869;3606
127;1.6566457748413086;61;32;10867;3623
128;1.6695225238800049;58;32;10867;3574
129;1.682399034500122;64;26;10867;3557
130;1.695784568786621;60;40;10868;3629
131;1.7091774940490723;50;27;10867;3686
132;1.7221059799194336;63;35;10886;3635
133;1.735076904296875;56;27;10866;3663
134;1.7479522228240967;60;27;10867;3565
135;1.7609224319458008;62;28;10868;3657
136;1.7738564014434814;52;28;10867;3608
137;1.78672194480896;61;39;10866;3621
138;1.7996749877929688;53;30;10889;3631
139;1.81260347366333;62;27;10866;3673
140;1.8255481719970703;60;27;10865;3659
141;1.8385207653045654;55;33;10866;3693
142;1.8514056205749512;60;30;10888;3557
143;1.8642849922180176;55;22;10866;3748
144;1.8771555423736572;54;24;10873;3537
145;1.8900175094604492;60;38;10866;3708
146;1.902902364730835;58;28;10866;3599
147;1.9158294200897217;58;31;10867;3634
148;1.9288017749786377;62;33;10889;3615
149;1.9417469501495361;58;36;10866;3590
150;1.9546840190887451;54;30;10888;3697
151;1.9676647186279297;63;25;10888;3572
152;1.980583906173706;55;28;10867;3688
153;1.9934980869293213;56;28;10866;3655
154;2.107006549835205;54;23;10867;3691
155;2.128262519836426;51;30;10888;3644
156;2.1395483016967773;55;36;10866;3629
157;2.154402732849121;57;27;10870;3672
158;2.1670126914978027;53;35;10867;3634
