;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0036163330078125;223;30;-89;2992
1;0.017586469650268555;239;30;106;3012
2;0.031243324279785156;248;34;29;2982
3;0.04676008224487305;239;30;4;2973
4;0.05968475341796875;238;27;42;3020
5;0.07256245613098145;242;33;29;3000
6;0.08543682098388672;231;29;-22;2967
7;0.09829998016357422;237;29;98;2998
8;0.1112523078918457;249;30;28;2991
9;0.12410521507263184;226;29;-99;2996
10;0.13696789741516113;249;30;111;2991
11;0.14984822273254395;277;31;12;2985
12;0.16270208358764648;254;28;-67;2996
13;0.17556238174438477;305;33;57;2999
14;0.18840765953063965;294;29;10;2985
15;0.20133471488952637;290;27;5;3021
16;0.21419429779052734;296;35;26;3001
17;0.22706127166748047;300;29;6;2969
18;0.23993372917175293;304;27;39;3033
19;0.25273704528808594;312;33;29;2987
20;0.2655506134033203;306;29;-23;2979
21;0.27840137481689453;369;31;99;3002
22;0.2913050651550293;328;30;26;2997
23;0.30420732498168945;309;30;-101;2998
24;0.3170444965362549;329;31;113;3002
25;0.329925537109375;349;30;10;2993
26;0.3427870273590088;320;29;-65;3003
27;0.3556387424468994;342;32;54;3000
28;0.36844372749328613;350;31;12;2990
29;0.38129472732543945;449;27;12;3026
30;0.39417338371276855;351;36;26;3001
31;0.40706443786621094;355;30;4;2969
32;0.41989874839782715;358;27;44;3028
33;0.43273401260375977;370;32;29;2984
34;0.44556570053100586;365;29;-27;2966
35;0.4584219455718994;379;30;101;2993
36;0.4713613986968994;399;30;26;2987
37;0.48419880867004395;484;28;-110;3001
38;0.4970376491546631;406;32;116;3000
39;0.5098819732666016;436;30;6;2986
40;0.5227236747741699;419;28;-52;2999
41;0.535557746887207;453;34;38;3005
42;0.5483944416046143;474;30;13;2970
43;0.5612962245941162;484;26;17;3025
44;0.5741102695465088;506;35;26;2996
45;0.5869441032409668;628;30;1;2967
46;0.5998427867889404;547;27;47;3024
47;0.6127712726593018;576;33;30;2990
48;0.6256091594696045;585;29;-29;2975
49;0.6384482383728027;616;30;101;2994
50;0.6513035297393799;650;30;24;2987
51;0.6641337871551514;645;30;-113;2990
52;0.676978588104248;687;30;117;2993
53;0.689861536026001;818;31;-2;2989
54;0.7027585506439209;727;28;-50;3002
55;0.7156729698181152;772;34;38;3000
56;0.7285072803497314;805;31;12;2976
57;0.7413387298583984;828;26;20;3023
58;0.7541911602020264;860;35;27;2993
59;0.7670605182647705;888;29;0;2966
60;0.7798993587493896;920;27;51;3028
61;0.7927389144897461;1010;31;30;2992
62;0.8056313991546631;982;29;-34;2980
63;0.8184459209442139;1027;29;101;2991
64;0.831291913986206;1075;31;22;2987
65;0.8440992832183838;1082;29;-113;2994
66;0.8569388389587402;1135;31;110;2990
67;0.8698489665985107;1185;29;-6;2985
68;0.8827178478240967;1199;28;-42;3009
69;0.8955528736114502;1259;32;110;3001
70;0.9099555015563965;1305;30;-3;2988
71;0.9227886199951172;1317;28;-42;3010
72;0.93562912940979;1364;34;25;3000
73;0.9484655857086182;1394;29;12;2981
74;0.9612951278686523;1427;26;23;3027
75;0.9741151332855225;1474;35;27;2999
76;0.9869494438171387;1493;29;-2;2967
77;0.9998745918273926;1504;27;54;3020
78;1.0127599239349365;1552;31;31;2986
79;1.0255608558654785;1598;29;-44;2977
80;1.038393259048462;1663;31;104;2989
81;1.0514261722564697;1704;30;22;2989
82;1.0643360614776611;1689;29;-115;2993
83;1.0771536827087402;1719;32;111;2997
84;1.089982032775879;1711;30;-7;2984
85;1.1028268337249756;1711;28;-40;3014
86;1.1157052516937256;1788;34;26;2998
87;1.1285367012023926;1859;30;12;2974
88;1.1413829326629639;1894;25;23;3029
89;1.1542348861694336;1903;36;27;2999
90;1.1670589447021484;1907;29;-4;2967
91;1.1798512935638428;1930;28;61;3024
92;1.1927158832550049;1965;31;32;2987
93;1.2055943012237549;1960;29;-47;2979
94;1.2184491157531738;1963;29;106;2993
95;1.2312898635864258;1878;31;22;3047
96;1.2441506385803223;1623;29;-112;3045
97;1.257002830505371;1556;32;108;3025
98;1.2699193954467773;1723;30;-6;3082
99;1.2827718257904053;1906;28;-32;2985
100;1.295619010925293;1984;35;24;3075
101;1.3085026741027832;1918;30;10;3021
102;1.3213741779327393;1889;26;26;3070
103;1.3342108726501465;1946;34;27;3049
104;1.3470468521118164;2003;29;-6;2990
105;1.359886646270752;2023;28;66;3003
106;1.372720718383789;2022;31;32;3042
107;1.3855903148651123;2009;30;-55;2961
108;1.3984284400939941;2050;31;111;3006
109;1.4113469123840332;2102;30;22;2998
110;1.4241833686828613;2090;30;-114;3008
111;1.437791347503662;2116;31;115;3046
112;1.4506645202636719;2147;30;10;2954
113;1.4635424613952637;2124;29;-64;3169
114;1.476402759552002;2132;33;52;2988
115;1.4892373085021973;2068;30;12;3137
116;1.50205397605896;1926;26;11;3005
117;1.514988899230957;1889;34;26;3148
118;1.5277814865112305;2001;30;3;2953
119;1.5406239032745361;2137;27;44;3114
120;1.5534849166870117;2177;33;30;2951
121;1.5663020610809326;2141;30;-29;3022
