;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.003637075424194336;79;30;104;2906
1;0.01751112937927246;86;30;31;2905
2;0.03164553642272949;73;30;2;2883
3;0.04705333709716797;79;26;20;2939
4;0.06002974510192871;83;36;27;2907
5;0.07295846939086914;81;29;1;2875
6;0.08585786819458008;82;27;47;2940
7;0.09879255294799805;87;33;28;2901
8;0.11178708076477051;75;29;-22;2894
9;0.12468457221984863;81;29;94;2912
10;0.13762760162353516;92;30;30;2903
11;0.15053820610046387;69;29;-90;2907
12;0.1634054183959961;86;30;109;2909
13;0.17626619338989258;100;32;14;2900
14;0.18913912773132324;68;29;-69;2917
15;0.20208501815795898;89;34;75;2913
16;0.21502161026000977;96;30;-1;2899
17;0.22790002822875977;84;26;-8;2928
18;0.24088764190673828;90;35;25;2912
19;0.2537534236907959;90;30;8;2882
20;0.26664018630981445;88;26;31;2938
21;0.27950429916381836;93;35;26;2908
22;0.29236340522766113;89;29;-7;2886
23;0.3052964210510254;94;28;65;2925
24;0.31825733184814453;267;31;31;3518
25;0.33112311363220215;88;30;-46;2906
26;0.3441042900085449;100;30;103;2905
27;0.35695958137512207;115;30;22;2906
28;0.36981630325317383;87;29;-106;2911
29;0.3826911449432373;105;31;109;2909
30;0.39558982849121094;118;31;-7;2896
31;0.4085865020751953;94;28;-43;2922
32;0.4214651584625244;107;35;28;2909
33;0.43433427810668945;110;31;13;2892
34;0.4472920894622803;105;24;17;2933
35;0.46016955375671387;105;35;25;2906
36;0.47304582595825195;102;29;1;2878
37;0.4859123229980469;102;27;47;2943
38;0.4988138675689697;106;33;29;2901
39;0.5117835998535156;96;29;-22;2890
40;0.524644136428833;104;29;96;2912
41;0.5375313758850098;112;30;29;2906
42;0.550482988357544;91;29;-91;2907
43;0.5633852481842041;110;30;109;2907
44;0.5762510299682617;127;30;14;2904
45;0.5891237258911133;98;28;-68;2908
46;0.6020410060882568;122;34;76;2913
47;0.6150259971618652;129;31;-2;2892
48;0.627892255783081;118;27;-7;2930
49;0.6408329010009766;123;36;26;2912
50;0.6536870002746582;126;30;9;2885
51;0.6665418148040771;126;26;30;2938
52;0.679417610168457;131;35;27;2903
53;0.6922791004180908;126;29;-10;2889
54;0.7051403522491455;131;28;75;2923
55;0.7180263996124268;138;31;31;2904
56;0.7308924198150635;119;30;-63;2900
57;0.7437574863433838;133;30;112;2908
58;0.7566425800323486;150;31;21;2901
59;0.7695436477661133;121;29;-98;2913
60;0.7824094295501709;141;33;96;2912
61;0.7952594757080078;156;30;-7;2902
62;0.8083302974700928;138;28;-31;2925
63;0.82120680809021;154;37;25;2910
64;0.8340644836425781;159;30;10;2886
65;0.8469293117523193;159;25;23;2936
66;0.8597958087921143;166;36;26;2912
67;0.8726634979248047;167;29;-2;2889
68;0.885554313659668;174;27;56;2938
69;0.8984193801879883;185;31;30;2910
70;0.911369800567627;177;30;-37;2894
71;0.9256610870361328;194;26;52;2937
72;0.9386649131774902;205;31;28;2897
73;0.9515290260314941;202;30;-29;2893
74;0.9644143581390381;220;29;104;2908
75;0.9772870540618896;253;31;27;2905
76;0.9901609420776367;228;30;-109;2905
77;1.0030925273895264;259;32;112;2911
78;1.0159578323364258;288;30;8;2904
79;1.028815507888794;272;29;-57;2918
80;1.0417850017547607;305;33;52;2912
81;1.0546469688415527;324;30;9;2897
82;1.067505121231079;332;27;5;2937
83;1.080456256866455;351;35;25;2920
84;1.093311071395874;370;31;5;2883
85;1.106224536895752;381;26;37;2941
86;1.1190929412841797;387;34;27;2902
87;1.1319475173950195;378;30;-18;2890
88;1.144810676574707;386;29;86;2916
89;1.1576826572418213;417;30;30;2908
90;1.1705248355865479;433;29;-87;2902
91;1.1834046840667725;521;31;109;2906
92;1.1962742805480957;525;30;16;2902
93;1.2092068195343018;511;28;-75;2918
94;1.2220673561096191;551;32;79;2911
95;1.2350172996520996;587;32;-2;2901
96;1.2478959560394287;611;28;-9;2932
97;1.260838270187378;648;35;25;2909
98;1.2736937999725342;679;30;8;2889
99;1.2865619659423828;738;26;31;2940
100;1.299422025680542;738;35;27;2915
101;1.3123369216918945;766;29;-8;2883
102;1.3252103328704834;804;28;68;2924
103;1.3381595611572266;842;31;31;2900
104;1.351027011871338;846;30;-49;2895
105;1.3639676570892334;857;30;107;2909
106;1.3768281936645508;861;31;22;2901
107;1.3897433280944824;873;29;-106;2901
108;1.40260648727417;942;31;108;2905
109;1.4155480861663818;1007;29;-6;2901
110;1.4284155368804932;1004;28;-35;2925
111;1.4418902397155762;1013;34;67;2907
112;1.4548945426940918;1023;30;1;2902
113;1.4677863121032715;1024;27;-3;2936
114;1.480790376663208;1065;35;25;2922
115;1.4936573505401611;1111;29;8;2888
116;1.5065946578979492;1137;25;29;2938
117;1.5195050239562988;1162;35;26;2913
118;1.5323753356933594;1181;29;-7;2882
119;1.5452570915222168;1217;28;64;2932
120;1.5582387447357178;1264;30;30;2902
121;1.5711023807525635;1286;29;-45;2892
122;1.5840964317321777;1330;30;103;2912
123;1.5969688892364502;1375;31;24;2903
124;1.6099162101745605;1381;29;-110;2911
125;1.6227967739105225;1432;31;113;2915
126;1.6356635093688965;1469;30;-3;2904
127;1.6487255096435547;1463;29;-55;2922
128;1.6616265773773193;1505;34;42;2915
129;1.6744914054870605;1544;31;12;2899
130;1.6873500347137451;1572;26;15;2937
131;1.700225591659546;1607;35;26;2905
132;1.713153600692749;1637;29;3;2881
133;1.7260236740112305;1667;26;42;2941
134;1.7388863563537598;1709;33;29;2905
135;1.7518606185913086;1739;29;-19;2890
136;1.764833927154541;1777;29;84;2915
137;1.7776966094970703;1813;30;30;2908
138;1.7905457019805908;1824;30;-85;2904
139;1.8034231662750244;1875;31;109;2909
140;1.8163390159606934;1927;29;18;2906
141;1.8292059898376465;1929;28;-77;2913
142;1.8420798778533936;1987;32;82;2916
143;1.855034351348877;2035;30;-1;2900
144;1.8679006099700928;2066;28;-10;2932
145;1.8808448314666748;2111;35;25;2908
146;1.893714189529419;2152;30;8;2888
147;1.9065566062927246;2194;25;31;2936
148;1.9194214344024658;2243;34;28;2908
149;1.9323136806488037;2281;29;-8;2883
150;1.9451932907104492;2321;28;70;2921
151;1.9582138061523438;2360;31;30;2900
152;1.9712629318237305;2378;30;-39;2895
153;1.9841413497924805;2426;30;102;2905
154;1.9970133304595947;2477;30;26;2905
155;2.1085362434387207;9;30;-97;2840
156;2.1293222904205322;4;28;-103;2945
157;2.1524899005889893;17;30;13;2872
158;2.254688024520874;25;29;7;2917
159;2.265014886856079;21;30;107;2895
160;2.277674436569214;18;30;19;2978
161;2.2879812717437744;45;27;39;2800
162;2.2977728843688965;2;31;10;3210
163;2.307669162750244;39;29;47;2767
164;2.31746768951416;45;30;-5;2746
165;2.3272359371185303;22;28;38;3054
166;2.337815284729004;43;30;9;2734
167;2.347670316696167;19;28;47;3171
168;2.3574414253234863;26;31;-6;2800
169;2.3672025203704834;18;29;64;2798
170;2.3769426345825195;39;31;-1;3147
171;2.386687755584717;21;30;83;2747
172;2.3964478969573975;34;30;10;2948
173;2.4061944484710693;20;31;102;2982
174;2.415954828262329;141;30;12;2810
175;2.425699234008789;811;31;110;3048
176;2.435509443283081;1155;30;9;2729
177;2.445263147354126;758;32;108;3053
178;2.4550070762634277;184;30;4;2867
179;2.4647533893585205;16;32;113;2857
