;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.005885601043701172;68;42;10663;3791
1;0.022167205810546875;68;62;10686;3661
2;0.04786872863769531;67;38;10662;3699
3;0.060974836349487305;69;4;10685;3762
4;0.07387208938598633;68;85;10662;3802
5;0.08676266670227051;69;40;10685;3747
6;0.09968113899230957;67;-20;10667;3845
7;0.11260509490966797;69;103;10662;3686
8;0.12546730041503906;69;46;10662;3895
9;0.13846230506896973;70;-22;10661;3625
10;0.1513383388519287;67;74;10662;3894
11;0.1641864776611328;69;15;10686;3671
12;0.17706012725830078;68;12;10675;3888
13;0.18991589546203613;70;34;10678;3664
14;0.20286250114440918;68;18;10663;3910
15;0.2157273292541504;69;35;10663;3655
16;0.22860431671142578;70;36;10661;3871
17;0.24160218238830566;68;13;10662;3647
18;0.25449609756469727;68;61;10662;3844
19;0.2673637866973877;69;37;10663;3689
20;0.28024744987487793;67;-5;10661;3878
21;0.29311323165893555;65;99;10663;3672
22;0.3060746192932129;70;38;10662;3877
23;0.3189377784729004;68;-29;10674;3745
24;0.3319430351257324;69;99;10662;3790
25;0.3448026180267334;67;26;10663;3734
26;0.3576819896697998;68;-10;10685;3799
27;0.370560884475708;66;47;10682;3743
28;0.38347649574279785;66;27;10673;3772
29;0.39632201194763184;69;24;10662;3770
30;0.4092581272125244;67;34;10684;3776
31;0.4221336841583252;71;17;10662;3755
32;0.43508005142211914;69;41;10662;3767
33;0.4479384422302246;68;42;10662;3807
34;0.4608039855957031;66;9;10663;3704
35;0.473736047744751;68;80;10664;3832
36;0.4866459369659424;71;38;10685;3709
37;0.49958324432373047;67;-11;10662;3884
38;0.5125491619110107;69;100;10662;3631
39;0.5254170894622803;69;34;10662;3927
40;0.5383946895599365;68;-27;10685;3627
41;0.551262378692627;68;95;10663;3892
42;0.5641698837280273;69;7;10661;3654
43;0.577042818069458;68;2;10686;3874
44;0.5898988246917725;66;33;10674;3644
45;0.6028323173522949;68;22;10677;3848
46;0.6156961917877197;70;32;10662;3694
47;0.6285667419433594;70;35;10662;3789
48;0.6415669918060303;68;13;10661;3768
49;0.6544320583343506;72;51;10686;3760
50;0.6673662662506104;68;39;10685;3803
51;0.6802875995635986;67;6;10686;3736
52;0.6933763027191162;69;82;10662;3806
53;0.7062993049621582;70;44;10662;3772
54;0.7191717624664307;64;-16;10661;3779
55;0.7320585250854492;67;97;10662;3785
56;0.7449071407318115;68;40;10662;3757
57;0.7578091621398926;69;-22;10665;3816
58;0.7706825733184814;69;73;10661;3700
59;0.7852449417114258;68;32;10685;3809
60;0.7983496189117432;67;-27;10685;3725
61;0.8113315105438232;68;99;10663;3800
62;0.8241963386535645;68;16;10661;3721
63;0.8371129035949707;67;-7;10662;3760
64;0.8500058650970459;68;42;10663;3799
65;0.862872838973999;69;23;10684;3708
66;0.8757331371307373;69;28;10680;3829
67;0.8885879516601562;69;37;10671;3722
68;0.9016220569610596;67;17;10663;3881
69;0.9145317077636719;66;43;10667;3659
70;0.9273953437805176;67;42;10685;3938
