;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0048482418060302734;38;71;10799;3550
1;0.02116084098815918;42;34;10799;3581
2;0.03554725646972656;36;9;10799;3516
3;0.050832509994506836;38;4;10799;3615
4;0.06374979019165039;42;31;10799;3509
5;0.07667183876037598;39;22;10800;3602
6;0.08960461616516113;38;32;10799;3526
7;0.10258126258850098;39;33;10799;3616
8;0.1155846118927002;38;15;10800;3465
9;0.12844586372375488;41;48;10799;3629
10;0.14137053489685059;41;36;10800;3416
11;0.15424299240112305;39;0;10799;3664
12;0.1671144962310791;38;91;10800;3388
13;0.18010377883911133;39;31;10799;3673
14;0.1929793357849121;39;-22;10802;3439
15;0.20595979690551758;39;100;10800;3638
16;0.21883320808410645;40;25;10799;3508
17;0.23180580139160156;38;-19;10800;3580
18;0.24466800689697266;38;64;10799;3569
19;0.25755882263183594;40;11;10801;3500
20;0.2704484462738037;40;13;10799;3607
21;0.28342556953430176;40;35;10799;3477
22;0.29634976387023926;39;19;10800;3631
23;0.3093080520629883;38;34;10800;3465
24;0.32217860221862793;39;36;10799;3603
25;0.3350667953491211;38;11;10800;3484
26;0.3479735851287842;39;63;10800;3573
27;0.36086559295654297;37;35;10798;3503
28;0.37372875213623047;37;-6;10799;3581
29;0.38669681549072266;40;98;10798;3508
30;0.3996133804321289;38;31;10799;3615
31;0.4125239849090576;39;-29;10801;3491
32;0.4253969192504883;38;97;10798;3618
33;0.43827342987060547;40;11;10800;3499
34;0.45117902755737305;39;-5;10801;3577
35;0.46407079696655273;39;35;10799;3521
36;0.47694993019104004;38;22;10799;3572
37;0.48982906341552734;40;30;10799;3551
38;0.5027546882629395;39;33;10800;3520
39;0.5157389640808105;37;15;10801;3590
40;0.5285820960998535;38;46;10800;3513
41;0.5414741039276123;41;35;10801;3564
42;0.5543506145477295;39;4;10799;3503
43;0.5672283172607422;41;89;10788;3560
44;0.5802116394042969;38;40;10799;3527
45;0.5931031703948975;39;-19;10800;3567
46;0.6060659885406494;39;99;10800;3559
47;0.6189513206481934;40;32;10800;3544
48;0.6318364143371582;38;-20;10799;3568
49;0.6447224617004395;36;66;10799;3513
50;0.6575982570648193;39;11;10800;3577
51;0.6704633235931396;38;12;10801;3512
52;0.6834263801574707;40;35;10801;3561
53;0.696295976638794;38;18;10800;3531
54;0.7092549800872803;40;34;10799;3553
55;0.7221574783325195;37;35;10799;3565
56;0.7350680828094482;37;11;10800;3540
57;0.747969388961792;41;64;10798;3562
58;0.7608447074890137;38;38;10798;3543
59;0.7738025188446045;38;-4;10800;3565
60;0.7866871356964111;40;98;10799;3549
61;0.7995562553405762;35;34;10800;3538
62;0.8124947547912598;36;-28;10798;3585
63;0.8253755569458008;39;98;10799;3508
64;0.8382363319396973;38;16;10800;3565
65;0.8511199951171875;40;-2;10800;3523
66;0.8640024662017822;38;34;10799;3535
67;0.876873254776001;39;23;10799;3562
68;0.8898577690124512;38;-7;10799;3493
69;0.9042727947235107;39;42;10800;3608
70;0.9171557426452637;39;22;10799;3459
71;0.9301266670227051;37;24;10810;3616
72;0.9430158138275146;40;33;10798;3476
73;0.9558932781219482;36;17;10821;3594
74;0.9688458442687988;38;41;10799;3529
75;0.9817163944244385;39;36;10799;3562
76;0.994577169418335;37;8;10800;3552
77;1.007511854171753;41;79;10799;3532
78;1.0204355716705322;40;37;10799;3555
79;1.0333788394927979;36;-11;10799;3542
80;1.046252727508545;39;99;10800;3539
81;1.0592126846313477;39;32;10798;3551
82;1.072091817855835;40;-25;10799;3576
83;1.0849649906158447;40;85;10803;3527
84;1.0978491306304932;39;11;10800;3571
85;1.110785961151123;37;3;10799;3541
86;1.1236507892608643;38;33;10799;3579
87;1.1366055011749268;38;20;10799;3522
88;1.1494948863983154;40;31;10799;3571
89;1.1624584197998047;39;33;10800;3550
90;1.175323724746704;39;13;10801;3541
91;1.188209056854248;38;56;10799;3540
92;1.2010719776153564;38;41;10800;3565
93;1.214179515838623;39;3;10787;3510
94;1.227057933807373;38;87;10799;3575
