;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.006659030914306641;25;-21;14395;3871
1;0.022356271743774414;25;97;14396;3871
2;0.03722572326660156;23;34;14397;3866
3;0.05217242240905762;24;-14;14418;3870
4;0.06525993347167969;24;55;14395;3872
5;0.07828783988952637;23;36;14419;3869
6;0.09121346473693848;23;-7;14396;3871
7;0.10434556007385254;26;91;14396;3868
8;0.11735963821411133;25;33;14414;3869
9;0.13030552864074707;24;-22;14395;3869
10;0.1432650089263916;24;91;14396;3872
11;0.15628623962402344;25;36;14396;3869
12;0.16916966438293457;25;-19;14418;3871
13;0.18216967582702637;24;98;14395;3871
14;0.19515705108642578;24;19;14395;3871
15;0.20822620391845703;25;4;14395;3874
16;0.2211298942565918;24;31;14395;3875
17;0.23413372039794922;24;21;14396;3870
18;0.24709320068359375;26;28;14395;3869
19;0.26003146171569824;24;32;14395;3873
20;0.2730848789215088;23;15;14395;3873
21;0.28604650497436523;24;34;14396;3870
22;0.2990391254425049;23;33;14407;3871
23;0.31206798553466797;23;-15;14395;3867
24;0.32500290870666504;24;72;14395;3872
25;0.3379378318786621;25;34;14395;3869
26;0.35094594955444336;24;-11;14396;3865
27;0.3638882637023926;25;97;14396;3872
28;0.37683796882629395;24;33;14395;3872
29;0.38987040519714355;25;-26;14414;3867
30;0.40287113189697266;24;98;14397;3872
31;0.41582703590393066;25;27;14408;3869
32;0.4288191795349121;24;-24;14401;3870
33;0.44312214851379395;25;93;14396;3876
34;0.4561121463775635;23;33;14395;3866
35;0.46908998489379883;25;-19;14395;3866
36;0.48215723037719727;25;90;14396;3870
37;0.49507880210876465;25;21;14396;3868
38;0.5081439018249512;24;7;14396;3874
39;0.5210566520690918;25;31;14395;3872
40;0.5339922904968262;24;19;14396;3869
41;0.54701828956604;25;29;14396;3872
42;0.5599653720855713;25;33;14395;3868
43;0.572972297668457;24;12;14410;3871
44;0.5859096050262451;25;37;14414;3871
45;0.5989203453063965;26;33;14396;3869
46;0.612013578414917;24;-14;14396;3872
47;0.6249687671661377;23;76;14396;3868
48;0.6379354000091553;26;35;14397;3867
49;0.6509108543395996;25;-10;14397;3868
50;0.6638422012329102;25;93;14414;3870
51;0.6767771244049072;25;32;14398;3870
52;0.6899223327636719;24;-27;14394;3868
53;0.7029597759246826;25;97;14395;3866
54;0.7159359455108643;25;29;14397;3867
55;0.728888750076294;24;-14;14410;3865
56;0.7419025897979736;26;74;14395;3869
57;0.7548508644104004;25;22;14394;3873
58;0.7678172588348389;26;17;14397;3865
59;0.7807927131652832;24;32;14396;3864
60;0.7937934398651123;23;17;14419;3870
61;0.8068051338195801;23;30;14396;3866
62;0.8198270797729492;25;52;14395;3872
63;0.8345897197723389;25;24;14396;3867
64;0.8475377559661865;25;25;14395;3870
