;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.006368398666381836;33;32;13039;3821
1;0.021341800689697266;29;19;13023;3813
2;0.03613471984863281;29;-15;13038;3868
3;0.05144214630126953;31;100;13040;3793
4;0.06445980072021484;30;29;13038;3840
5;0.07740974426269531;31;-26;13037;3807
6;0.09039187431335449;32;95;13038;3836
7;0.10356974601745605;31;17;13038;3830
8;0.1166236400604248;28;-14;13038;3839
9;0.12961626052856445;34;63;13017;3837
10;0.1426253318786621;26;44;13039;3816
11;0.15567398071289062;34;24;13021;3839
12;0.16861629486083984;29;17;13039;3813
13;0.18160462379455566;31;2;13016;3824
14;0.19457602500915527;32;31;13017;3854
15;0.20764923095703125;35;16;13038;3784
16;0.220597505569458;31;-43;13016;3886
17;0.2335052490234375;27;54;13016;3801
18;0.24668025970458984;31;-55;13029;3847
19;0.25966787338256836;29;37;13028;3868
20;0.2725961208343506;36;-129;13016;3795
21;0.28568053245544434;29;153;13024;3850
22;0.29873061180114746;29;-213;13040;3794
23;0.31176280975341797;34;-92;13016;3811
24;0.32701563835144043;29;17;13030;3838
25;0.33997631072998047;32;136;13029;3826
26;0.35294628143310547;33;47;13032;3846
27;0.36594724655151367;31;318;13033;3842
28;0.3789095878601074;32;49;13016;3816
29;0.3918008804321289;33;40;13016;3887
30;0.40479063987731934;29;33;13017;3775
31;0.41772890090942383;31;34;13038;3852
32;0.43070530891418457;29;24;13022;3838
33;0.4436805248260498;32;33;13028;3771
34;0.45662736892700195;30;36;13037;3891
35;0.4695591926574707;32;40;13020;3796
36;0.48253583908081055;32;34;13020;3809
37;0.4955751895904541;32;31;13017;3916
38;0.5086243152618408;31;43;13039;3740
39;0.5215921401977539;30;42;13040;3904
40;0.5344827175140381;30;23;13020;3833
41;0.5474674701690674;30;24;13031;3764
42;0.5604526996612549;31;16;13038;3888
43;0.5733978748321533;31;30;13039;3758
44;0.586381196975708;32;26;13033;3834
45;0.5993354320526123;29;28;13021;3880
46;0.6124587059020996;30;17;13013;3767
47;0.6254832744598389;31;14;13039;3888
48;0.6384310722351074;30;36;13040;3848
49;0.6513912677764893;32;-8;13017;3766
50;0.6643664836883545;32;14;13016;3892
51;0.6773254871368408;34;-12;13039;3813
52;0.6902883052825928;31;42;13039;3770
53;0.7033727169036865;32;19;13038;3903
54;0.7163856029510498;29;24;13031;3770
55;0.7293643951416016;33;61;13038;3834
56;0.7424242496490479;29;26;13016;3890
57;0.7553677558898926;32;33;13038;3758
58;0.7683675289154053;26;19;13016;3901
59;0.7813436985015869;32;38;13016;3798
60;0.7943081855773926;30;-4;13039;3804
61;0.8073444366455078;32;25;13017;3876
62;0.8203201293945312;32;32;13025;3766
63;0.8333532810211182;31;37;13027;3847
64;0.8463296890258789;31;27;13015;3866
65;0.8592684268951416;29;41;13039;3781
66;0.8722927570343018;29;42;13037;3859
67;0.8852500915527344;30;44;13037;3839
68;0.8982162475585938;31;23;13032;3774
69;0.9119274616241455;31;36;13038;3880
70;0.9249184131622314;28;33;13017;3797
71;0.9378578662872314;32;31;13017;3816
72;0.950843095779419;30;32;13039;3878
73;0.9638240337371826;35;21;13040;3789
74;0.9769349098205566;35;33;13039;3876
75;0.9899101257324219;26;33;13039;3845
76;1.0028493404388428;31;28;13029;3794
77;1.0157999992370605;31;44;13029;3866
78;1.02885103225708;33;39;13039;3790
79;1.0417916774749756;31;24;13017;3836
80;1.054854154586792;30;47;13015;3815
81;1.0677812099456787;33;41;13017;3848
82;1.0807504653930664;32;37;13016;3785
83;1.0936996936798096;32;35;13017;3895
84;1.1067345142364502;31;46;13019;3801
85;1.1196839809417725;31;24;13016;3793
86;1.1326427459716797;35;29;13017;3871
87;1.145643949508667;29;42;13026;3748
88;1.158595323562622;32;43;13039;3886
89;1.1715831756591797;35;32;13036;3798
90;1.1845605373382568;28;31;13038;3858
91;1.1975069046020508;32;28;13039;3857
92;1.2104730606079102;30;27;13017;3821
93;1.2234537601470947;30;32;13019;3836
94;1.236419439315796;35;29;13038;3833
95;1.24934983253479;30;39;13028;3794
96;1.2623705863952637;32;30;13025;3827
97;1.2753491401672363;30;26;13021;3849
98;1.2883813381195068;31;28;13039;3789
99;1.3013489246368408;31;31;13017;3874
100;1.314392328262329;32;32;13016;3807
101;1.3273422718048096;31;26;13016;3844
102;1.3403444290161133;32;31;13039;3831
103;1.3533909320831299;30;27;13017;3811
104;1.3663513660430908;31;33;13016;3840
105;1.3793048858642578;30;33;13039;3833
106;1.3923604488372803;35;29;13015;3799
107;1.4053454399108887;32;35;13030;3891
108;1.4183845520019531;31;25;13034;3814
109;1.4313485622406006;31;26;13016;3832
110;1.4443364143371582;31;29;13015;3873
111;1.457298994064331;31;33;13039;3762
112;1.4702303409576416;33;32;13017;3891
113;1.4831836223602295;32;30;13001;3791
114;1.496175765991211;32;25;13027;3791
115;1.5092532634735107;35;38;13028;3906
116;1.5223264694213867;32;28;13016;3786
117;1.5352840423583984;36;25;13016;3857
118;1.548232078552246;29;25;13016;3837
119;1.5611846446990967;29;33;13039;3804
120;1.5759358406066895;34;22;13040;3861
121;1.5891320705413818;32;29;13020;3812
122;1.60209321975708;31;28;13016;3805
123;1.6151084899902344;29;29;13038;3878
124;1.6280710697174072;29;31;13038;3768
125;1.6410179138183594;26;27;13039;3841
126;1.6539416313171387;33;27;13016;3860
127;1.6670267581939697;31;27;13038;3827
128;1.6799724102020264;29;30;13040;3840
129;1.6929681301116943;36;29;13030;3828
130;1.705979585647583;31;29;13039;3798
131;1.7190759181976318;32;27;13016;3880
132;1.7320172786712646;32;26;13016;3779
133;1.7449777126312256;28;29;13016;3856
134;1.7579667568206787;32;33;13016;3830
135;1.7709455490112305;31;30;13040;3825
136;1.7838575839996338;31;27;13039;3852
137;1.7969355583190918;31;26;13037;3803
138;1.809959888458252;32;31;13028;3867
139;1.8229484558105469;28;30;13016;3823
140;1.8359458446502686;31;21;13032;3827
141;1.84895658493042;33;36;13019;3851
142;1.86189866065979;30;28;13017;3808
143;1.8748512268066406;28;30;13019;3873
144;1.8877687454223633;32;32;13039;3805
145;1.9007155895233154;29;31;13016;3816
146;1.9137163162231445;30;23;13016;3859
147;1.9266917705535889;30;33;13015;3790
148;1.939678430557251;32;24;13016;3854
149;1.9527108669281006;32;16;13015;3821
150;1.9656710624694824;29;36;13039;3807
151;1.978661298751831;30;27;13016;3890
152;1.9916255474090576;29;26;13016;3777
153;2.1086745262145996;28;33;13039;3848
