;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0050945281982421875;25;8;157;2897
1;0.020778894424438477;27;6;23;2890
2;0.035288095474243164;21;6;-153;2894
3;0.05050206184387207;24;4;50;2903
4;0.06335830688476562;28;13;24;2899
5;0.07632017135620117;23;6;-155;2899
6;0.089202880859375;25;8;135;2900
7;0.10204505920410156;28;6;23;2898
8;0.11489701271057129;21;1;-107;2899
9;0.12775611877441406;25;8;163;2895
10;0.1406850814819336;26;7;21;2893
11;0.15351533889770508;21;-2;-17;2901
12;0.1663498878479004;25;13;88;2895
13;0.17920517921447754;24;6;18;2888
14;0.19205236434936523;25;1;22;2900
15;0.2048792839050293;26;15;23;2897
16;0.21772456169128418;25;5;-143;2896
17;0.23064947128295898;25;4;48;2900
18;0.2435474395751953;28;13;22;2895
19;0.2564270496368408;24;6;-178;2897
20;0.2692577838897705;25;7;136;2901
21;0.2821083068847656;27;6;22;2894
22;0.2949380874633789;23;0;-107;2897
23;0.30784082412719727;25;8;162;2895
24;0.32070422172546387;28;6;21;2896
25;0.3335428237915039;22;-1;-13;2903
26;0.3463931083679199;25;13;84;2900
27;0.359203577041626;25;6;19;2893
28;0.372051477432251;24;1;22;2902
29;0.3848872184753418;28;16;23;2898
30;0.39770054817199707;25;6;-172;2898
31;0.41070079803466797;24;5;52;2910
32;0.42352724075317383;29;13;23;2898
33;0.4363532066345215;23;6;-178;2901
34;0.4491868019104004;25;8;147;2897
35;0.46207547187805176;28;7;22;2902
36;0.4749155044555664;20;-1;-91;2898
37;0.4877448081970215;25;8;158;2897
38;0.5006353855133057;26;5;21;2889
39;0.5135700702667236;22;-2;-12;2899
40;0.5264444351196289;25;13;79;2898
41;0.5392725467681885;25;6;19;2891
42;0.552133321762085;24;1;23;2904
43;0.5649604797363281;26;16;23;2898
44;0.5778162479400635;25;7;-152;2894
45;0.5906434059143066;24;4;61;2902
46;0.6035215854644775;29;12;24;2895
47;0.6163983345031738;24;5;-154;2897
48;0.6292843818664551;25;7;145;2897
49;0.6421210765838623;27;6;22;2897
50;0.6549572944641113;19;0;-91;2897
51;0.6678512096405029;26;8;157;2895
52;0.6806976795196533;26;6;22;2890
53;0.6935362815856934;22;0;-4;2899
54;0.7064669132232666;25;10;143;2903
55;0.7200222015380859;24;6;20;2891
56;0.7329068183898926;23;0;16;2903
57;0.745743989944458;25;16;23;2897
58;0.7587065696716309;25;5;-42;2896
59;0.7716436386108398;24;2;29;2903
60;0.7845399379730225;27;16;23;2896
61;0.7974715232849121;24;5;-166;2889
62;0.8103313446044922;25;6;83;2907
63;0.8231899738311768;29;8;23;2901
64;0.8360288143157959;22;6;-163;2897
65;0.8489079475402832;25;8;162;2899
66;0.8617496490478516;28;6;22;2896
67;0.8745899200439453;21;-2;-56;2896
68;0.8874351978302002;25;9;154;2897
69;0.9002983570098877;26;7;23;2893
70;0.9146146774291992;22;-1;-56;2903
71;0.9274477958679199;25;10;153;2899
72;0.940269947052002;25;6;22;2891
73;0.9531209468841553;24;0;15;2901
74;0.9660160541534424;26;16;23;2897
75;0.9788494110107422;25;6;-59;2888
76;0.9916892051696777;24;2;32;2904
77;1.1012117862701416;27;9;22;2899
78;1.2332451343536377;21;1;-69;2901
79;1.249396800994873;25;7;127;2904
80;1.2627956867218018;28;13;22;2901
81;1.2776389122009277;25;6;19;2893
82;1.2928335666656494;23;0;20;2907
83;1.3057191371917725;26;16;22;2901
84;1.3186378479003906;24;6;-106;2899
85;1.3315391540527344;25;3;40;2909
86;1.344395399093628;27;14;23;2900
87;1.3573055267333984;23;5;-177;2898
88;1.3701071739196777;25;6;116;2902
89;1.3830487728118896;28;6;23;2893
90;1.3959028720855713;23;3;-132;2903
91;1.4087638854980469;25;7;163;2897
92;1.4216821193695068;28;6;24;2891
93;1.4345831871032715;20;-2;-39;2900
94;1.4474551677703857;25;11;141;2897
95;1.4603123664855957;25;6;20;2893
96;1.4731760025024414;23;1;19;2903
97;1.4860148429870605;24;15;21;2901
98;1.4988963603973389;25;5;-78;2894
99;1.5117976665496826;25;3;37;2901
100;1.5246260166168213;28;16;23;2895
101;1.5374536514282227;24;7;-176;2898
102;1.550311803817749;25;7;110;2906
103;1.5631623268127441;28;7;24;2896
104;1.5760002136230469;21;3;-134;2897
105;1.5888416767120361;25;8;162;2899
106;1.6016981601715088;28;6;23;2894
107;1.614616870880127;20;-2;-37;2900
108;1.6274535655975342;26;11;128;2898
109;1.6402950286865234;24;6;19;2889
110;1.6531827449798584;23;-1;19;2906
111;1.6660099029541016;24;16;23;2898
112;1.6788318157196045;24;5;-98;2892
113;1.6916613578796387;24;3;43;2905
114;1.7044990062713623;29;14;22;2893
115;1.7174592018127441;24;6;-153;2893
116;1.7302803993225098;26;7;121;2897
117;1.743119716644287;29;6;23;2899
118;1.755953311920166;21;2;-121;2898
119;1.768782615661621;25;7;161;2898
120;1.781611442565918;25;6;21;2890
121;1.7944440841674805;21;-2;-24;2898
122;1.807328224182129;25;12;105;2899
123;1.8202052116394043;24;7;20;2894
124;1.8330283164978027;25;1;22;2903
125;1.845844030380249;26;15;24;2898
126;1.8586595058441162;23;6;-149;2893
127;1.8716585636138916;25;2;42;2905
128;1.884505033493042;29;14;24;2898
129;1.897399663925171;24;6;-178;2900
130;1.9102809429168701;26;7;125;2903
131;1.9231517314910889;28;7;23;2894
132;1.9360034465789795;20;1;-118;2893
133;1.9488487243652344;25;8;162;2899
134;1.9616789817810059;27;6;22;2894
135;1.9745025634765625;21;-2;-24;2900
136;1.9874184131622314;25;12;99;2899
137;2.000239610671997;26;6;20;2893
138;2.013118267059326;24;0;20;2906
139;2.0264439582824707;25;16;24;2899
140;2.0394768714904785;25;6;-35;2895
141;2.052319288253784;25;2;31;2906
142;2.065204381942749;30;15;23;2897
143;2.078035593032837;25;5;-153;2899
144;2.0908756256103516;25;6;87;2907
