;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0052433013916015625;72;24;12235;4078
1;0.0222628116607666;72;31;12236;3887
2;0.03516793251037598;72;-9;12234;4107
3;0.04807019233703613;73;-11;12251;3948
4;0.06097602844238281;74;50;12246;3956
5;0.07390904426574707;75;37;12234;4083
6;0.08683061599731445;72;-17;12235;3924
7;0.09977388381958008;71;98;12235;3985
8;0.11285257339477539;72;31;12235;4094
9;0.12579870223999023;71;-25;12236;3841
10;0.1387040615081787;71;89;12256;4149
11;0.15169692039489746;71;17;12237;3954
12;0.16489863395690918;74;-8;12235;3959
13;0.17781710624694824;73;37;12235;4108
14;0.1906719207763672;72;22;12235;3919
15;0.2036762237548828;70;24;12235;4019
16;0.21674656867980957;72;32;12234;4086
17;0.22965073585510254;74;18;12235;3864
18;0.2425861358642578;73;38;12249;4114
19;0.255462646484375;74;33;12235;3928
20;0.26833653450012207;71;-4;12239;3983
21;0.2813456058502197;74;68;12234;4105
22;0.29421329498291016;73;13;12236;3900
23;0.30718016624450684;73;-8;12239;4050
24;0.3201632499694824;72;98;12235;4013
25;0.3330357074737549;71;29;12236;3936
26;0.34633779525756836;72;-32;12236;4085
27;0.35934948921203613;74;92;12223;3967
28;0.37223052978515625;73;21;12235;3971
29;0.38512253761291504;72;-2;12236;4116
30;0.39798665046691895;73;50;12236;3870
31;0.41119861602783203;72;19;12236;4102
32;0.42408180236816406;71;-51;12236;3977
33;0.4371459484100342;73;55;12234;3951
34;0.4500415325164795;75;44;12251;4097
35;0.4629371166229248;73;21;12234;3933
36;0.47596073150634766;73;34;12235;4012
37;0.48883795738220215;73;44;12257;4037
38;0.5017848014831543;73;19;12236;3973
39;0.5147669315338135;73;22;12235;3985
40;0.5276429653167725;74;19;12235;4072
41;0.540501594543457;73;30;12237;3908
42;0.5535488128662109;73;37;12236;4070
43;0.5664281845092773;71;31;12257;3968
44;0.5792810916900635;73;37;12235;3956
45;0.5922045707702637;73;37;12235;4056
46;0.605201244354248;70;21;12236;3951
47;0.6181342601776123;74;41;12253;4015
48;0.6310553550720215;74;24;12257;4026
49;0.643986701965332;72;22;12236;3969
50;0.6573042869567871;73;36;12236;4032
51;0.6702384948730469;72;31;12235;3973
52;0.6832797527313232;74;29;12235;4015
53;0.6961710453033447;73;29;12229;3994
54;0.709202766418457;72;34;12234;4004
55;0.722139835357666;74;23;12236;4010
56;0.7350277900695801;74;35;12236;3992
57;0.7479467391967773;71;28;12237;4033
58;0.7608330249786377;73;20;12236;3980
59;0.7738132476806641;72;28;12234;4016
60;0.7867357730865479;72;22;12237;4012
61;0.7996246814727783;73;27;12235;3975
62;0.8125858306884766;74;26;12235;4025
63;0.8255538940429688;73;38;12235;3985
64;1.13081693649292;72;32;12234;3926
65;1.1406049728393555;73;26;12236;4025
66;1.1503844261169434;74;30;12236;4094
67;1.1606645584106445;74;34;12236;3933
68;1.1704521179199219;73;30;12235;3977
69;1.1802222728729248;73;29;12258;4089
70;1.1899938583374023;72;36;12235;4014
71;1.1998200416564941;73;30;12236;3911
72;1.20961594581604;72;36;12234;4032
73;1.219395399093628;73;33;12236;4079
74;1.229193925857544;73;34;12235;3945
75;1.238962173461914;73;28;12235;3950
76;1.248779058456421;73;30;12234;4118
77;1.258559226989746;72;27;12234;4019
78;1.2683329582214355;74;20;12236;3893
79;1.278106927871704;73;38;12236;4070
80;1.2878830432891846;73;31;12236;4095
81;1.2977070808410645;73;32;12235;3913
82;1.3074791431427002;72;30;12235;3946
83;1.3172509670257568;72;31;12236;4123
84;1.3270416259765625;74;35;12234;4003
85;1.3368182182312012;70;27;12235;3868
86;1.3466134071350098;72;32;12236;4058
87;1.3563995361328125;71;33;12235;4110
88;1.3661692142486572;73;23;12237;3876
89;1.3759546279907227;74;29;12236;3968
90;1.385725498199463;75;31;12235;4159
91;1.3954963684082031;74;30;12217;3960
92;1.4053936004638672;72;30;12235;3896
93;1.4153006076812744;75;22;12236;4113
94;1.4250671863555908;74;20;12236;4077
95;1.434840202331543;71;37;12235;3881
96;1.444620132446289;72;31;12235;4011
97;1.454397439956665;71;38;12235;4140
98;1.4641895294189453;72;32;12235;3916
99;1.4739699363708496;73;25;12234;3911
100;1.4837429523468018;74;30;12234;4117
101;1.4935283660888672;73;32;12236;4015
102;1.503361701965332;72;34;12236;3900
103;1.5131189823150635;72;32;12235;4036
104;1.5228948593139648;72;34;12242;4062
105;1.5326898097991943;72;33;12236;3943
106;1.5425102710723877;72;29;12235;3944
107;1.5524609088897705;72;36;12248;4056
108;1.5622384548187256;73;33;12235;4058
109;1.5720160007476807;70;25;12237;3874
110;1.5817954540252686;72;33;12235;4016
111;1.5915837287902832;74;25;12236;4101
112;1.601372241973877;73;36;12214;3936
113;1.612062692642212;72;23;12236;3968
114;1.6249547004699707;73;25;12236;4070
115;1.6380016803741455;74;24;12236;3923
116;1.6508784294128418;73;33;12236;4053
117;1.6646277904510498;73;31;12236;4020
118;1.6775031089782715;73;24;12236;3948
119;1.6903748512268066;73;27;12235;4052
120;1.7032241821289062;72;33;12235;4002
121;1.7162396907806396;73;27;12235;3974
122;1.7293803691864014;73;28;12236;4059
123;1.7422540187835693;74;32;12235;3951
124;1.7551369667053223;73;24;12235;4012
125;1.7680602073669434;72;34;12236;4033
126;1.7809298038482666;74;34;12236;3950
127;1.7944400310516357;73;30;12235;4052
128;1.8074572086334229;72;35;12237;3949
129;1.8204333782196045;71;32;12236;4006
130;1.8334860801696777;73;27;12236;4003
131;1.846329927444458;72;33;12234;3989
132;1.85927414894104;72;27;12235;4018
133;1.8721778392791748;72;32;12236;4012
134;1.8850369453430176;72;33;12236;3979
135;1.897925853729248;72;31;12235;4041
136;1.9110629558563232;71;31;12236;3996
137;1.923961877822876;72;28;12237;3974
138;1.9368417263031006;71;29;12236;4084
139;1.9496955871582031;73;27;12230;3916
140;1.9625763893127441;72;36;12235;4028
141;1.9755852222442627;73;32;12237;4066
142;1.988553762435913;72;31;12236;3882
143;2.103220224380493;73;28;12235;4151
144;2.119483470916748;70;31;12235;3843
145;2.1348042488098145;72;29;12236;4165
146;2.1498398780822754;72;31;12214;3859
147;2.165158271789551;71;29;12236;4119
148;2.1815297603607178;72;33;12235;3882
149;2.196639060974121;73;32;12234;4011
150;2.211585283279419;72;28;12234;4058
151;2.2266948223114014;73;21;12236;3876
152;2.2415218353271484;74;34;12235;4163
153;2.2564280033111572;73;29;12235;3838
154;2.271361827850342;72;30;12235;4126
155;2.286529302597046;73;25;12235;3785
156;2.301466941833496;74;32;12214;3998
157;2.316480875015259;80;154;12191;3835
158;2.331348419189453;102;391;12188;3774
159;2.3461551666259766;182;761;12137;3875
160;2.361191749572754;370;1640;12124;3707
161;2.3762333393096924;609;1611;12058;3904
162;2.391106128692627;994;2089;12013;3524
163;2.4067234992980957;1424;2651;11900;3881
164;2.4218978881835938;1792;3507;11834;3706
165;2.437080144882202;2147;4642;11728;3924
166;2.4521756172180176;2820;5899;11570;3740
