;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0017790794372558594;492;7;12281;10248
1;0.012181282043457031;491;6;12303;10245
2;0.022470712661743164;492;6;12282;10246
3;0.03394937515258789;492;6;12303;10248
4;0.04595613479614258;490;6;12281;10249
5;0.05575680732727051;493;6;12281;10249
6;0.06554913520812988;491;6;12302;10242
7;0.07545208930969238;492;6;12304;10243
8;0.08530092239379883;492;6;12281;10252
9;0.09516549110412598;492;6;12293;10245
10;0.10505032539367676;493;6;12283;10251
11;0.11486148834228516;493;6;12281;10251
12;0.12477636337280273;489;6;12281;10245
13;0.13458919525146484;491;6;12295;10246
14;0.14437484741210938;492;6;12280;10245
15;0.154160737991333;493;6;12282;10248
16;0.1639881134033203;493;7;12271;10247
17;0.17378020286560059;490;7;12300;10249
18;0.18355727195739746;491;6;12303;10245
19;0.19335603713989258;490;6;12281;10247
20;0.20330286026000977;492;6;12280;10250
21;0.21310973167419434;491;7;12280;10248
22;0.22298884391784668;493;6;12281;10240
23;0.2327861785888672;491;6;12288;10249
24;0.24255061149597168;490;7;12302;10247
25;0.2523534297943115;493;7;12258;10243
26;0.2621746063232422;493;7;12280;10248
27;0.2721564769744873;492;6;12289;10246
28;0.28195762634277344;492;6;12296;10249
29;0.2917346954345703;491;6;12281;10246
30;0.3015143871307373;491;7;12281;10236
31;0.3113136291503906;490;6;12291;10240
32;0.32114243507385254;491;6;12302;10246
33;0.330979585647583;493;6;12303;10244
34;0.34074974060058594;490;6;12296;10249
35;0.3506641387939453;494;7;12302;10246
36;0.3605039119720459;491;7;12280;10247
37;0.3702971935272217;493;7;12280;10246
38;0.3801097869873047;491;6;12281;10247
39;0.38988685607910156;493;6;12258;10242
40;0.39970874786376953;493;7;12280;10244
41;0.40965986251831055;491;7;12303;10241
42;0.4194669723510742;494;6;12280;10245
43;0.4292762279510498;492;6;12279;10245
44;0.4390828609466553;490;6;12282;10248
45;0.4488711357116699;492;6;12281;10241
46;0.4586517810821533;492;6;12279;10244
47;0.4685096740722656;492;6;12281;10248
48;0.4792351722717285;492;7;12280;10246
49;0.48996710777282715;492;7;12281;10244
50;0.5007328987121582;493;6;12281;10245
51;0.5114986896514893;493;6;12282;10250
52;0.5222222805023193;491;6;12280;10248
53;0.5330982208251953;493;7;12280;10245
54;0.543825626373291;490;7;12281;10241
55;0.5545551776885986;493;6;12282;10238
56;0.565260648727417;492;6;12258;10251
57;0.5760223865509033;491;7;12280;10247
58;0.5867695808410645;491;6;12282;10244
59;0.5977809429168701;492;6;12303;10246
60;0.6086442470550537;491;6;12280;10247
61;0.6194312572479248;492;7;12281;10248
62;0.6304125785827637;492;6;12280;10244
63;0.6411235332489014;490;6;12272;10245
64;0.6518855094909668;493;7;12280;10246
65;0.6625790596008301;491;6;12286;10246
66;0.6734082698822021;493;6;12282;10246
67;0.6840975284576416;492;7;12258;10246
68;0.6949224472045898;492;6;12282;10249
69;0.7059788703918457;492;6;12282;10246
70;0.7169561386108398;491;6;12280;10241
71;0.728701114654541;491;6;12265;10246
72;0.740166187286377;491;6;12281;10251
73;0.7541158199310303;492;6;12281;10245
74;0.767632246017456;491;6;12282;10250
75;0.7827274799346924;494;7;12280;10248
76;0.7985203266143799;492;6;12293;10249
77;0.8094601631164551;491;7;12282;10245
78;0.8203208446502686;494;6;12281;10248
79;0.831244707107544;491;7;12300;10251
80;0.8419201374053955;492;7;12281;10251
81;0.8530895709991455;493;7;12262;10244
82;0.8640387058258057;493;6;12301;10246
83;0.8748066425323486;492;7;12288;10241
84;0.885697603225708;492;6;12281;10242
85;0.8965203762054443;493;7;12283;10247
86;0.9072761535644531;492;6;12281;10245
87;0.9180066585540771;492;6;12282;10246
88;0.928901195526123;491;6;12281;10246
89;0.9397330284118652;491;6;12304;10247
90;0.9504556655883789;491;6;12281;10243
91;0.9614181518554688;492;7;12281;10243
92;0.9721908569335938;492;7;12296;10244
93;0.9830942153930664;491;6;12281;10250
94;0.993924617767334;492;6;12281;10245
95;1.0061728954315186;492;6;12280;10248
96;1.0170323848724365;490;6;12281;10247
97;1.0278780460357666;492;7;12290;10247
98;1.0386326313018799;494;6;12275;10241
99;1.049368143081665;492;7;12282;10242
100;1.0600991249084473;492;7;12259;10247
101;1.070939540863037;490;6;12303;10250
102;1.0817525386810303;493;6;12280;10246
103;1.0925006866455078;492;6;12280;10246
104;1.1034314632415771;492;6;12281;10243
105;1.114271640777588;492;6;12304;10243
106;1.12514328956604;493;6;12280;10249
107;1.1360139846801758;490;6;12281;10247
108;1.146744728088379;492;7;12301;10253
109;1.1574618816375732;493;7;12303;10247
110;1.1681897640228271;492;7;12280;10247
111;1.1791057586669922;493;6;12282;10244
112;1.1898646354675293;492;6;12298;10248
113;1.2006030082702637;495;6;12275;10241
114;1.2113380432128906;491;6;12282;10246
115;1.222362756729126;492;6;12279;10245
116;1.233102560043335;491;6;12281;10243
117;1.2438178062438965;492;7;12258;10251
118;1.2546381950378418;494;6;12287;10246
119;1.2654788494110107;493;8;12279;10247
120;1.27630615234375;490;6;12270;10247
121;1.2872114181518555;493;6;12303;10249
122;1.2979907989501953;492;7;12282;10250
123;1.3088042736053467;491;7;12281;10248
124;1.3196156024932861;491;7;12299;10243
125;1.330500602722168;493;6;12281;10247
126;1.3412666320800781;492;7;12281;10245
127;1.3523859977722168;491;6;12282;10247
128;1.363218069076538;491;5;12281;10244
129;1.3739328384399414;490;7;12296;10247
130;1.3846921920776367;492;7;12287;10250
131;1.3954229354858398;490;6;12280;10246
132;1.4061503410339355;494;6;12280;10242
133;1.4169023036956787;491;6;12282;10247
134;1.4277312755584717;492;7;12281;10249
135;1.4385054111480713;493;6;12292;10245
136;1.4492409229278564;492;6;12282;10244
137;1.4599692821502686;491;6;12276;10244
138;1.4706861972808838;492;6;12281;10244
139;1.4815118312835693;491;7;12280;10248
140;1.4923303127288818;491;7;12282;10245
141;1.5030968189239502;493;7;12305;10247
142;1.5138421058654785;492;6;12282;10244
143;1.524596929550171;492;7;12291;10248
144;1.5353269577026367;493;6;12281;10253
145;1.5460577011108398;491;6;12275;10245
146;1.5569226741790771;491;6;12274;10250
147;1.5677270889282227;492;7;12304;10250
148;1.5784978866577148;491;6;12267;10245
149;1.5892584323883057;493;6;12284;10243
150;1.6001806259155273;491;6;12281;10249
151;1.6112339496612549;491;6;12281;10249
152;1.62196683883667;492;7;12282;10245
153;1.632735013961792;490;6;12281;10242
154;1.6434640884399414;490;6;12281;10249
155;1.654212236404419;492;7;12286;10244
156;1.6650454998016357;493;6;12258;10244
157;1.6758332252502441;491;7;12304;10246
158;1.6865863800048828;493;6;12267;10250
159;1.6973137855529785;491;6;12262;10248
160;1.7080600261688232;492;6;12303;10244
161;1.719102144241333;494;6;12281;10249
162;1.730149745941162;492;7;12289;10244
163;1.74135422706604;493;6;12303;10248
164;1.752577543258667;493;6;12280;10244
165;1.7647249698638916;492;7;12281;10247
166;1.778245449066162;492;6;12303;10247
167;1.7914845943450928;493;7;12281;10249
168;1.8061516284942627;492;7;12271;10243
169;1.8170182704925537;492;6;12281;10245
170;1.8278295993804932;492;8;12280;10243
171;1.8385696411132812;493;6;12282;10249
172;1.849381923675537;492;6;12302;10245
173;1.8602614402770996;491;5;12304;10247
174;1.871084213256836;492;7;12280;10249
175;1.8818707466125488;492;7;12279;10251
176;1.8925731182098389;491;6;12280;10246
177;1.9033277034759521;490;7;12301;10250
178;1.914071798324585;489;6;12280;10246
179;1.9248325824737549;492;6;12281;10252
180;1.9356510639190674;491;6;12303;10247
181;1.94639253616333;493;6;12281;10247
182;1.957157850265503;492;7;12269;10244
183;1.9678843021392822;492;6;12258;10250
184;1.978682518005371;492;7;12271;10248
185;1.9893748760223389;493;6;12281;10251
186;2.055720329284668;490;7;12279;10249
187;2.0711958408355713;494;6;12279;10244
188;2.0881521701812744;493;5;12294;10246
189;2.10606050491333;490;6;12281;10247
190;2.1246793270111084;492;7;12287;10250
191;2.1412410736083984;493;6;12281;10251
192;2.1575145721435547;494;7;12281;10239
193;2.1735620498657227;491;6;12281;10240
194;2.1907668113708496;491;7;12280;10239
195;2.2029526233673096;492;5;12303;10248
196;2.2201650142669678;493;6;12285;10245
197;2.2319014072418213;491;7;12279;10247
198;2.2475719451904297;493;6;12259;10244
199;2.2595789432525635;494;6;12282;10245
200;2.2738797664642334;492;6;12288;10246
201;2.2869887351989746;494;6;12297;10245
202;2.302070140838623;493;6;12281;10249
203;2.316476821899414;491;6;12302;10243
204;2.3283097743988037;493;6;12280;10246
205;2.343357801437378;490;6;12281;10242
206;2.354982614517212;492;6;12281;10244
207;2.371004343032837;494;6;12281;10250
208;2.3826279640197754;492;6;12303;10248
209;2.3976829051971436;493;8;12281;10248
210;2.4104082584381104;493;7;12280;10243
211;2.425261974334717;492;6;12295;10245
212;2.4389169216156006;491;6;12280;10241
213;2.4504380226135254;494;6;12280;10246
214;2.4653115272521973;492;5;12292;10250
215;2.4767911434173584;491;6;12258;10246
216;2.4935038089752197;492;6;12280;10247
217;2.5050878524780273;494;6;12281;10245
218;2.520667791366577;492;6;12280;10247
219;2.533273220062256;489;6;12282;10251
220;2.5481977462768555;491;6;12274;10244
221;2.56139874458313;492;7;12281;10249
222;2.5746755599975586;492;6;12280;10248
223;2.5894360542297363;491;6;12302;10248
224;2.6012415885925293;491;6;12302;10248
225;2.6166701316833496;492;7;12280;10245
226;2.628234624862671;491;7;12281;10246
227;2.6449649333953857;491;7;12281;10251
228;2.656486988067627;490;6;12302;10249
229;2.671405553817749;522;7;12292;10245
230;2.6842503547668457;493;6;12276;10244
231;2.6960244178771973;492;6;12295;10247
232;2.7132058143615723;493;6;12281;10246
233;2.7248334884643555;493;6;12281;10247
234;2.7394330501556396;497;7;12304;10249
235;2.7505552768707275;495;7;12282;10385
236;2.765449285507202;491;7;12282;10245
237;2.7813663482666016;491;6;12281;10245
238;2.798088788986206;504;6;12289;10247
239;2.814823865890503;491;6;12281;10338
240;2.8301122188568115;493;7;12300;10251
241;2.841557741165161;503;6;12282;10246
242;2.8573615550994873;491;6;12281;10313
243;2.869201898574829;495;6;12304;10250
244;2.8838844299316406;492;6;12269;10248
245;2.8992397785186768;492;7;12281;10245
246;2.91416335105896;490;6;12303;10243
247;2.9302632808685303;494;7;12280;10303
248;2.945213556289673;493;7;12281;10243
249;2.96144962310791;491;6;12280;10242
250;2.977156400680542;514;6;12280;10249
251;2.99170184135437;492;7;12278;10246
252;3.006120204925537;493;6;12280;10247
253;3.0196170806884766;490;6;12303;10247
254;3.031247854232788;493;6;12281;10246
255;3.0457088947296143;489;6;12281;10248
256;3.0569777488708496;491;7;12281;10248
257;3.0729522705078125;495;6;12280;10245
258;3.0848605632781982;492;6;12288;10246
259;3.098813056945801;490;6;12271;10247
260;3.112116813659668;501;7;12281;10245
261;3.124840259552002;492;6;12280;10246
262;3.139089822769165;493;6;12299;10243
263;3.150346279144287;494;6;12280;10249
264;3.166004180908203;491;7;12281;10249
265;3.1772496700286865;491;6;12280;10247
266;3.191148281097412;492;6;12281;10244
267;3.203925848007202;502;7;12281;10241
268;3.2158358097076416;491;6;12280;10248
269;3.2304000854492188;491;5;12299;10250
270;3.2415761947631836;493;6;12281;10257
271;3.257253885269165;491;6;12298;10246
272;3.2686080932617188;499;6;12304;10243
273;3.282602071762085;494;6;12260;10247
274;3.2957208156585693;491;7;12258;10242
275;3.3079051971435547;493;6;12281;10252
276;3.322556257247925;490;7;12280;10248
277;3.333862066268921;493;6;12280;10245
278;3.349431037902832;494;6;12281;10246
279;3.3611960411071777;500;6;12281;10245
280;3.3772950172424316;492;6;12281;10253
281;3.3890116214752197;491;6;12281;10247
282;3.4031951427459717;511;7;12281;10246
283;3.416686534881592;490;6;12281;10247
284;3.4283745288848877;492;7;12280;10245
285;3.4432337284088135;494;6;12281;10243
286;3.455354928970337;493;6;12280;10248
287;3.470884084701538;493;6;12280;10453
288;3.4825210571289062;491;6;12281;10249
289;3.4965789318084717;491;6;12281;10246
290;3.5093095302581787;492;6;12280;10243
291;3.5215089321136475;492;7;12281;10245
292;3.5362071990966797;493;6;12280;10322
293;3.5473639965057373;492;6;12298;10247
294;3.562971353530884;492;7;12280;10246
295;3.574397563934326;492;6;12282;10245
296;3.5883419513702393;492;7;12281;10246
297;3.601379632949829;491;7;12273;10245
298;3.6146044731140137;491;6;12296;10246
299;3.6286275386810303;491;6;12281;10249
300;3.6398775577545166;491;5;12268;10248
301;3.6552059650421143;491;7;12280;10249
302;3.666557550430298;492;6;12281;10239
303;3.680609941482544;493;6;12280;10242
304;3.6947221755981445;490;6;12291;10248
305;3.7098004817962646;491;6;12280;10253
306;3.7261762619018555;492;7;12303;10250
307;3.7425894737243652;493;6;12279;10244
308;3.7583916187286377;493;6;12279;10246
309;3.7731709480285645;490;5;12302;10244
310;3.791057825088501;492;6;12280;10246
311;3.8082499504089355;491;6;12281;10251
312;3.8259994983673096;491;6;12281;10250
313;3.8440864086151123;491;6;12281;10246
314;3.8647329807281494;491;6;12281;10250
315;3.883319139480591;492;7;12281;10248
316;3.899662494659424;493;7;12290;10246
317;3.9126040935516357;492;7;12291;10242
318;3.9265177249908447;494;6;12281;10245
319;3.939253091812134;490;6;12281;10244
320;3.951076030731201;493;6;12281;10245
321;3.965765953063965;493;7;12261;10248
322;3.97711181640625;492;6;12280;10243
323;3.992846727371216;493;5;12302;10242
324;4.004364013671875;491;6;12280;10244
325;4.018064498901367;492;7;12281;10246
326;4.03092885017395;491;5;12280;10250
327;4.043211460113525;492;7;12281;10248
328;4.057520627975464;493;7;12280;10245
329;4.068720579147339;491;6;12281;10246
330;4.08427619934082;492;7;12281;10244
331;4.0957958698272705;492;6;12278;10244
332;4.1100852489471436;492;5;12280;10247
333;4.123692989349365;494;6;12281;10250
334;4.136067628860474;492;7;12281;10246
335;4.150352954864502;491;6;12300;10243
336;4.1616785526275635;491;6;12280;10245
337;4.177651882171631;491;6;12280;10241
338;4.189077854156494;492;7;12281;10246
339;4.203006982803345;491;7;12281;10251
340;4.21597146987915;492;7;12281;10247
341;4.228121280670166;492;7;12281;10247
342;4.242844104766846;493;7;12291;10243
343;4.25410270690918;492;7;12280;10245
344;4.269364833831787;493;6;12280;10254
345;4.281012058258057;493;7;12303;10247
346;4.295142650604248;491;7;12281;10246
347;4.307764291763306;491;7;12280;10241
348;4.320474624633789;493;7;12258;10244
349;4.334791421890259;493;7;12280;10245
350;4.345967531204224;492;7;12287;10248
351;4.361823797225952;494;6;12281;10247
352;4.373220205307007;489;6;12281;10246
353;4.389101028442383;490;6;12281;10246
354;4.400784730911255;492;7;12273;10246
355;4.4150390625;493;7;12281;10246
356;4.428382635116577;490;6;12292;10248
357;4.439786911010742;491;5;12281;10248
358;4.454540014266968;490;6;12271;10245
359;4.46577787399292;491;6;12281;10245
360;4.4815919399261475;493;7;12281;10243
361;4.493403911590576;491;7;12282;10245
362;4.507380723953247;490;6;12303;10250
363;4.520568132400513;492;7;12296;10243
364;4.532729864120483;492;7;12289;10246
365;4.547334671020508;493;5;12281;10244
366;4.558624744415283;492;6;12280;10246
367;4.5741918087005615;491;6;12282;10248
368;4.5855467319488525;491;6;12302;10246
369;4.600531816482544;495;6;12284;10244
370;4.61673641204834;491;6;12281;10246
371;4.633626937866211;491;6;12280;10246
372;4.649141311645508;493;5;12283;10243
373;4.66530966758728;490;7;12281;10249
374;4.680980682373047;492;6;12280;10244
375;4.698060750961304;491;6;12282;10246
376;4.7124810218811035;494;6;12281;10245
377;4.728784799575806;492;6;12303;10243
378;4.740424633026123;492;7;12272;10245
379;4.755698919296265;491;6;12280;10250
380;4.768040657043457;491;7;12280;10246
381;4.780032157897949;491;6;12288;10243
382;4.795957565307617;492;7;12281;10244
383;4.821615219116211;493;6;12281;10246
384;4.8392651081085205;492;7;12277;10248
385;4.85455322265625;493;7;12280;10244
386;4.865836143493652;491;7;12280;10246
387;4.8812220096588135;490;7;12280;10244
388;4.892782688140869;492;7;12295;10240
389;4.907698154449463;491;7;12281;10244
390;4.92097020149231;491;6;12281;10247
391;4.935741424560547;491;6;12280;10244
392;4.948794603347778;492;6;12302;10248
393;4.960278272628784;491;7;12304;10244
394;4.975017786026001;492;6;12281;10241
