;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.005327701568603516;497;6;2;-714
1;0.019130468368530273;534;4;-61;-691
2;0.030485153198242188;512;10;10;-703
3;0.0437929630279541;507;7;-20;-726
4;0.0568699836730957;514;5;38;-649
5;0.06779646873474121;503;6;3;-713
6;0.07857108116149902;529;3;-17;-675
7;0.08937382698059082;510;7;22;-713
8;0.1002347469329834;534;5;-107;-710
9;0.11104536056518555;512;10;12;-707
10;0.12190747261047363;519;7;-100;-737
11;0.13269615173339844;513;10;53;-704
12;0.1435081958770752;512;6;-29;-758
13;0.15428757667541504;516;8;153;-703
14;0.1651136875152588;499;5;-8;-735
15;0.17586922645568848;514;7;105;-673
16;0.18673276901245117;495;7;-21;-715
17;0.19762802124023438;513;4;18;-654
18;0.20847821235656738;506;6;8;-716
19;0.2192220687866211;536;4;-58;-703
20;0.2300095558166504;510;7;18;-705
21;0.2407970428466797;531;6;-129;-709
22;0.25161290168762207;509;10;11;-701
23;0.2623889446258545;515;6;-64;-740
24;0.2732977867126465;511;8;111;-708
25;0.28408050537109375;509;6;-19;-758
26;0.29485011100769043;516;7;154;-706
27;0.30567240715026855;495;7;-7;-727
28;0.3165853023529053;514;5;61;-649
29;0.3273279666900635;498;7;0;-714
30;0.3381617069244385;523;3;11;-660
31;0.34896278381347656;510;7;16;-719
32;0.3598477840423584;535;5;-96;-704
33;0.3709557056427002;510;9;14;-705
34;0.38187408447265625;517;6;-106;-732
35;0.3926572799682617;514;9;31;-711
36;0.40348196029663086;515;7;-32;-761
37;0.4168417453765869;511;4;49;-651
38;0.4276282787322998;502;7;2;-716
39;0.4383811950683594;525;4;6;-667
40;0.44911980628967285;508;6;19;-720
41;0.4600086212158203;536;5;-90;-698
42;0.47075819969177246;511;8;14;-713
43;0.48148679733276367;527;5;-131;-723
44;0.49224090576171875;508;10;9;-697
45;0.503098726272583;514;7;-44;-756
46;0.5138850212097168;512;8;147;-701
47;0.524660587310791;503;7;-12;-752
48;0.5354199409484863;514;6;141;-697
49;0.5463993549346924;491;7;-23;-719
50;0.5572507381439209;514;5;31;-652
51;0.568138599395752;503;6;3;-711
52;0.5788757801055908;534;4;-26;-676
53;0.5896599292755127;512;7;22;-717
54;0.6004319190979004;534;5;-109;-703
55;0.6112189292907715;513;10;12;-704
56;0.6222054958343506;520;6;-89;-741
57;0.6329922676086426;514;11;65;-703
58;0.6437451839447021;515;6;-26;-762
59;0.654606819152832;514;7;153;-709
60;0.6653647422790527;500;6;-7;-732
61;0.6761143207550049;515;7;100;-675
62;0.6868605613708496;493;6;-23;-720
63;0.6976189613342285;516;5;23;-652
64;0.7084343433380127;508;7;4;-709
65;0.7192010879516602;534;4;-46;-686
66;0.7299919128417969;512;7;19;-710
67;0.7407326698303223;531;6;-118;-709
68;0.7515108585357666;511;10;12;-697
69;0.7622585296630859;520;6;-91;-739
70;0.7730302810668945;515;10;65;-705
