;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.00360107421875;192;4238;1438;-860
1;0.015536785125732422;195;4236;1448;-853
2;0.026686429977416992;191;4226;1438;-857
3;0.03994607925415039;196;4242;1438;-857
4;0.05409526824951172;196;4227;1436;-858
5;0.0650019645690918;192;4235;1437;-861
6;0.0760037899017334;193;4228;1437;-853
7;0.08679747581481934;191;4225;1433;-858
8;0.09760880470275879;196;4216;1437;-856
9;0.10856986045837402;191;4233;1437;-857
10;0.11934447288513184;198;4229;1437;-859
11;0.13009953498840332;198;4224;1437;-856
12;0.1410374641418457;192;4232;1438;-858
13;0.1519300937652588;195;4237;1438;-857
14;0.1627647876739502;192;4239;1437;-860
15;0.17357134819030762;195;4227;1428;-859
16;0.18441438674926758;192;4228;1437;-859
17;0.1955089569091797;194;4224;1437;-854
18;0.2064206600189209;190;4233;1437;-859
19;0.21924948692321777;198;4234;1437;-857
20;0.23000025749206543;198;4231;1437;-858
21;0.24089479446411133;193;4234;1437;-859
22;0.25169873237609863;196;4232;1437;-858
23;0.26250123977661133;190;4230;1437;-859
24;0.27324461936950684;194;4236;1436;-858
25;0.28403592109680176;193;4226;1436;-860
26;0.294999361038208;194;4224;1437;-854
27;0.3059673309326172;190;4227;1438;-858
28;0.31673693656921387;193;4225;1436;-857
29;0.3275294303894043;191;4222;1438;-853
30;0.3383965492248535;203;4226;1438;-859
31;0.34925055503845215;193;4229;1437;-858
32;0.36005473136901855;195;4231;1453;-858
33;0.37093663215637207;198;4236;1437;-857
34;0.38178443908691406;190;4239;1438;-858
35;0.39258265495300293;194;4224;1437;-857
36;0.403501033782959;191;4232;1423;-857
37;0.4143526554107666;195;4230;1437;-858
38;0.42511987686157227;190;4230;1437;-859
39;0.4359762668609619;194;4234;1437;-856
40;0.4470694065093994;190;4235;1437;-857
41;0.45787715911865234;200;4231;1437;-858
42;0.46875810623168945;192;4231;1437;-857
43;0.4795713424682617;197;4231;1435;-857
44;0.49036073684692383;203;4232;1437;-858
45;0.5012428760528564;190;4237;1437;-860
46;0.5121631622314453;196;4223;1437;-856
