;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.005049467086791992;66;3;0;-928
1;0.020217180252075195;67;4;3;-941
2;0.03123950958251953;67;3;0;-963
3;0.042032480239868164;63;3;5;-958
4;0.05285024642944336;60;3;3;-966
5;0.06369423866271973;71;3;4;-923
6;0.07467269897460938;46;3;2;-931
7;0.08555030822753906;75;0;3;-919
8;0.09647154808044434;46;2;2;-931
9;0.10763239860534668;94;0;1;-918
10;0.1186223030090332;69;5;2;-926
11;0.12948012351989746;80;2;0;-937
12;0.14032530784606934;67;5;4;-947
13;0.15133047103881836;68;2;1;-965
14;0.16213464736938477;69;3;5;-947
15;0.17301058769226074;58;2;2;-960
16;0.1840684413909912;65;2;4;-926
17;0.1949172019958496;46;2;2;-937
18;0.2060689926147461;91;-1;3;-917
19;0.21752452850341797;69;4;3;-922
20;0.2286844253540039;86;1;1;-928
21;0.23949909210205078;72;6;2;-942
22;0.2503929138183594;75;2;0;-953
23;0.2613708972930908;70;3;5;-947
24;0.27219486236572266;68;2;2;-967
25;0.2830667495727539;68;3;5;-948
26;0.29405832290649414;55;3;2;-957
27;0.3049964904785156;73;1;3;-918
28;0.3159940242767334;49;2;2;-922
29;0.32689833641052246;100;0;2;-919
30;0.337782621383667;73;5;1;-927
31;0.3487370014190674;94;0;-1;-930
32;0.3597371578216553;74;6;3;-938
33;0.37067675590515137;75;2;0;-951
34;0.3814878463745117;74;2;5;-952
35;0.3926081657409668;69;3;2;-967
36;0.40351438522338867;75;3;5;-932
37;0.4143552780151367;56;3;2;-941
38;0.4252619743347168;78;1;2;-916
39;0.43639254570007324;54;2;2;-929
40;0.44728565216064453;101;0;1;-924
41;0.4581148624420166;75;5;2;-927
42;0.46892380714416504;91;1;0;-931
43;0.4797825813293457;76;6;3;-944
44;0.4907057285308838;77;2;0;-958
45;0.5016458034515381;74;4;4;-950
46;0.5126562118530273;69;3;2;-962
47;0.5235464572906494;73;3;4;-925
48;0.5344092845916748;54;2;2;-946
49;0.5452814102172852;83;1;3;-923
50;0.5561513900756836;50;3;1;-929
51;0.5669300556182861;100;0;1;-917
52;0.5778253078460693;73;4;2;-925
53;0.5886986255645752;93;1;1;-932
54;0.5995864868164062;74;6;2;-948
55;0.6106433868408203;78;2;-1;-954
56;0.6215291023254395;74;3;5;-946
57;0.6323511600494385;71;3;1;-965
58;0.6432538032531738;72;3;5;-937
59;0.6541545391082764;54;3;3;-947
60;0.6649768352508545;77;1;2;-917
61;0.6759943962097168;51;2;2;-928
62;0.687042236328125;102;-1;1;-924
63;0.6979379653930664;74;4;3;-937
64;0.70884108543396;91;1;0;-929
65;0.7197282314300537;75;5;3;-936
66;0.7307119369506836;77;3;-1;-955
67;0.74153733253479;75;4;6;-961
68;0.7523627281188965;71;3;2;-967
69;0.7633583545684814;76;3;4;-930
70;0.7742531299591064;57;3;2;-944
71;0.7852194309234619;78;1;4;-919
72;0.7961297035217285;48;3;3;-938
73;0.807074785232544;103;0;2;-927
74;0.8180058002471924;76;4;3;-928
75;0.8288850784301758;94;0;0;-932
76;0.8397130966186523;81;5;3;-944
77;0.8506295680999756;80;3;-1;-958
78;0.8614983558654785;77;4;5;-945
79;0.8722937107086182;76;2;2;-956
80;0.8832790851593018;78;2;4;-931
81;0.8941574096679688;60;3;1;-948
82;0.9050369262695312;79;1;3;-923
83;0.9159810543060303;50;2;2;-928
84;0.9270217418670654;104;-1;2;-919
85;0.9379992485046387;78;5;2;-928
86;0.9488315582275391;96;0;-1;-939
87;0.9596621990203857;76;5;2;-939
88;0.9707090854644775;80;2;0;-951
89;0.9816505908966064;82;3;6;-945
90;0.9925081729888916;75;2;2;-968
91;1.0034058094024658;80;3;5;-937
92;1.0142650604248047;58;2;3;-946
93;1.0251541137695312;79;1;3;-915
94;1.0360982418060303;52;4;2;-932
95;1.0483191013336182;102;-1;2;-933
96;1.0591373443603516;78;5;3;-932
97;1.0699841976165771;82;2;-1;-939
98;1.0808415412902832;77;4;5;-947
99;1.0916776657104492;78;2;1;-964
100;1.1025314331054688;80;3;6;-946
101;1.113391399383545;66;3;1;-957
102;1.1242156028747559;79;2;4;-921
103;1.1350162029266357;58;2;2;-935
104;1.1459720134735107;97;0;2;-923
105;1.1568412780761719;66;2;3;-927
106;1.167975664138794;105;-1;1;-922
107;1.1790540218353271;78;6;2;-936
108;1.1899969577789307;84;3;0;-952
