;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0038378238677978516;158;1;4;-822
1;0.015153169631958008;96;4;2;-832
2;0.025956392288208008;168;0;1;-835
3;0.03671145439147949;116;6;3;-833
4;0.04759407043457031;127;2;1;-838
5;0.058431386947631836;106;6;4;-835
6;0.06922006607055664;110;4;0;-850
7;0.07995367050170898;124;3;7;-835
8;0.0907144546508789;97;4;2;-856
9;0.10154080390930176;116;3;5;-814
10;0.11247134208679199;65;2;3;-845
11;0.12320518493652344;127;2;4;-812
12;0.13393640518188477;64;2;2;-837
13;0.14471864700317383;175;1;3;-828
14;0.15554499626159668;116;3;3;-831
15;0.16627097129821777;165;-1;1;-835
16;0.17699456214904785;121;6;3;-836
17;0.1877286434173584;128;2;0;-838
18;0.19843721389770508;123;5;5;-832
19;0.20927834510803223;114;2;0;-850
20;0.21997928619384766;115;4;6;-834
21;0.2307446002960205;99;2;3;-858
22;0.24149394035339355;119;3;5;-817
23;0.2530205249786377;64;2;2;-834
24;0.2639765739440918;157;1;4;-816
25;0.27484893798828125;86;3;2;-839
26;0.28573012351989746;170;0;2;-830
27;0.296489953994751;116;5;3;-835
28;0.30730104446411133;139;2;1;-835
29;0.31803274154663086;119;6;3;-837
30;0.32878828048706055;111;3;-1;-846
31;0.33952784538269043;118;5;6;-834
32;0.3502824306488037;106;3;1;-857
33;0.3609907627105713;116;4;6;-825
34;0.3717477321624756;82;2;2;-856
35;0.38251471519470215;120;3;4;-813
36;0.3932077884674072;64;2;3;-837
37;0.40398597717285156;162;1;4;-818
38;0.4147927761077881;83;3;2;-834
39;0.42571163177490234;174;0;2;-830
40;0.43642759323120117;116;6;3;-834
41;0.44714784622192383;144;1;1;-835
42;0.45784902572631836;125;5;3;-833
43;0.4686157703399658;117;2;-1;-844
44;0.47933030128479004;121;4;6;-835
45;0.49015164375305176;108;3;2;-854
46;0.500957727432251;122;4;6;-823
47;0.5119812488555908;74;3;3;-851
48;0.5229041576385498;117;3;3;-812
49;0.5336916446685791;71;3;2;-836
50;0.5444841384887695;172;0;3;-821
51;0.5552289485931396;102;3;3;-838
52;0.5659635066986084;169;0;2;-834
53;0.5767195224761963;121;6;3;-839
54;0.5875253677368164;130;2;0;-837
55;0.5983202457427979;115;6;4;-834
56;0.6091217994689941;112;3;0;-851
57;0.6198296546936035;117;3;6;-834
58;0.6305582523345947;100;3;2;-854
59;0.6413021087646484;115;3;5;-819
60;0.6525909900665283;66;3;3;-839
61;0.6633572578430176;132;2;4;-814
62;0.6741547584533691;61;4;3;-834
63;0.6867115497589111;154;1;1;-832
64;0.697620153427124;112;5;2;-837
65;0.708439826965332;117;2;0;-844
66;0.7191541194915771;115;5;6;-834
67;0.72994065284729;107;2;2;-851
68;0.7406597137451172;118;3;6;-831
69;0.7514064311981201;82;2;2;-854
70;0.7623350620269775;119;3;4;-813
71;0.7730927467346191;64;2;3;-838
72;0.7838311195373535;149;1;3;-818
73;0.7945787906646729;72;2;3;-836
74;0.8053073883056641;170;0;3;-832
75;0.8160462379455566;115;6;2;-836
76;0.8267641067504883;150;1;0;-833
77;0.8376693725585938;119;6;4;-835
78;0.8483707904815674;116;3;0;-841
79;0.85909104347229;120;6;5;-836
80;0.8697898387908936;110;3;1;-850
81;0.8805527687072754;117;4;6;-829
82;0.8912594318389893;84;3;2;-859
83;0.9019811153411865;114;4;4;-811
84;0.912938117980957;67;3;2;-835
85;0.923656702041626;142;1;4;-818
86;0.9343616962432861;56;4;3;-834
87;0.9450547695159912;177;0;2;-830
88;0.9557697772979736;115;4;3;-836
89;0.9664788246154785;162;0;0;-833
90;0.9771842956542969;122;6;3;-834
91;0.9878945350646973;120;3;0;-840
92;0.9986298084259033;117;5;5;-837
93;1.009526252746582;111;2;2;-852
94;1.0204102993011475;115;3;7;-836
95;1.0311551094055176;90;3;2;-856
96;1.0418992042541504;115;2;4;-812
97;1.0526506900787354;65;3;1;-841
98;1.0633790493011475;131;2;3;-813
99;1.074120044708252;62;2;2;-834
100;1.0849196910858154;173;1;4;-827
101;1.0957136154174805;114;4;3;-835
102;1.1064255237579346;159;0;1;-833
103;1.117288589477539;115;5;3;-839
104;1.127993106842041;120;2;1;-838
105;1.1387441158294678;116;4;5;-837
106;1.1494970321655273;110;3;1;-853
107;1.1603245735168457;116;3;6;-835
108;1.1710231304168701;89;2;2;-860
109;1.1817803382873535;118;3;5;-813
110;1.1925244331359863;65;2;2;-839
111;1.2032396793365479;126;1;3;-813
112;1.214024305343628;55;3;2;-837
113;1.2248125076293945;176;0;2;-825
114;1.2356688976287842;121;4;3;-833
115;1.24638032913208;169;0;2;-834
116;1.2572157382965088;124;6;3;-832
117;1.2680346965789795;126;2;0;-838
118;1.2787845134735107;124;6;5;-834
119;1.2895026206970215;118;2;1;-847
120;1.3003590106964111;121;4;5;-832
121;1.3111400604248047;96;3;4;-855
122;1.3219151496887207;122;4;5;-816
123;1.3327012062072754;71;3;3;-836
124;1.3434929847717285;139;1;2;-815
125;1.3542239665985107;62;3;3;-833
126;1.3649485111236572;179;0;1;-826
127;1.375861644744873;118;5;3;-834
128;1.386606216430664;161;1;1;-833
129;1.3974218368530273;120;6;3;-832
130;1.408217191696167;124;2;1;-840
131;1.419072151184082;121;5;6;-837
132;1.4297833442687988;109;3;1;-853
133;1.4405112266540527;117;4;6;-841
134;1.4512298107147217;89;2;2;-854
135;1.4619786739349365;116;3;5;-815
136;1.4728362560272217;61;4;2;-839
137;1.4835789203643799;137;2;3;-818
138;1.494365930557251;60;3;2;-834
139;1.5051500797271729;174;0;1;-830
140;1.5163252353668213;110;5;2;-835
141;1.5270915031433105;137;1;0;-833
142;1.5378365516662598;109;6;3;-833
143;1.548560380935669;114;2;-1;-845
144;1.5593419075012207;115;5;6;-831
145;1.5700993537902832;102;3;1;-856
146;1.5809340476989746;110;2;5;-822
147;1.5916426181793213;73;3;2;-848
148;1.602412223815918;110;3;5;-811
149;1.6132378578186035;58;2;3;-840
150;1.6239917278289795;154;1;3;-819
151;1.634779453277588;77;4;3;-833
152;1.6456279754638672;166;0;2;-832
153;1.6564021110534668;115;6;3;-837
154;1.6671292781829834;143;1;1;-837
155;1.6778569221496582;122;6;3;-836
156;1.6885747909545898;118;2;0;-845
157;1.6993141174316406;123;4;6;-833
158;1.7101056575775146;107;3;2;-854
159;1.7223777770996094;118;2;5;-820
160;1.7332043647766113;63;3;2;-835
161;1.744035243988037;169;0;3;-817
162;1.7555718421936035;121;5;3;-835
163;1.7665596008300781;156;0;1;-834
164;1.77730393409729;115;7;3;-836
165;1.7880449295043945;113;3;0;-841
166;1.7987873554229736;114;5;6;-840
167;1.8095276355743408;106;2;0;-849
168;1.8204982280731201;115;3;6;-833
169;1.8312349319458008;86;2;2;-855
170;1.8420226573944092;115;3;4;-813
171;1.8529272079467773;61;2;2;-838
172;1.863614797592163;144;1;4;-813
173;1.8744008541107178;61;2;4;-836
174;1.8852577209472656;167;0;2;-830
175;1.8959729671478271;111;5;3;-834
176;1.9066932201385498;147;1;1;-832
177;1.9175755977630615;115;5;2;-837
178;1.9283075332641602;109;3;0;-843
179;1.9390151500701904;116;6;5;-835
180;1.94972562789917;106;3;1;-852
181;1.9605159759521484;114;3;5;-830
182;1.9711828231811523;84;3;3;-856
183;1.9819083213806152;110;3;4;-817
184;1.9926104545593262;64;3;2;-841
185;2.0600638389587402;116;3;5;-829
186;2.134511709213257;79;3;1;-833
187;2.1459121704101562;171;0;2;-836
188;2.156615734100342;104;6;3;-836
189;2.16752028465271;128;1;1;-835
190;2.1782891750335693;108;5;4;-835
191;2.1890077590942383;109;3;0;-846
192;2.1997363567352295;109;3;5;-835
193;2.2105231285095215;97;2;3;-855
194;2.221312999725342;114;2;6;-819
195;2.232006072998047;71;3;3;-849
196;2.2429592609405518;113;2;4;-811
197;2.253702163696289;57;2;2;-838
198;2.2648446559906006;173;1;2;-829
199;2.275588035583496;108;4;3;-837
200;2.2863547801971436;154;0;1;-831
201;2.297102451324463;108;6;3;-837
202;2.3079617023468018;111;3;0;-840
203;2.3187415599823;112;5;5;-834
204;2.3295552730560303;106;3;0;-850
205;2.340261459350586;115;5;7;-836
206;2.350985050201416;87;3;3;-856
207;2.361713171005249;113;3;5;-812
208;2.372429132461548;62;3;3;-839
209;2.3831539154052734;122;2;4;-815
210;2.3938395977020264;57;3;3;-838
211;2.4046027660369873;166;1;3;-817
212;2.415316343307495;104;4;3;-834
213;2.4261438846588135;161;0;2;-833
214;2.4368488788604736;113;6;2;-833
215;2.4476728439331055;120;3;0;-835
216;2.4583728313446045;120;6;5;-837
217;2.469136953353882;106;2;0;-851
218;2.4798319339752197;109;4;6;-832
219;2.490607500076294;95;3;3;-856
220;2.5012826919555664;112;3;5;-815
221;2.512282371520996;65;3;2;-845
222;2.523200035095215;123;2;4;-813
223;2.533968210220337;57;3;3;-837
224;2.544987916946411;170;1;3;-836
225;2.555717706680298;112;5;3;-834
226;2.5664608478546143;150;0;2;-834
227;2.5771782398223877;116;5;3;-836
228;2.588003396987915;117;2;1;-840
229;2.59871768951416;117;5;6;-845
230;2.6094820499420166;109;3;1;-848
231;2.6202709674835205;114;3;6;-833
232;2.63114595413208;85;3;3;-856
233;2.641845941543579;117;2;5;-815
234;2.6527063846588135;63;3;3;-834
235;2.6634438037872314;135;2;3;-816
236;2.6741697788238525;58;3;3;-843
237;2.6849160194396973;174;1;3;-828
238;2.69563364982605;113;5;2;-835
239;2.7064244747161865;156;0;1;-833
240;2.717133045196533;114;6;2;-835
241;2.727940797805786;113;2;0;-841
242;2.7386298179626465;114;5;4;-832
243;2.749384880065918;107;3;0;-847
244;2.7603018283843994;107;3;7;-830
245;2.771186351776123;84;2;3;-856
246;2.7819201946258545;115;3;5;-812
247;2.7928731441497803;61;3;2;-834
248;2.803623914718628;135;2;4;-817
249;2.8143692016601562;61;2;2;-835
250;2.825216293334961;168;0;3;-831
251;2.835969924926758;111;4;2;-836
252;2.8466835021972656;151;1;1;-834
253;2.8574886322021484;112;7;3;-837
254;2.868391513824463;113;3;2;-852
255;2.880638837814331;111;3;6;-828
256;2.8915553092956543;79;2;2;-856
257;2.902366876602173;113;2;4;-810
258;2.9131388664245605;58;3;2;-836
259;2.9238696098327637;150;1;3;-818
260;2.9346554279327393;71;3;3;-834
261;2.945352077484131;167;0;2;-832
262;2.956113815307617;113;5;3;-834
263;2.966836452484131;140;1;2;-833
264;2.977564573287964;113;6;3;-838
265;2.9883217811584473;113;3;0;-844
266;2.9990577697753906;113;4;6;-835
267;3.0098745822906494;99;3;2;-853
268;3.020867347717285;109;4;6;-823
269;3.031789541244507;71;3;2;-852
270;3.042609453201294;111;2;5;-814
271;3.053389072418213;55;3;3;-836
272;3.0640981197357178;161;0;3;-822
273;3.0749645233154297;86;3;3;-837
274;3.0856947898864746;165;0;1;-833
275;3.096449613571167;111;6;3;-832
276;3.1071970462799072;131;2;1;-835
