;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.005074977874755859;83;6;3;-836
1;0.02008795738220215;84;3;3;-839
2;0.03092217445373535;85;4;5;-837
3;0.04180741310119629;78;3;2;-840
4;0.052594661712646484;84;4;5;-834
5;0.06335067749023438;77;3;3;-837
6;0.0741734504699707;86;2;4;-832
7;0.08503460884094238;81;3;4;-836
8;0.09585309028625488;90;1;3;-834
9;0.10661721229553223;85;2;3;-836
10;0.11735796928405762;90;2;1;-836
11;0.12811064720153809;84;6;3;-835
12;0.13901543617248535;86;3;0;-840
13;0.14980792999267578;83;6;4;-836
14;0.16057729721069336;80;3;2;-840
15;0.17136478424072266;87;4;6;-836
16;0.1821882724761963;82;3;4;-839
17;0.1930551528930664;81;2;6;-831
18;0.2038891315460205;79;3;2;-836
19;0.21463799476623535;81;1;4;-832
20;0.22542881965637207;81;3;3;-837
21;0.23653197288513184;90;2;1;-836
22;0.2500479221343994;82;4;6;-836
23;0.26171398162841797;78;3;3;-838
24;0.2724289894104004;82;3;5;-834
25;0.2831614017486572;76;2;3;-837
26;0.29401087760925293;83;1;3;-831
27;0.30478906631469727;79;3;2;-837
28;0.31552743911743164;91;1;3;-834
29;0.3262507915496826;84;4;3;-837
30;0.33701324462890625;86;3;1;-836
31;0.34781837463378906;83;5;3;-836
32;0.35854649543762207;84;3;2;-841
33;0.3701903820037842;83;5;5;-836
34;0.3810760974884033;79;3;2;-840
35;0.39180636405944824;80;3;5;-835
36;0.40254640579223633;76;3;3;-837
37;0.41327452659606934;85;2;5;-832
38;0.423994779586792;75;3;3;-836
39;0.4351170063018799;91;0;4;-832
40;0.44585323333740234;80;3;3;-837
41;0.45656275749206543;88;1;2;-835
42;0.46728086471557617;81;4;3;-837
43;0.4780161380767822;86;2;1;-838
44;0.4889028072357178;83;6;2;-836
45;0.49970245361328125;80;4;2;-840
46;0.5104775428771973;80;4;6;-836
47;0.521202564239502;78;3;2;-840
48;0.5318863391876221;80;4;6;-835
49;0.5425679683685303;74;2;3;-838
50;0.5533478260040283;79;1;4;-830
51;0.5641710758209229;75;3;3;-837
52;0.5749044418334961;82;0;3;-834
53;0.5856304168701172;78;3;3;-837
54;0.596367597579956;81;2;1;-836
55;0.6071071624755859;76;6;3;-837
56;0.6178648471832275;75;3;1;-838
57;0.6286270618438721;68;5;4;-835
58;0.6394674777984619;68;3;3;-841
59;0.6502950191497803;62;4;6;-837
60;0.6610467433929443;67;3;3;-839
61;0.6717619895935059;63;2;5;-834
62;0.6830534934997559;47;3;3;-838
63;0.6937448978424072;56;1;5;-832
64;0.7044734954833984;67;3;3;-837
65;0.7151679992675781;73;1;3;-833
66;0.7258739471435547;69;3;4;-837
67;0.7366466522216797;74;2;1;-836
68;0.7474117279052734;65;7;3;-837
69;0.7581429481506348;55;3;1;-839
70;0.7689151763916016;60;5;3;-837
71;0.7796463966369629;70;3;3;-841
72;0.7903838157653809;69;4;5;-837
73;0.8011758327484131;69;3;3;-840
74;0.8119077682495117;79;2;5;-832
75;0.822634220123291;73;3;1;-836
76;0.8334558010101318;78;2;3;-832
77;0.8442473411560059;67;3;4;-837
78;0.8550546169281006;72;1;2;-834
79;0.8657782077789307;59;2;3;-836
80;0.8764946460723877;71;2;1;-836
81;0.8872230052947998;84;6;3;-835
82;0.8979382514953613;81;3;2;-839
83;0.908754825592041;81;5;3;-835
84;0.919546365737915;80;2;3;-841
85;0.9309320449829102;73;3;6;-835
86;0.9416580200195312;66;3;3;-837
87;0.9524037837982178;70;2;5;-831
88;0.9631080627441406;63;3;2;-837
89;0.9738726615905762;77;1;3;-831
90;0.9845912456512451;70;4;2;-837
91;0.9953701496124268;78;1;1;-837
92;1.0061705112457275;69;5;3;-837
93;1.0169732570648193;69;3;-1;-838
94;1.0277254581451416;53;5;4;-835
95;1.0398685932159424;49;2;2;-841
96;1.0506641864776611;57;4;5;-836
97;1.0615627765655518;49;5;3;-838
98;1.0722885131835938;53;2;4;-831
99;1.0831990242004395;44;3;2;-837
100;1.0939857959747314;50;0;3;-833
101;1.1047234535217285;44;4;2;-836
102;1.115452527999878;49;2;2;-836
103;1.1262922286987305;40;6;4;-837
104;1.137019157409668;41;3;0;-837
105;1.1478543281555176;29;7;4;-834
106;1.1586906909942627;18;3;2;-840
107;1.16953706741333;15;4;6;-836
108;1.180840015411377;1;3;2;-838
109;1.1916425228118896;78;3;5;-833
110;1.2023248672485352;57;3;2;-837
111;1.213028907775879;62;2;3;-831
112;1.2237117290496826;79;3;2;-835
113;1.2344014644622803;81;1;2;-835
114;1.2451629638671875;65;6;3;-837
115;1.259035348892212;63;3;3;-838
116;1.2738747596740723;68;0;3;-833
117;1.284651756286621;67;3;3;-837
118;1.2954235076904297;79;1;2;-836
119;1.3063082695007324;73;5;3;-836
120;1.317152500152588;71;3;1;-839
121;1.3279249668121338;61;6;3;-834
122;1.3386917114257812;73;3;2;-841
123;1.349611759185791;76;4;7;-837
124;1.3604609966278076;70;3;2;-839
125;1.371229887008667;79;3;5;-833
126;1.3819727897644043;68;4;3;-837
127;1.3927512168884277;75;2;3;-831
128;1.4035875797271729;77;4;3;-836
129;1.414400339126587;81;1;3;-833
130;1.425199031829834;76;4;3;-837
131;1.436168909072876;78;3;0;-837
132;1.4469935894012451;72;6;4;-835
133;1.4578495025634766;65;2;2;-839
134;1.4686050415039062;57;5;4;-836
135;1.4793450832366943;59;1;2;-842
136;1.490154504776001;71;4;5;-837
137;1.5011248588562012;58;2;2;-838
138;1.5118882656097412;55;2;4;-831
139;1.5226354598999023;72;3;2;-837
140;1.5334796905517578;81;1;3;-831
141;1.544283151626587;80;3;3;-838
142;1.5552122592926025;88;2;2;-836
143;1.5659534931182861;84;4;3;-836
144;1.5766868591308594;92;2;1;-838
145;1.5874297618865967;84;5;3;-835
146;1.5982394218444824;80;3;2;-840
147;1.6090986728668213;87;4;5;-836
148;1.6198499202728271;83;3;2;-840
149;1.6306238174438477;86;3;5;-834
150;1.6415863037109375;79;4;2;-837
151;1.6524074077606201;86;1;3;-830
152;1.663194179534912;83;3;2;-837
153;1.6739680767059326;90;0;2;-833
154;1.6848108768463135;85;3;3;-836
155;1.695693016052246;90;3;1;-837
156;1.706510305404663;82;6;3;-837
157;1.7172906398773193;84;3;1;-839
158;1.7280464172363281;84;6;4;-835
159;1.739013671875;84;3;3;-841
160;1.7498891353607178;84;4;6;-837
161;1.7606537342071533;78;4;3;-838
162;1.7715187072753906;87;2;4;-830
163;1.7823231220245361;82;3;2;-836
164;1.7931735515594482;87;1;3;-834
165;1.803968906402588;85;2;3;-837
166;1.8147060871124268;89;2;1;-835
167;1.825446605682373;86;6;2;-835
168;1.8363370895385742;87;3;0;-838
169;1.847167730331421;81;6;3;-837
170;1.8579914569854736;84;3;2;-841
171;1.8698279857635498;87;4;7;-836
172;1.8805768489837646;79;3;3;-840
173;1.8913559913635254;86;1;4;-831
174;1.9021170139312744;82;3;3;-837
175;1.9130489826202393;88;1;3;-832
176;1.9238240718841553;84;3;3;-837
177;1.9347009658813477;91;2;2;-836
178;1.9454600811004639;82;5;3;-836
179;1.956369161605835;87;3;0;-839
180;1.9671721458435059;85;6;4;-836
181;1.9779284000396729;83;2;2;-841
182;1.9887268543243408;85;4;6;-836
183;1.9997470378875732;82;3;2;-838
184;2.0658559799194336;86;6;3;-835
185;2.138978958129883;65;3;2;-838
186;2.1505229473114014;72;2;5;-832
187;2.1613407135009766;63;3;2;-836
188;2.172086238861084;68;1;3;-832
189;2.1829288005828857;69;4;3;-837
190;2.19526743888855;72;2;1;-837
191;2.205990791320801;58;6;3;-836
192;2.216911792755127;61;2;2;-840
193;2.227715492248535;70;5;4;-837
194;2.238570213317871;66;3;4;-841
195;2.249356269836426;77;4;5;-837
196;2.2602145671844482;64;3;3;-836
197;2.271655559539795;76;2;1;-833
198;2.2861218452453613;66;6;2;-836
199;2.2970855236053467;72;3;1;-840
200;2.3078713417053223;80;5;5;-837
201;2.3187057971954346;75;3;3;-840
202;2.3297078609466553;83;4;5;-833
203;2.340487241744995;74;3;2;-837
204;2.3512814044952393;83;1;4;-831
205;2.3620753288269043;80;3;3;-836
206;2.3728630542755127;88;0;2;-833
207;2.3836817741394043;83;3;3;-837
208;2.394501209259033;89;2;1;-836
209;2.405254602432251;81;6;3;-836
210;2.4160149097442627;83;3;2;-838
211;2.4268648624420166;78;5;3;-836
212;2.43780517578125;78;3;3;-841
213;2.4486048221588135;81;3;6;-836
214;2.459388017654419;70;4;3;-839
215;2.470165252685547;83;3;5;-831
216;2.4810729026794434;81;4;3;-837
217;2.491971015930176;86;1;4;-831
218;2.5027449131011963;85;3;3;-837
219;2.513622760772705;96;1;2;-836
220;2.524467706680298;84;4;3;-835
221;2.5352163314819336;98;3;1;-837
222;2.5459580421447754;84;6;3;-835
223;2.5567407608032227;89;3;2;-842
224;2.567565679550171;84;5;5;-836
225;2.578400135040283;83;4;3;-839
226;2.589189291000366;88;4;6;-835
227;2.5999538898468018;79;3;3;-838
228;2.6107068061828613;84;2;4;-831
229;2.6215741634368896;83;3;3;-837
230;2.632443428039551;88;1;3;-833
231;2.643223285675049;82;3;3;-837
232;2.653965473175049;90;2;1;-836
233;2.6647391319274902;77;6;3;-835
234;2.675504684448242;79;2;0;-838
235;2.6863718032836914;82;6;4;-835
236;2.6972084045410156;81;3;2;-841
237;2.707951545715332;83;4;6;-837
238;2.7187294960021973;76;4;3;-839
239;2.729524850845337;78;3;5;-835
240;2.7403812408447266;76;3;3;-837
241;2.7512295246124268;85;0;4;-831
242;2.761970043182373;85;3;3;-837
243;2.7727363109588623;93;0;3;-834
244;2.783682107925415;85;4;3;-836
245;2.794517755508423;92;3;1;-836
246;2.80527663230896;85;5;3;-837
247;2.8161063194274902;86;3;2;-838
248;2.8270325660705566;88;5;5;-837
249;2.8378243446350098;84;3;2;-842
250;2.8485922813415527;88;4;6;-836
251;2.8593358993530273;81;2;3;-839
252;2.870166540145874;87;1;3;-831
253;2.881124496459961;85;3;2;-835
254;2.8918957710266113;89;0;4;-832
255;2.902644634246826;87;4;3;-837
256;2.913496732711792;95;1;1;-836
257;2.924294948577881;85;5;4;-836
258;2.9352242946624756;91;3;1;-838
259;2.946035385131836;87;6;3;-837
260;2.9569032192230225;86;2;3;-841
261;2.9677505493164062;87;4;6;-836
262;2.9785611629486084;83;4;3;-838
263;2.989307403564453;88;3;5;-833
264;3.0001702308654785;79;4;2;-837
265;3.0111048221588135;88;1;3;-832
266;3.0218944549560547;85;4;3;-836
267;3.032602548599243;95;1;2;-835
268;3.0434508323669434;87;4;4;-837
269;3.0543136596679688;91;2;1;-837
270;3.065263509750366;89;6;3;-837
271;3.0760998725891113;85;2;2;-840
272;3.0873446464538574;87;4;5;-836
273;3.0980422496795654;81;3;2;-840
274;3.1088500022888184;88;3;5;-834
275;3.1197314262390137;79;4;3;-837
276;3.130499839782715;87;2;3;-831
277;3.1412713527679443;83;4;4;-837
278;3.15201735496521;92;1;3;-832
279;3.162827491760254;87;3;4;-837
280;3.17364501953125;94;1;1;-837
281;3.18453049659729;88;6;3;-835
282;3.195326805114746;90;3;1;-840
283;3.2061750888824463;88;5;4;-836
284;3.217115879058838;87;3;2;-841
285;3.2279653549194336;88;4;5;-836
286;3.240175485610962;83;3;3;-837
287;3.2513234615325928;90;1;3;-832
288;3.2620627880096436;86;2;3;-837
289;3.273024082183838;95;2;1;-835
290;3.2838149070739746;89;4;6;-836
291;3.299755811691284;83;3;2;-836
292;3.310692548751831;87;1;3;-831
293;3.321657419204712;88;3;3;-837
294;3.332460403442383;93;1;2;-837
295;3.3432533740997314;87;4;3;-837
296;3.354017496109009;94;2;0;-837
297;3.3656516075134277;89;5;4;-836
298;3.3769330978393555;86;2;2;-841
299;3.387721300125122;89;4;5;-835
300;3.3985252380371094;81;4;2;-839
301;3.4092373847961426;86;3;5;-830
302;3.4200146198272705;83;3;2;-838
303;3.430751085281372;88;1;3;-833
304;3.4417619705200195;87;3;3;-838
305;3.452558994293213;96;1;2;-836
306;3.4633002281188965;89;5;3;-836
307;3.474205732345581;94;3;1;-837
308;3.485039234161377;85;6;4;-835
309;3.4959170818328857;87;3;3;-841
310;3.506779909133911;90;4;4;-837
311;3.5175540447235107;88;4;3;-839
312;3.528493881225586;88;3;6;-834
313;3.5392324924468994;81;3;2;-837
314;3.5499866008758545;88;1;4;-831
315;3.5607266426086426;84;3;3;-835
316;3.5717179775238037;94;0;3;-834
317;3.58251690864563;86;3;3;-837
318;3.593259811401367;94;3;1;-835
319;3.6040198802948;87;5;3;-837
320;3.614753246307373;98;3;1;-837
321;3.625497579574585;85;5;4;-836
322;3.6362879276275635;84;3;3;-842
323;3.6471478939056396;87;5;6;-836
324;3.6579089164733887;81;3;2;-838
325;3.6686387062072754;86;2;4;-833
326;3.6794209480285645;83;3;3;-836
327;3.690284490585327;82;1;4;-832
328;3.7011871337890625;86;4;3;-836
329;3.711925506591797;95;1;3;-836
330;3.7226836681365967;87;4;3;-835
331;3.7335457801818848;93;3;1;-836
332;3.7446045875549316;85;6;3;-836
333;3.755324363708496;87;3;1;-840
334;3.766177177429199;88;4;6;-836
335;3.77704119682312;84;2;3;-842
336;3.787848472595215;87;4;5;-836
337;3.798588752746582;81;3;3;-837
338;3.809361219406128;86;3;4;-830
339;3.8201100826263428;83;3;2;-837
340;3.830967664718628;92;1;3;-833
341;3.8417727947235107;88;3;2;-836
342;3.8525588512420654;93;1;2;-836
343;3.8633363246917725;84;6;4;-836
344;3.874220609664917;89;3;1;-838
345;3.8850667476654053;86;5;3;-837
346;3.895846366882324;83;3;2;-840
347;3.9066529273986816;86;3;6;-836
348;3.9173927307128906;80;4;3;-838
349;3.928135871887207;85;3;5;-833
350;3.9390597343444824;80;3;2;-837
351;3.9498674869537354;86;1;4;-831
352;3.9605793952941895;80;3;3;-837
353;3.971353054046631;87;1;2;-834
354;3.9820640087127686;86;4;3;-836
355;3.9928648471832275;90;1;1;-836
356;4.0037243366241455;90;6;3;-836
357;4.014540910720825;87;3;0;-840
358;4.025299072265625;86;5;4;-836
359;4.0361058712005615;85;2;3;-842
360;4.047031879425049;88;3;6;-835
361;4.05781626701355;83;3;3;-837
362;4.06857967376709;89;2;5;-830
363;4.079335689544678;78;3;3;-837
364;4.090106248855591;87;1;4;-831
365;4.101068019866943;85;3;3;-837
366;4.112119436264038;93;1;2;-835
367;4.1228790283203125;86;5;4;-837
368;4.13369345664978;88;3;0;-837
369;4.14452052116394;84;6;3;-836
370;4.155263900756836;87;4;3;-840
371;4.166013717651367;86;4;6;-836
372;4.176863670349121;83;3;2;-840
373;4.1877195835113525;87;4;5;-834
374;4.198561191558838;80;3;3;-836
375;4.209288120269775;85;2;4;-830
376;4.220041751861572;86;4;3;-837
377;4.230869293212891;95;0;2;-834
378;4.241727113723755;86;3;4;-836
379;4.252601623535156;90;2;1;-836
380;4.263441562652588;86;6;3;-836
381;4.274415016174316;85;2;2;-839
382;4.285186529159546;89;3;1;-836
383;4.304911375045776;86;1;4;-835
384;4.319981098175049;85;3;3;-837
385;4.331086158752441;95;0;2;-833
386;4.341835975646973;84;3;3;-836
387;4.3526411056518555;96;2;1;-836
388;4.363474369049072;86;6;3;-834
389;4.3749940395355225;85;3;2;-840
390;4.385795593261719;87;4;5;-836
391;4.396783828735352;92;2;3;-840
392;4.407531976699829;87;3;6;-834
393;4.418353796005249;80;4;3;-836
394;4.429147720336914;87;1;4;-831
395;4.44047212600708;84;4;2;-838
396;4.451175212860107;93;1;4;-836
397;4.461909055709839;86;3;3;-837
398;4.472667217254639;90;2;1;-836
399;4.483438730239868;84;6;3;-834
400;4.494259357452393;89;3;1;-838
401;4.505062103271484;87;4;4;-836
402;4.515826940536499;85;4;2;-842
403;4.5265772342681885;85;3;6;-837
404;4.5373008251190186;81;4;3;-837
405;4.548031806945801;88;2;4;-834
406;4.558923721313477;82;3;2;-500
407;4.569772720336914;88;1;4;-832
408;4.580530643463135;86;4;2;-96
409;4.591466903686523;93;1;1;-836
410;4.602250576019287;87;5;3;-33
411;4.613010883331299;89;2;0;-837
412;4.623817682266235;201;6;3;-836
413;4.634571075439453;87;3;1;-840
414;4.64529275894165;164;4;6;-762
415;4.656102180480957;86;3;2;-840
416;4.666922330856323;280;3;5;-836
417;4.6777427196502686;78;3;4;-837
418;4.688924789428711;210;1;3;-832
419;4.69964599609375;83;4;3;-836
420;4.710428476333618;93;1;4;-834
421;4.721167325973511;88;3;4;-836
422;4.731903791427612;92;2;1;-836
423;4.742654323577881;86;6;3;-835
424;4.7535786628723145;84;3;1;-839
425;4.764323472976685;87;7;3;-835
426;4.7751758098602295;82;3;2;-841
427;4.785913467407227;87;4;6;-837
428;4.796714544296265;80;3;3;-840
429;4.807438850402832;86;3;5;-832
430;4.81818151473999;78;3;2;-838
431;4.8289148807525635;87;1;4;-831
432;4.839674711227417;84;4;3;-836
433;4.850400924682617;94;1;3;-835
434;4.861168384552002;84;4;4;-837
435;4.872671127319336;91;3;1;-667
436;4.88358211517334;82;6;2;-836
437;4.894418239593506;89;3;1;-733
438;4.90515398979187;89;5;6;-837
439;4.915892601013184;82;3;3;-318
440;4.926631212234497;87;4;5;-834
441;4.937497615814209;80;3;3;-838
442;4.948355197906494;86;2;4;-831
443;4.959057092666626;83;4;2;-838
444;4.969850540161133;90;1;3;-833
445;4.980596542358398;86;3;4;-838
446;4.9913330078125;91;2;1;-836
447;5.002130508422852;83;5;3;-836
448;5.014405012130737;85;2;3;-840
449;5.026517629623413;83;3;5;-834
450;5.0373313426971436;76;3;2;-838
451;5.04808783531189;83;2;4;-831
452;5.0589258670806885;83;3;2;-837
453;5.069645643234253;88;0;4;-834
454;5.080472469329834;82;3;4;-836
455;5.091270446777344;87;2;2;-836
456;5.102018356323242;84;5;2;-837
457;5.112761497497559;86;3;1;-838
458;5.123588562011719;82;6;4;-835
459;5.134336233139038;84;3;2;-840
460;5.145069122314453;87;5;6;-838
461;5.155837059020996;78;2;2;-839
462;5.1665778160095215;85;4;5;-835
463;5.1774208545684814;76;4;2;-837
464;5.188244342803955;86;1;4;-832
465;5.199138641357422;84;3;2;-836
466;5.20986795425415;92;0;3;-834
467;5.220582008361816;83;3;3;-836
468;5.231471300125122;90;2;0;-836
469;5.242234706878662;83;6;4;-836
470;5.253052234649658;93;3;2;-837
471;5.26381516456604;84;7;3;-836
472;5.274566650390625;84;3;3;-842
473;5.285303592681885;87;4;6;-836
474;5.296133279800415;78;3;3;-838
475;5.306963920593262;85;3;5;-832
476;5.317716121673584;78;3;2;-837
477;5.331446647644043;91;4;1;-837
478;5.343254804611206;83;6;3;-835
479;5.35534930229187;79;3;2;-841
480;5.366303443908691;86;3;5;-834
481;5.377065658569336;76;2;3;-837
482;5.387809991836548;84;1;4;-833
483;5.398619890213013;82;3;3;-837
484;5.409340143203735;89;1;4;-832
485;5.4200599193573;83;3;5;-837
486;5.43093466758728;90;2;2;-834
487;5.441821813583374;83;5;4;-837
488;5.4525206089019775;85;2;1;-838
489;5.463211297988892;83;7;3;-836
490;5.473966598510742;86;2;2;-840
491;5.484722137451172;85;5;5;-836
492;5.495480060577393;86;3;3;-839
493;5.506331920623779;85;3;6;-833
494;5.517168760299683;76;3;3;-836
495;5.527913808822632;83;1;3;-831
496;5.538712024688721;80;3;3;-836
