;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0034635066986083984;99;27;96;-1601
1;0.014600515365600586;97;29;96;-1601
2;0.02534794807434082;98;27;108;-1600
3;0.03607678413391113;98;28;95;-1596
4;0.04706382751464844;98;27;118;-1598
5;0.05778241157531738;98;28;118;-1603
6;0.06855034828186035;93;27;117;-1601
7;0.07933759689331055;96;27;119;-1600
8;0.09015488624572754;96;26;96;-1600
9;0.10098004341125488;103;26;119;-1600
10;0.11173820495605469;103;26;118;-1601
11;0.12248373031616211;97;28;96;-1599
12;0.1332085132598877;98;27;136;-1600
13;0.1441645622253418;98;28;117;-1600
14;0.15495038032531738;97;26;119;-1600
15;0.16568398475646973;98;27;97;-1603
16;0.17638945579528809;97;28;118;-1598
17;0.18711447715759277;98;27;106;-1598
18;0.1978297233581543;98;27;118;-1601
19;0.2086324691772461;97;28;104;-1599
20;0.21936631202697754;94;29;118;-1599
21;0.2302093505859375;92;27;97;-1595
22;0.24103617668151855;90;28;103;-1599
23;0.2517971992492676;95;28;96;-1599
24;0.2625257968902588;96;27;97;-1600
25;0.2733304500579834;95;27;97;-1600
26;0.2843046188354492;98;27;97;-1600
27;0.29509758949279785;97;28;118;-1601
28;0.3058452606201172;98;27;94;-1598
29;0.31656789779663086;98;27;118;-1600
30;0.32814455032348633;98;26;118;-1601
31;0.33895134925842285;101;27;141;-1600
32;0.34974193572998047;94;28;119;-1602
33;0.36045384407043457;101;28;96;-1600
34;0.3711886405944824;99;27;95;-1599
35;0.38198065757751465;97;27;96;-1599
36;0.39359426498413086;97;28;113;-1600
37;0.40473389625549316;97;28;95;-1599
38;0.4156031608581543;98;27;108;-1600
39;0.426297664642334;97;27;96;-1599
40;0.43704915046691895;99;26;119;-1601
41;0.4477999210357666;98;26;101;-1604
42;0.45852065086364746;103;28;95;-1599
43;0.4692716598510742;94;26;118;-1603
44;0.4801781177520752;97;27;96;-1600
45;0.4910092353820801;104;28;118;-1600
46;0.5017180442810059;92;27;98;-1598
47;0.5124993324279785;103;27;119;-1600
48;0.5232088565826416;101;28;107;-1601
49;0.5340020656585693;100;29;119;-1600
50;0.5452134609222412;99;28;118;-1600
51;0.5564701557159424;101;27;97;-1602
52;0.5672330856323242;101;28;115;-1605
53;0.5780825614929199;100;28;94;-1597
54;0.5889012813568115;101;27;103;-1601
55;0.5996866226196289;100;28;118;-1600
56;0.6104750633239746;100;27;107;-1600
57;0.6212117671966553;107;26;96;-1600
58;0.6319735050201416;95;27;96;-1599
59;0.6429188251495361;98;28;96;-1599
60;0.6539371013641357;100;27;118;-1601
61;0.6646406650543213;99;27;97;-1600
62;0.6754279136657715;100;28;119;-1599
