;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0037102699279785156;181;2;12907;-1574
1;0.015437602996826172;180;1;12908;-1575
2;0.026340484619140625;180;2;12907;-1574
3;0.039048194885253906;181;1;12906;-1576
4;0.05246782302856445;180;1;12906;-1574
5;0.06330752372741699;180;0;12906;-1574
6;0.07403254508972168;180;2;12907;-1573
7;0.08480358123779297;179;3;12906;-1574
8;0.09553170204162598;180;2;12906;-1573
9;0.10635948181152344;179;0;12906;-1574
10;0.11709403991699219;180;1;12911;-1575
11;0.12780284881591797;179;1;12906;-1574
12;0.1387627124786377;180;1;12906;-1575
13;0.14954400062561035;179;2;12907;-1574
14;0.16027045249938965;180;1;12921;-1575
15;0.17100095748901367;181;2;12907;-1574
16;0.18176031112670898;179;1;12905;-1574
17;0.192551851272583;180;1;12898;-1573
18;0.20363211631774902;180;2;12907;-1574
19;0.21439695358276367;180;1;12918;-1573
20;0.22512435913085938;179;2;12884;-1574
21;0.23597240447998047;180;2;12924;-1574
22;0.24673008918762207;179;2;12899;-1574
23;0.25750231742858887;180;2;12906;-1574
24;0.2682178020477295;179;2;12906;-1574
25;0.2789742946624756;181;1;12925;-1573
26;0.28970837593078613;180;1;12906;-1575
27;0.30043458938598633;182;2;12907;-1574
28;0.31124424934387207;180;2;12907;-1576
29;0.3219621181488037;180;2;12906;-1575
30;0.33269190788269043;179;2;12921;-1575
31;0.34342098236083984;181;2;12907;-1574
32;0.35413408279418945;180;2;12907;-1574
33;0.36486315727233887;180;1;12907;-1573
34;0.3755829334259033;181;1;12907;-1574
35;0.3863372802734375;179;2;12894;-1574
36;0.39705538749694824;180;0;12929;-1574
37;0.4078371524810791;180;0;12907;-1574
38;0.4186697006225586;181;1;12906;-1575
39;0.4293789863586426;179;2;12885;-1575
40;0.4400920867919922;181;1;12921;-1574
41;0.4510056972503662;180;1;12907;-1574
42;0.4619622230529785;180;1;12906;-1574
43;0.4727051258087158;181;2;12905;-1574
44;0.48346686363220215;180;1;12907;-1574
45;0.49420762062072754;181;2;12915;-1574
46;0.5050089359283447;179;2;12887;-1574
47;0.5158553123474121;180;2;12925;-1574
48;0.5266463756561279;179;1;12899;-1575
49;0.5373704433441162;180;1;12907;-1574
50;0.5481047630310059;179;1;12906;-1574
51;0.5588414669036865;182;1;12907;-1575
52;0.5695538520812988;180;2;12908;-1574
53;0.5802614688873291;182;1;12915;-1574
54;0.5910108089447021;180;2;12909;-1573
55;0.6017460823059082;182;1;12906;-1573
56;0.612534761428833;180;2;12906;-1574
57;0.623267650604248;180;2;12907;-1574
58;0.6339941024780273;180;1;12907;-1574
59;0.6447856426239014;180;1;12906;-1574
60;0.6555535793304443;180;2;12907;-1576
61;0.6662988662719727;179;1;12894;-1574
62;0.6770157814025879;180;1;12907;-1575
63;0.6877603530883789;180;2;12907;-1575
64;0.6987440586090088;182;0;12907;-1575
65;0.7095699310302734;180;2;12907;-1574
66;0.720313310623169;181;1;12908;-1574
67;0.7326524257659912;180;3;12908;-1575
68;0.7436013221740723;180;1;12907;-1575
69;0.7554209232330322;180;2;12907;-1576
70;0.7665932178497314;180;1;12907;-1574
71;0.7773220539093018;180;2;12907;-1574
72;0.7880213260650635;179;1;12907;-1574
73;0.7987954616546631;181;2;12924;-1575
74;0.8095583915710449;181;2;12907;-1574
75;0.8202722072601318;181;0;12906;-1574
76;0.8309941291809082;181;2;12906;-1574
77;0.8417079448699951;181;1;12907;-1575
78;0.8524610996246338;180;1;12906;-1574
79;0.8632619380950928;179;1;12907;-1574
80;0.873985767364502;181;2;12908;-1574
81;0.8846955299377441;181;1;12885;-1574
82;0.8954164981842041;181;2;12907;-1574
83;0.9061868190765381;179;2;12885;-1574
84;0.9169039726257324;180;2;12907;-1574
85;0.9276258945465088;180;1;12906;-1576
86;0.9383401870727539;181;1;12907;-1575
87;0.949150800704956;179;2;12907;-1574
88;0.9599306583404541;181;1;12909;-1575
89;0.9706456661224365;180;2;12907;-1573
90;0.9813985824584961;180;1;12896;-1574
91;0.9920938014984131;179;2;12907;-1573
92;1.0028209686279297;180;1;12906;-1573
93;1.0135619640350342;180;2;12916;-1575
94;1.0243000984191895;181;1;12907;-1573
95;1.035010814666748;179;1;12908;-1574
96;1.0458078384399414;180;2;12906;-1575
97;1.0566041469573975;180;1;12928;-1574
98;1.0673189163208008;178;1;12906;-1574
99;1.0780315399169922;181;0;12929;-1575
100;1.0887565612792969;179;2;12905;-1574
101;1.0994699001312256;181;1;12906;-1575
102;1.1102354526519775;181;1;12907;-1574
