;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;-20;3.0;3.0;26
1;0.01744246482849121;-16;1.0;3.0;9
2;0.03210258483886719;-14;3.0;3.0;-23
3;0.0468447208404541;-21;2.0;3.0;8
4;0.061693429946899414;-30;2.0;2.0;27
5;0.07649087905883789;-19;2.0;2.0;-9
6;0.09127330780029297;-16;1.0;3.0;-23
7;0.1062476634979248;-26;3.0;3.0;4
8;0.12115669250488281;-21;2.0;3.0;24
9;0.13595128059387207;-19;3.0;2.0;-3
10;0.15102887153625488;-9;4.0;3.0;-23
11;0.16602826118469238;-25;3.0;2.0;6
12;0.18117713928222656;-22;2.0;3.0;27
13;0.1963512897491455;-15;2.0;3.0;-2
14;0.21141791343688965;-16;3.0;2.0;-23
15;0.22653484344482422;-29;3.0;3.0;7
16;0.24169492721557617;-31;2.0;3.0;22
17;0.25699472427368164;-19;2.0;4.0;-2
18;0.27225303649902344;-11;4.0;2.0;-21
19;0.2875196933746338;-20;3.0;4.0;2
20;0.302807092666626;-24;3.0;3.0;28
21;0.3180885314941406;-17;2.0;2.0;4
22;0.3333570957183838;-13;3.0;3.0;-22
23;0.34865570068359375;-26;4.0;2.0;-5
24;0.3638298511505127;-24;1.0;2.0;21
25;0.3791365623474121;-20;1.0;3.0;10
26;0.4010932445526123;-19;1.0;2.0;24
27;0.4164845943450928;-18;2.0;2.0;-9
28;0.4318263530731201;-14;3.0;3.0;-21
29;0.44723939895629883;-27;3.0;3.0;4
30;0.46260523796081543;-22;1.0;3.0;26
31;0.4781057834625244;-20;2.0;2.0;-6
32;0.49352478981018066;-16;3.0;3.0;-26
33;0.5088868141174316;-19;3.0;3.0;-1
34;0.5244104862213135;-24;2.0;3.0;26
35;0.5399210453033447;-25;2.0;3.0;19
36;0.5557477474212646;-11;3.0;3.0;-23
37;0.5714008808135986;-17;3.0;3.0;-27
38;0.587007999420166;-28;4.0;3.0;5
39;0.602569580078125;-22;2.0;3.0;29
40;0.6180329322814941;-16;2.0;3.0;-5
41;0.6335897445678711;-17;3.0;3.0;-17
42;0.6492710113525391;-22;4.0;4.0;-3
43;0.6648497581481934;-27;2.0;3.0;25
44;0.6804656982421875;-17;2.0;2.0;9
45;0.6960084438323975;-13;3.0;3.0;-24
46;0.7116706371307373;-11;3.0;3.0;-20
47;0.7310996055603027;-11;3.0;2.0;-30
48;0.751713752746582;-16;3.0;2.0;-19
49;0.7724423408508301;-13;3.0;3.0;-21
50;0.7931156158447266;-13;3.0;3.0;-13
51;0.8136434555053711;-16;4.0;3.0;-13
52;0.8342008590698242;-10;3.0;3.0;-7
53;0.8549900054931641;-10;3.0;2.0;5
54;0.8758585453033447;-14;3.0;3.0;4
55;0.8966608047485352;-11;3.0;3.0;12
56;0.9175021648406982;-14;2.0;3.0;17
57;0.9382071495056152;-15;3.0;2.0;16
58;0.9589250087738037;-16;2.0;3.0;24
59;0.9797079563140869;-18;2.0;3.0;32
60;1.000661849975586;33;4.0;3.0;-21
61;1.0684459209442139;37;2.0;3.0;9
62;1.0851917266845703;51;1.0;2.0;22
63;1.1011147499084473;79;2.0;3.0;-3
64;1.1172595024108887;109;3.0;3.0;-20
65;1.1332123279571533;130;3.0;3.0;-22
66;1.1492257118225098;127;3.0;3.0;9
67;1.1650874614715576;157;1.0;3.0;27
68;1.181152582168579;207;2.0;2.0;-4
69;1.197187900543213;298;3.0;3.0;-21
70;1.2132494449615479;412;3.0;3.0;-13
71;1.229382038116455;489;2.0;3.0;12
72;1.2453229427337646;484;2.0;2.0;22
73;1.2629320621490479;496;1.0;3.0;10
74;1.2789664268493652;548;3.0;2.0;-21
75;1.2949926853179932;599;3.0;2.0;-24
76;1.3111896514892578;621;2.0;3.0;8
77;1.327329397201538;628;2.0;3.0;23
78;1.3436198234558105;635;2.0;2.0;9
79;1.3596980571746826;624;3.0;3.0;-12
80;1.3757333755493164;620;3.0;3.0;-23
81;1.3918852806091309;615;3.0;3.0;-6
82;1.408083200454712;606;2.0;2.0;22
