;Time;Thrust;BEM pressure;N2O pressure;N2OWeigth
0;0.0;-173;30.0;4787.0;8038
1;0.015650033950805664;-187;34.0;4784.0;8030
2;0.0301210880279541;-186;26.0;4787.0;8032
3;0.0446019172668457;-182;25.0;4768.0;8036
4;0.05919075012207031;-185;19.0;4770.0;8032
5;0.07378983497619629;-186;34.0;4787.0;8031
6;0.08844161033630371;-188;26.0;4799.0;8035
7;0.10319876670837402;-186;29.0;4774.0;8035
8;0.11783957481384277;-187;34.0;4779.0;8033
9;0.1325225830078125;-184;33.0;4789.0;8035
10;0.14720559120178223;-188;23.0;4788.0;8038
11;0.16207432746887207;-183;26.0;4786.0;8029
12;0.17697644233703613;-186;34.0;4788.0;8030
13;0.1919095516204834;-186;33.0;4770.0;8038
14;0.2068004608154297;-183;24.0;4767.0;8036
15;0.22175931930541992;-187;31.0;4792.0;8037
16;0.23677825927734375;-182;24.0;4769.0;8035
17;0.2517690658569336;-183;40.0;4790.0;8035
18;0.2666962146759033;-184;33.0;4792.0;8040
19;0.28182506561279297;-189;16.0;4788.0;8038
20;0.29692506790161133;-185;-144.0;4772.0;8031
21;0.3119940757751465;-184;16.0;4794.0;8031
22;0.32696986198425293;-183;10.0;4773.0;8037
23;0.3421339988708496;-184;20.0;4796.0;8040
24;0.3571438789367676;-185;62.0;4779.0;8031
25;0.372586727142334;-182;84.0;4801.0;8028
26;0.3876378536224365;-182;35.0;4797.0;8037
27;0.4027707576751709;-185;110.0;4811.0;8036
28;0.41790771484375;-186;60.0;4794.0;8029
29;0.4330728054046631;-183;67.0;4822.0;8035
30;0.4480926990509033;-184;-13.0;4829.0;8036
31;0.46335363388061523;-183;67.0;4828.0;8036
32;0.47855448722839355;-183;74.0;4821.0;8032
33;0.500138521194458;-189;94.0;4835.0;8035
34;0.5153124332427979;-181;84.0;4837.0;8034
35;0.5304841995239258;-184;66.0;4836.0;8030
36;0.5457713603973389;-180;46.0;4835.0;8035
37;0.5610620975494385;-186;103.0;4817.0;8036
38;0.5764191150665283;-187;54.0;4803.0;8033
39;0.5917119979858398;-183;56.0;4805.0;8038
40;0.606971263885498;-181;12.0;4788.0;8032
41;0.6223621368408203;-188;18.0;4816.0;8040
42;0.6378738880157471;-184;54.0;4817.0;8036
43;0.654090166091919;-181;70.0;4819.0;8024
44;0.6743667125701904;-186;63.0;4804.0;8031
45;0.6944277286529541;-187;79.0;4831.0;8034
46;0.7146468162536621;-183;64.0;4831.0;8035
47;0.7349467277526855;-188;14.0;4832.0;8030
48;0.7551746368408203;-181;20.0;4838.0;8036
49;0.7755506038665771;-189;90.0;4819.0;8032
50;0.7960405349731445;-183;61.0;4838.0;8034
51;0.8164665699005127;-183;92.0;4842.0;8029
52;0.8369135856628418;-182;77.0;4847.0;8033
53;0.857600212097168;-182;127.0;4832.0;8036
54;0.8781673908233643;-187;101.0;4831.0;8036
55;0.898604154586792;-185;13.0;4828.0;8037
56;0.9190280437469482;-184;48.0;4835.0;8034
57;0.9394729137420654;-180;15.0;4836.0;8036
58;0.9601948261260986;-188;38.0;4840.0;8041
59;0.9809250831604004;-189;122.0;4834.0;8036
60;1.0014798641204834;-186;106.0;4848.0;8037
61;1.0224907398223877;-182;75.0;4846.0;8037
62;1.0432229042053223;-181;113.0;4858.0;8033
63;1.0637776851654053;-181;128.0;4865.0;8039
64;1.0844066143035889;-185;170.0;4873.0;8036
65;1.1050796508789062;-187;116.0;4851.0;8030
66;1.1259074211120605;-183;143.0;4879.0;8035
67;1.1467514038085938;-182;72.0;4880.0;8033
68;1.1677002906799316;-188;187.0;4883.0;8036
69;1.1884183883666992;-183;82.0;4885.0;8039
70;1.2091381549835205;-184;130.0;4887.0;8034
71;1.2299892902374268;-190;48.0;4865.0;8034
72;1.2509441375732422;-186;211.0;4870.0;8039
73;1.2720890045166016;-186;171.0;4865.0;8037
74;1.2930450439453125;-183;134.0;4881.0;8030
75;1.3139710426330566;-182;106.0;4856.0;8033
76;1.3348209857940674;-183;77.0;4830.0;8034
77;1.356022834777832;-184;126.0;4834.0;8035
78;1.3770666122436523;-186;88.0;4835.0;8041
79;1.4009826183319092;-186;68.0;4826.0;8033
80;1.4223895072937012;-181;120.0;4851.0;8035
81;1.4433386325836182;-184;171.0;4860.0;8035
82;1.4617712497711182;-186;112.0;4865.0;8039
83;1.4776904582977295;-182;141.0;4855.0;8035
84;1.4936103820800781;-183;153.0;4878.0;8031
85;1.509599208831787;-173;33.0;5056.0;8036
86;1.5638210773468018;-182;313.0;5038.0;8043
87;1.58048415184021;-181;235.0;4967.0;8034
88;1.5966930389404297;-179;196.0;4938.0;8021
89;1.6128180027008057;-183;199.0;4928.0;8028
90;1.6288337707519531;-183;188.0;4926.0;8026
