;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0014204978942871094;96;32;7919;95
1;0.01246023178100586;97;32;7911;95
2;0.023178815841674805;98;33;7910;95
3;0.033945322036743164;96;32;7911;95
4;0.044834136962890625;97;32;7910;95
5;0.05553412437438965;97;32;7912;95
6;0.06623482704162598;97;32;7910;95
7;0.07702326774597168;96;32;7909;95
8;0.08772540092468262;97;32;7911;95
9;0.09843230247497559;96;33;7910;95
10;0.10918712615966797;97;34;7910;94
11;0.12161111831665039;98;32;7909;95
12;0.13243603706359863;96;32;7888;96
13;0.14313912391662598;96;32;7909;95
14;0.15391874313354492;97;32;7910;95
15;0.16478371620178223;96;31;7913;95
16;0.17548680305480957;97;32;7910;97
17;0.1861886978149414;96;32;7910;95
18;0.19699335098266602;98;32;7911;96
19;0.2077498435974121;97;33;7910;94
20;0.2184453010559082;97;32;7911;95
21;0.22913718223571777;97;33;7893;94
22;0.23982787132263184;97;33;7923;93
23;0.25052976608276367;97;33;7911;96
24;0.26129603385925293;96;32;7928;95
25;0.272052526473999;96;33;7909;95
26;0.2827646732330322;98;32;7910;95
27;0.29347944259643555;97;34;7916;94
28;0.30417609214782715;98;32;7910;96
29;0.3148825168609619;97;33;7910;95
30;0.32558155059814453;97;33;7893;96
31;0.3362734317779541;97;32;7910;95
32;0.34697437286376953;98;33;7911;95
33;0.35767364501953125;96;32;7910;95
34;0.36837077140808105;97;32;7909;95
35;0.37906813621520996;96;34;7911;95
36;0.3897678852081299;96;32;7910;95
37;0.40047264099121094;96;32;7910;95
38;0.4112691879272461;97;33;7911;96
39;0.4220256805419922;97;32;7911;96
40;0.432722806930542;96;33;7910;96
41;0.44342637062072754;96;32;7909;96
42;0.45412659645080566;97;31;7910;95
43;0.4648263454437256;96;32;7910;95
44;0.47552490234375;97;33;7911;94
45;0.48622703552246094;98;32;7908;95
46;0.4969203472137451;97;32;7886;96
47;0.5076191425323486;98;32;7910;96
48;0.5183224678039551;97;32;7910;94
49;0.5290334224700928;97;31;7910;95
50;0.539729118347168;97;33;7910;95
51;0.5504252910614014;97;32;7912;94
52;0.5610806941986084;96;32;7911;95
53;0.5717785358428955;98;32;7910;96
54;0.5824697017669678;97;32;7911;97
55;0.5931582450866699;96;31;7911;95
56;0.6038894653320312;96;32;7911;94
57;0.6146378517150879;97;32;7909;96
58;0.6253232955932617;97;33;7923;95
59;0.6360232830047607;97;31;7910;95
60;0.6467223167419434;97;33;7909;95
61;0.6574640274047852;99;32;7910;95
62;0.6681532859802246;96;33;7910;94
63;0.6788461208343506;97;32;7909;95
64;0.6895372867584229;96;32;7910;96
65;0.7002205848693848;96;32;7906;95
66;0.7109484672546387;98;33;7909;94
67;0.7216472625732422;97;33;7909;95
68;0.7323391437530518;97;33;7904;95
69;0.7430295944213867;98;32;7910;94
70;0.7537195682525635;97;31;7927;96
71;0.7644143104553223;97;32;7910;95
72;0.7750968933105469;97;33;7910;96
73;0.7857968807220459;97;32;7910;95
74;0.7964828014373779;98;33;7925;94
75;0.8072102069854736;97;33;7910;94
76;0.8179049491882324;97;32;7910;96
77;0.8286035060882568;96;33;7909;95
78;0.8394157886505127;96;33;7910;94
79;0.850114107131958;99;32;7911;96
80;0.860823392868042;98;32;7910;95
81;0.8715164661407471;97;32;7910;95
82;0.882209062576294;96;32;7909;95
83;0.8929135799407959;97;32;7911;96
84;0.9036006927490234;97;32;7910;96
85;0.9143338203430176;98;32;7909;94
86;0.9250314235687256;97;31;7910;95
87;0.9357268810272217;97;32;7909;95
88;0.9464170932769775;97;33;7911;95
89;0.9571161270141602;97;33;7900;94
90;0.9678299427032471;97;32;7910;96
91;0.978529691696167;96;33;7909;96
92;0.9893496036529541;98;32;7911;95
93;1.001941204071045;96;32;7910;94
94;1.0130019187927246;97;33;7911;95
95;1.0237174034118652;96;32;7911;95
96;1.0344300270080566;98;32;7911;96
97;1.0451343059539795;97;33;7910;95
98;1.0558435916900635;96;32;7910;95
99;1.0666112899780273;99;32;7911;95
100;1.0773699283599854;98;32;7911;96
101;1.0880696773529053;97;31;7890;95
102;1.098839521408081;98;33;7910;96
103;1.1095404624938965;97;33;7911;96
104;1.1215403079986572;97;33;7910;95
105;1.1322581768035889;97;33;7910;96
106;1.1429588794708252;97;31;7910;95
107;1.153679609298706;97;33;7911;96
108;1.1643805503845215;98;32;7910;96
109;1.1750810146331787;94;32;7911;94
