;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.08784627914428711;3424;6464;7776;4752
1;0.09903407096862793;5984;4528;2752;4448
2;0.10966968536376953;4912;5984;9776;5840
3;0.12033772468566895;5312;5376;2912;3696
4;0.13103604316711426;5184;5248;9408;6432
5;0.14166593551635742;4752;6016;3072;3424
6;0.15231871604919434;5632;4496;8528;7088
7;0.16298890113830566;4144;6432;3616;3392
8;0.1736609935760498;6224;4048;6800;6896
9;0.18436574935913086;3712;6832;4544;3696
10;0.1950380802154541;6592;3648;5104;6448
11;0.20573043823242188;3744;7376;6112;4400
12;0.2164154052734375;6496;3312;3408;5680
13;0.22702884674072266;4032;7472;7808;5040
14;0.2377636432647705;6096;3888;2752;4896
15;0.24845266342163086;4512;6672;9328;5616
16;0.2591369152069092;5616;4736;2816;4240
17;0.2698090076446533;4896;6000;9904;5904
18;0.2804727554321289;5104;5392;2880;3648
19;0.2911350727081299;5200;5152;9264;6512
20;0.3017847537994385;4608;6128;3088;3488
21;0.3124511241912842;5696;4464;8416;7024
22;0.32311081886291504;4016;6512;3744;3488
23;0.3338162899017334;6160;3984;6592;6928
24;0.344480037689209;3712;6832;4656;3760
25;0.35514068603515625;6704;3584;4928;6336
26;0.3658177852630615;3792;7392;6192;4304
27;0.37650036811828613;6432;3312;3184;5760
28;0.3871760368347168;4032;7376;7888;5152
29;0.39798784255981445;6128;4048;2816;4752
30;0.40865111351013184;4464;6576;9376;5632
31;0.41930699348449707;5504;4752;2736;4192
32;0.42999863624572754;5008;5792;9904;6016
33;0.4407622814178467;5072;5584;2896;3584
34;0.4514315128326416;5360;4976;9248;6656
35;0.462146520614624;4592;6128;3216;3520
36;0.47286033630371094;5856;4336;7920;7024
37;0.4835336208343506;3904;6608;4080;3488
38;0.4942293167114258;6464;4032;6064;6768
39;0.5048959255218506;3728;7008;5104;4016
40;0.5155801773071289;6608;3440;4336;6208
41;0.526263952255249;3856;7520;6720;4688
42;0.5370104312896729;6352;3360;2784;5344
43;0.547680139541626;4144;7072;8272;5440
44;0.5583453178405762;5840;4176;2656;4704
45;0.5690221786499023;4656;6368;9664;5696
46;0.579695463180542;5488;4992;2912;4016
47;0.5903806686401367;4896;5600;9728;6160
48;0.6010127067565918;4912;5648;2960;3616
49;0.6116786003112793;5456;4848;9008;6784
50;0.6223194599151611;4416;6288;3200;3536
51;0.633007287979126;5872;4336;7792;7120
52;0.6436734199523926;3904;6576;4176;3504
53;0.6543765068054199;6368;3968;6000;6640
54;0.6650416851043701;3584;6992;5312;3920
55;0.675708532333374;6608;3504;4128;6096
56;0.6863744258880615;3920;7440;7024;4816
57;0.6970343589782715;6480;4016;2768;5344
58;0.7087905406951904;4208;6480;9488;5632
59;0.7194719314575195;5632;4800;2768;4048
60;0.7301318645477295;4928;5712;9840;6064
61;0.7410082817077637;5024;5888;3088;3424
62;0.752042293548584;5488;4560;8720;6848
63;0.7627303600311279;4224;6352;3504;3344
64;0.7733674049377441;6016;4128;7200;6832
65;0.7840213775634766;3824;6720;4384;3648
66;0.7946939468383789;6640;3824;5456;6592
67;0.8053791522979736;3792;7232;5728;4096
68;0.8160569667816162;6688;3488;3744;5840
69;0.82668137550354;4064;7424;7328;4912
70;0.8374125957489014;6224;3536;2688;5104
71;0.848130464553833;4336;6880;8816;5472
72;0.8587973117828369;5824;4416;2752;4320
73;0.8694911003112793;4832;6128;9792;5840
74;0.8801710605621338;5280;5168;2880;3792
75;0.8908374309539795;5200;5392;9472;6432
76;0.9014930725097656;4704;5872;2992;3456
77;0.9121658802032471;5648;4640;8624;6960
78;0.9228284358978271;4144;6416;3488;3552
79;0.9334876537322998;6080;4112;6960;6912
80;0.9442076683044434;3872;6784;4496;3712
81;0.9548788070678711;6672;3744;5152;6464
82;0.9655430316925049;3840;7280;5968;4256
83;0.9762132167816162;6528;3280;3520;5792
84;0.9868755340576172;4016;7504;7504;4944
85;0.9975378513336182;6240;3568;2672;4928
86;1.0082011222839355;4336;6800;8896;5440
87;1.0188322067260742;5808;4512;2768;4336
88;1.0294973850250244;4736;6064;9792;5824
89;1.040212869644165;5280;5184;2912;3776
90;1.0508744716644287;5168;5360;9488;6480
91;1.0615406036376953;4720;5984;3104;3456
92;1.0722050666809082;5696;4496;8576;6976
93;1.0828638076782227;4176;6384;3664;3360
94;1.093519687652588;6064;4096;7040;6864
95;1.1041502952575684;3824;6848;4480;3696
96;1.1148409843444824;6624;3712;5264;6576
97;1.12550950050354;3808;7216;5840;4336
98;1.136171817779541;6544;3344;3584;5936
99;1.146883249282837;4080;7440;7584;5136
100;1.1575496196746826;6256;3680;2656;4960
101;1.16823148727417;4432;6672;8944;5600
102;1.1789031028747559;5744;4528;2752;4400
103;1.189573049545288;4832;6160;9872;5920
104;1.200232982635498;5168;5328;2864;3664
105;1.210890769958496;5104;5312;9472;6304
106;1.2215607166290283;4800;5968;3056;3312
107;1.2322535514831543;5520;4480;8576;6944
108;1.2429625988006592;4032;6448;3760;3456
109;1.2536287307739258;6176;4080;6880;6832
110;1.2642529010772705;3856;6768;4528;3664
111;1.2749052047729492;6624;3792;5264;6512
112;1.285574197769165;3648;7344;6080;4336
113;1.2962701320648193;6480;3360;3424;5776
114;1.306933879852295;4032;7344;7648;5104
115;1.3175969123840332;6304;3696;2688;4912
116;1.3282556533813477;4368;6816;9056;5584
117;1.3389158248901367;5744;4496;2768;4352
118;1.3496203422546387;4752;6064;9952;5744
119;1.360302209854126;5152;5344;2944;3792
120;1.3709681034088135;5184;5392;9552;6464
121;1.3816039562225342;4592;6016;3104;3312
122;1.392270565032959;5584;4480;8544;6992
123;1.4029452800750732;4224;6560;3664;3472
124;1.413633108139038;6096;4112;6784;6928
125;1.4242711067199707;3712;6848;4544;3728
126;1.4350457191467285;6720;3536;4864;6480
127;1.4459106922149658;3760;7440;6368;4352
128;1.4566421508789062;6368;3344;2880;5504
129;1.46742582321167;4112;7248;8240;5392
130;1.4781405925750732;5920;4128;2768;4736
131;1.4888319969177246;4576;6432;9472;5680
132;1.4995121955871582;5488;4800;2944;4048
133;1.5101571083068848;5024;5696;9808;6064
134;1.520829439163208;4992;5616;2960;3536
135;1.5314910411834717;5360;4944;9088;6816
136;1.5421991348266602;4384;6208;3232;3520
137;1.5529069900512695;5888;4288;7664;6992
138;1.563575267791748;3904;6624;4128;3488
139;1.5742266178131104;6432;3936;6032;6704
140;1.584895133972168;3808;7056;5136;4080
141;1.5955750942230225;6736;3504;4272;6112
142;1.6062037944793701;3984;7488;6784;4576
143;1.6168675422668457;6368;3504;2848;5408
144;1.6275444030761719;4176;7104;8336;5472
145;1.6382052898406982;6064;4176;2832;4592
146;1.648923635482788;4512;6272;9648;5648
147;1.6595885753631592;5520;4880;2976;3984
148;1.670262336730957;4944;5696;9904;6016
149;1.6809978485107422;5024;5840;3072;3472
150;1.6916725635528564;5488;4736;9088;6768
151;1.702345609664917;4288;6256;3280;3424
152;1.7130188941955566;5792;4176;7600;6944
153;1.7236626148223877;3888;6640;4128;3520
154;1.7355022430419922;6608;3520;4880;6432
155;1.7462568283081055;3664;7584;7056;4720
156;1.8434019088745117;3200;6752;4416;3616
157;1.8546223640441895;6240;3664;5392;6672
158;1.8653132915496826;3664;7248;5904;4224
159;1.8761308193206787;6640;3264;3408;5936
160;1.8867566585540771;4000;7584;7552;4944
161;1.8974690437316895;6224;3712;2768;5072
162;1.9081594944000244;4368;6720;9072;5536
163;1.9188129901885986;5696;4512;2784;4400
164;1.9294936656951904;4784;6192;9904;5904
165;1.9401283264160156;5216;5328;2880;3856
166;1.9508461952209473;5264;5312;9680;6432
167;1.9615185260772705;4688;6064;3024;3440
168;1.9721906185150146;5648;4400;8656;6992
169;1.9828765392303467;4064;6480;3776;3504
170;1.9935696125030518;6144;4032;6896;6944
171;2.004240036010742;3664;6816;4656;3744
172;2.0149149894714355;6640;3616;4976;6416
173;2.025603771209717;3712;7296;6144;4336
174;2.0363268852233887;6480;3216;3200;5648
175;2.047060966491699;4000;7376;7936;5200
176;2.0577335357666016;6208;3856;2800;4912
177;2.0684053897857666;4560;6592;9520;5728
178;2.07908034324646;5680;4672;2800;4288
179;2.089754581451416;4784;5936;10080;5888
180;2.100423812866211;5168;5456;2944;3568
181;2.1110897064208984;5200;5184;9392;6624
182;2.1217479705810547;4480;6064;3072;3328
183;2.1324117183685303;5680;4368;8400;7040
184;2.1430509090423584;4080;6480;3792;3440
185;2.153759717941284;6224;3904;6576;6912
186;2.164426326751709;3696;6960;4800;3760
187;2.1750969886779785;6800;3616;4752;6480
188;2.1857693195343018;3664;7536;6400;4416
189;2.1964364051818848;6416;3296;2912;5632
190;2.2071094512939453;4096;7392;8048;5344
191;2.217775583267212;6064;3904;2784;4736
192;2.2284440994262695;4528;6656;9616;5696
193;2.2391178607940674;5728;5040;2816;4016
194;2.250437021255493;4880;5536;9936;6176
195;2.2611355781555176;4864;5744;2960;3456
196;2.2718067169189453;5552;4640;8896;6800
197;2.28247332572937;4304;6400;3344;3440
198;2.2931480407714844;5920;4096;7440;6976
199;2.30381441116333;3728;6752;4336;3536
200;2.3144898414611816;6592;3760;5616;6752
201;2.3251760005950928;3568;7312;5760;4016
202;2.3358840942382812;6656;3200;3648;6080
203;2.346611738204956;3920;7536;7440;4944
204;2.3572394847869873;6272;3536;2800;5184
205;2.3680760860443115;4400;6944;9040;5440
206;2.3787481784820557;5808;4416;2688;4288
207;2.389474391937256;4800;6064;9984;5904
208;2.4001660346984863;5232;5328;2912;3680
209;2.4108328819274902;5200;5328;9712;6560
210;2.4215075969696045;4752;6096;2992;3360
211;2.432154893875122;5616;4496;8704;7136
212;2.4428019523620605;4096;6480;3776;3392
213;2.453530788421631;6208;4016;6832;7056
214;2.464217185974121;3712;6960;4592;3728
215;2.47489595413208;6688;3504;4944;6592
216;2.485585927963257;3648;7312;6208;4288
217;2.4962539672851562;6544;3216;3088;5744
218;2.506925344467163;4000;7424;7840;5056
219;2.5176045894622803;6096;3680;2656;4864
220;2.528242826461792;4368;6656;9360;5600
221;2.5389175415039062;5792;4656;2752;4320
222;2.5496435165405273;4768;5936;10000;6000
223;2.5603206157684326;5056;5520;3024;3600
224;2.570991039276123;5184;5216;9664;6592
225;2.581662178039551;4608;6048;3072;3360
226;2.5923357009887695;5776;4416;8432;6976
227;2.6030163764953613;4128;6496;3936;3472
228;2.6136527061462402;6352;3952;6672;6896
229;2.624298334121704;3696;6848;4688;3792
