;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0027053356170654297;1182;34;11862;3967
1;0.011169910430908203;1186;29;11839;3966
2;0.01928257942199707;1188;31;11841;3836
3;0.02734851837158203;1188;29;11840;3804
4;0.035384416580200195;1187;30;11840;3744
5;0.04343295097351074;1185;34;11841;3709
6;0.05148959159851074;1184;29;11840;3728
7;0.05953264236450195;1192;30;11862;3679
8;0.06757497787475586;1188;30;11840;3507
9;0.0756385326385498;1185;30;11840;3317
10;0.08367323875427246;1184;33;11840;3203
11;0.09172320365905762;1169;28;11852;3115
12;0.09982037544250488;1147;32;11854;3211
13;0.10786056518554688;1127;29;11852;3265
14;0.1158914566040039;1119;30;11891;3431
15;0.12392616271972656;1127;34;11893;3684
16;0.13197684288024902;1145;27;11886;4101
17;0.1400163173675537;1169;31;11867;4222
18;0.14804649353027344;1181;30;11866;4199
19;0.15607213973999023;1173;30;11861;4078
20;0.16414141654968262;1163;33;11870;4228
21;0.17240095138549805;1144;27;11852;3919
22;0.18045306205749512;1119;34;11851;3727
23;0.18848705291748047;1120;30;11846;3828
24;0.19646120071411133;1131;30;11856;4306
25;0.20450782775878906;1155;32;11871;4280
26;0.21261167526245117;1163;26;11845;3882
27;0.22065162658691406;1170;31;11848;3603
28;0.22878217697143555;1167;29;11847;3769
29;0.23687076568603516;1150;31;11848;3834
30;0.2449049949645996;1137;32;11858;3660
31;0.25293731689453125;1127;27;11845;3593
32;0.26100945472717285;1140;30;11845;3967
33;0.26912665367126465;1150;30;11845;4260
34;0.2772233486175537;1159;30;11845;4235
35;0.28525304794311523;1168;31;11867;4102
36;0.29329991340637207;1178;27;11859;4189
37;0.30136799812316895;1176;33;11843;4139
38;0.3094007968902588;1167;30;11865;3945
39;0.3174405097961426;1155;29;11845;3624
40;0.32547616958618164;1149;31;11866;3641
41;0.33353495597839355;1150;27;11845;3685
42;0.34156179428100586;1153;32;11843;3644
43;0.3495960235595703;1157;29;11865;3435
44;0.35762786865234375;1169;28;11843;3465
45;0.3656764030456543;1173;26;11843;3520
46;0.373706579208374;1169;24;11856;3369
47;0.3817636966705322;1158;19;11843;3165
48;0.38979673385620117;1142;15;11842;3092
49;0.39783620834350586;1124;15;11865;3215
50;0.40587639808654785;1116;28;11852;3335
51;0.41390538215637207;1114;22;11843;3430
52;0.42197585105895996;1122;30;11843;3611
53;0.4300096035003662;1135;26;11865;3951
54;0.43805766105651855;1153;25;11855;4155
55;0.4460330009460449;1165;26;11866;4094
56;0.4540724754333496;1165;23;11855;3967
57;0.4631509780883789;1151;26;11842;3932
58;0.4711945056915283;1133;22;11842;3940
59;0.4792311191558838;1122;20;11843;3853
60;0.48726963996887207;1119;-13;11866;3842
61;0.49530506134033203;1125;38;11860;3970
