;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.015448331832885742;521;30;-104;-777
1;0.034754276275634766;501;29;-123;-777
2;0.05412101745605469;501;44;-122;-778
3;0.08039617538452148;545;31;137;-795
4;0.10843014717102051;544;15;6;-679
5;0.12862586975097656;543;30;58;-744
6;0.1442711353302002;596;34;58;-786
7;0.1606433391571045;543;36;6;-862
8;0.17775940895080566;534;29;-113;-775
9;0.19285869598388672;498;17;5;-747
10;0.20834708213806152;542;31;91;-770
11;0.22375845909118652;599;42;6;-757
12;0.23895263671875;543;30;-3;-872
13;0.25507593154907227;498;23;-34;-773
14;0.2699282169342041;542;30;26;-687
15;0.28452372550964355;600;39;12;-748
16;0.2995491027832031;541;31;-29;-861
17;0.3141474723815918;476;18;6;-780
18;0.3288078308105469;537;30;74;-753
19;0.34334802627563477;592;30;6;-781
20;0.36319494247436523;598;43;6;-788
21;0.378002405166626;541;30;-108;-778
22;0.3926255702972412;511;17;5;-737
23;0.40715599060058594;544;30;135;-774
24;0.4217095375061035;542;36;6;-850
25;0.4364478588104248;520;29;-124;-777
26;0.4513990879058838;542;19;7;-677
27;0.466935396194458;558;18;137;-770
28;0.48824310302734375;539;30;60;-771
29;0.5038282871246338;602;43;6;-769
30;0.5188946723937988;541;29;-13;-849
31;0.5345568656921387;493;20;5;-779
32;0.5494263172149658;541;29;26;-647
33;0.5644166469573975;600;42;8;-754
34;0.5790228843688965;543;30;-43;-834
35;0.5938563346862793;486;19;5;-764
36;0.6090245246887207;542;30;54;-702
37;0.6235160827636719;598;43;7;-761
38;0.6379423141479492;540;29;-101;-776
39;0.6526007652282715;513;18;6;-741
40;0.6671421527862549;544;30;110;-772
41;0.6830623149871826;593;43;7;-790
42;0.6988797187805176;543;30;-9;-858
43;0.7148237228393555;490;29;-119;-778
44;0.7312731742858887;543;22;6;-691
45;0.7465944290161133;536;30;122;-772
46;0.7627556324005127;586;42;6;-784
47;0.7789497375488281;543;30;-19;-862
48;0.7948880195617676;492;25;-52;-777
49;0.8104133605957031;541;26;7;-683
50;0.8261735439300537;562;30;136;-774
51;0.8418447971343994;548;42;4;-834
52;0.856708288192749;523;29;-126;-780
53;0.8717787265777588;539;20;6;-698
54;0.8865461349487305;543;30;120;-773
55;0.9029111862182617;599;43;6;-786
56;0.9179174900054932;537;29;-48;-824
57;0.9354157447814941;511;27;-112;-775
58;0.9502921104431152;541;30;9;-665
59;0.965240478515625;575;35;106;-773
60;0.9798955917358398;541;30;-4;-871
61;0.9943339824676514;491;19;5;-776
62;1.0090126991271973;542;31;38;-694
63;1.0235931873321533;603;42;8;-774
64;1.0381364822387695;542;30;-81;-784
65;1.0527758598327637;483;17;6;-758
66;1.0672650337219238;548;30;122;-774
67;1.0818886756896973;553;40;6;-816
68;1.0963459014892578;537;29;-123;-779
69;1.110992431640625;541;29;7;-698
70;1.1254229545593262;570;33;112;-773
71;1.139892339706421;543;30;-3;-866
72;1.154451608657837;493;21;4;-780
73;1.1690220832824707;541;31;37;-646
74;1.1835312843322754;594;44;8;-783
75;1.1981048583984375;540;31;-74;-788
76;1.2127454280853271;496;17;6;-757
77;1.2272567749023438;550;30;115;-774
