;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.017920732498168945;546;27;24;2682
1;0.037474870681762695;548;31;36;2618
2;0.05717778205871582;555;33;43;2608
3;0.07865715026855469;537;18;18;2690
4;0.09824919700622559;541;27;22;2702
5;0.11754417419433594;541;33;35;2639
6;0.13676786422729492;547;33;53;2608
7;0.1560499668121338;561;34;82;2605
8;0.17521095275878906;580;32;104;2614
9;0.19433283805847168;593;34;104;2611
10;0.2136378288269043;594;33;101;2613
11;0.23304462432861328;594;34;48;2612
12;0.25264477729797363;570;38;14;2623
13;0.2718946933746338;549;41;3;2584
14;0.2912936210632324;547;44;3;2570
15;0.3104135990142822;547;47;1;2543
16;0.32965517044067383;548;46;0;2511
17;0.34876513481140137;547;44;-3;2517
18;0.36818814277648926;552;40;-7;2508
19;0.38777804374694824;547;28;-14;2552
20;0.4069199562072754;537;27;-30;2591
21;0.4262669086456299;534;28;-59;2594
22;0.445462703704834;515;27;-86;2593
23;0.46453237533569336;483;28;-88;2593
24;0.48378849029541016;489;26;-82;2591
25;0.5033574104309082;492;26;-66;2607
26;0.5226850509643555;504;23;-1;2606
27;0.5417451858520508;539;19;11;2617
28;0.5609569549560547;540;14;13;2641
29;0.580040693283081;540;13;14;2687
30;0.5992517471313477;540;15;14;2704
31;0.6184916496276855;540;25;19;2704
32;0.6375024318695068;542;32;31;2645
33;0.6568593978881836;537;31;35;2615
34;0.6763832569122314;555;33;59;2612
35;0.6955230236053467;572;34;88;2610
36;0.7148258686065674;588;33;107;2616
37;0.7339808940887451;597;33;105;2614
38;0.753375768661499;598;34;101;2611
39;0.7727847099304199;589;35;45;2609
40;0.7920067310333252;556;39;3;2581
41;0.8112704753875732;548;42;2;2575
42;0.8305904865264893;547;48;1;2550
43;0.8498742580413818;547;46;0;2520
44;0.8690652847290039;547;46;-1;2517
45;0.8884139060974121;547;38;-4;2515
46;0.9076588153839111;545;28;-14;2550
47;0.926811695098877;550;27;-29;2595
48;0.9462125301361084;533;26;-53;2596
49;0.9655704498291016;521;28;-73;2600
50;0.9848372936248779;513;28;-90;2597
51;1.0040662288665771;475;27;-87;2598
52;1.0233492851257324;478;25;-78;2597
53;1.04258394241333;498;25;-25;2593
54;1.0619111061096191;528;24;11;2619
55;1.0812268257141113;539;28;-94;2633
56;1.1037886142730713;496;27;-87;2602
57;1.1230862140655518;491;24;-55;2608
58;1.1421411037445068;521;23;-4;2617
59;1.1614530086517334;539;22;9;2619
60;1.1809468269348145;539;16;11;2644
61;1.2000348567962646;539;14;12;2670
62;1.2191996574401855;539;16;14;2718
