;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.014750003814697266;552;40;13505;3185
1;0.03428077697753906;552;40;13527;3186
2;0.05356168746948242;550;31;13481;3199
3;0.07281374931335449;549;30;13482;3206
4;0.09204339981079102;544;29;13506;3232
5;0.11121416091918945;538;29;13505;3229
6;0.13054537773132324;529;30;13518;3223
7;0.1494600772857666;517;29;13518;3222
8;0.1685810089111328;517;29;13505;3224
9;0.18770670890808105;536;27;13505;3224
10;0.20699143409729004;550;24;13505;3230
11;0.22597837448120117;551;21;13506;3256
12;0.2448112964630127;551;22;13526;3284
13;0.2640202045440674;549;26;13504;3287
14;0.283156156539917;550;32;13504;3281
15;0.3021838665008545;552;33;13525;3242
16;0.3212437629699707;562;32;13506;3244
17;0.34006571769714355;578;33;13527;3245
18;0.3593273162841797;581;33;13516;3248
19;0.378704309463501;579;33;13509;3261
20;0.3978571891784668;571;34;13506;3256
21;0.41722798347473145;556;36;13506;3257
22;0.43642282485961914;551;37;13512;3237
23;0.45571255683898926;552;39;13519;3217
24;0.47481465339660645;552;41;13516;3209
25;0.49414539337158203;552;40;13504;3203
26;0.5131843090057373;551;34;13505;3222
27;0.5325231552124023;549;29;13505;3244
28;0.5517220497131348;548;29;13505;3246
29;0.570854663848877;537;29;13505;3238
30;0.5897955894470215;526;29;13519;3232
31;0.6090514659881592;521;29;13513;3229
32;0.6281073093414307;514;28;13527;3233
33;0.6472291946411133;515;30;13505;3221
34;0.6674509048461914;531;27;13505;3222
35;0.686514139175415;550;23;13505;3227
36;0.7054557800292969;549;21;13505;3251
37;0.724571704864502;550;22;13505;3269
38;0.7439556121826172;549;23;13523;3275
39;0.7630875110626221;552;31;13526;3280
40;0.7819404602050781;551;31;13508;3270
41;0.801673173904419;556;32;13508;3242
42;0.8206629753112793;566;26;13504;3304
43;0.8457667827606201;549;32;13526;3316
44;0.8603157997131348;576;37;13505;3257
45;0.8746645450592041;552;30;13505;3203
46;0.8891046047210693;518;21;13506;3262
47;0.903691291809082;551;32;13528;3262
48;0.9180684089660645;578;41;13506;3243
49;0.9325172901153564;551;29;13505;3255
50;0.9470958709716797;549;26;13505;3290
51;0.9616589546203613;556;34;13517;3256
52;0.9761257171630859;552;29;13516;3202
53;0.990689754486084;531;26;13513;3247
54;1.0052497386932373;549;31;13525;3304
55;1.0197265148162842;580;32;13521;3241
56;1.0362164974212646;552;29;13504;3185
57;1.0506501197814941;532;27;13521;3230
58;1.0652451515197754;550;32;13526;3286
59;1.0798349380493164;582;39;13504;3227
60;1.0943467617034912;551;29;13489;3170
61;1.1088659763336182;522;22;13504;3217
62;1.1235368251800537;549;32;13526;3234
63;1.1379327774047852;579;40;13527;3210
64;1.1524603366851807;549;29;13493;3218
65;1.1670992374420166;543;26;13516;3249
66;1.1815040111541748;557;33;13511;3224
67;1.1960442066192627;553;30;13515;3175
68;1.2106540203094482;532;26;13504;3225
69;1.224970817565918;550;32;13527;3285
70;1.23956298828125;580;39;13484;3238
71;1.2540717124938965;552;30;13505;3197
72;1.2685635089874268;514;21;13506;3252
73;1.2830915451049805;550;33;13506;3254
74;1.2975683212280273;572;41;13505;3240
75;1.3119733333587646;546;28;13504;3255
76;1.3264741897583008;548;29;13508;3296
77;1.3409721851348877;564;34;13504;3262
78;1.35538911819458;552;29;13498;3206
79;1.3699097633361816;528;24;13504;3259
80;1.384387731552124;550;32;13527;3320
81;1.3989384174346924;581;40;13504;3268
82;1.4134654998779297;552;29;13495;3242
83;1.4278502464294434;516;22;13505;3258
84;1.4424681663513184;553;33;13528;3255
85;1.4569742679595947;561;36;13505;3220
86;1.4712779521942139;547;28;13505;3245
87;1.4858968257904053;550;32;13525;3294
88;1.6729817390441895;552;30;13482;3200
89;1.6879982948303223;521;21;13505;3239
90;1.7027032375335693;549;32;13506;3252
91;1.7175102233886719;580;41;13506;3225
92;1.7318921089172363;550;29;13484;3238
93;1.7464210987091064;547;27;13505;3263
94;1.7609598636627197;558;34;13527;3242
95;1.775383710861206;551;30;13520;3187
96;1.7899396419525146;527;25;13506;3243
97;1.8044424057006836;548;32;13512;3302
98;1.8191773891448975;578;38;13506;3253
99;1.8336691856384277;550;30;13503;3209
100;1.8482003211975098;516;22;13527;3257
101;1.862705945968628;549;32;13526;3257
102;1.8773200511932373;577;41;13505;3247
