;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.015094518661499023;533;32;12416;3543
1;0.03422689437866211;533;30;12416;3962
2;0.05343818664550781;527;29;12393;3973
3;0.0729212760925293;524;30;12432;4236
4;0.09173274040222168;522;28;12438;4040
5;0.1077110767364502;537;31;12438;4161
6;0.12209343910217285;553;34;12419;3816
7;0.13645505905151367;543;30;12415;3798
8;0.15110540390014648;543;28;12438;3817
9;0.1656198501586914;546;32;12414;3735
10;0.18004441261291504;545;31;12417;3970
11;0.19446492195129395;546;30;12436;3987
12;0.20898032188415527;543;29;12437;4029
13;0.224442720413208;544;31;12427;4176
14;0.23905730247497559;537;31;12421;3894
15;0.2536008358001709;532;29;12420;3985
16;0.2680172920227051;537;31;12437;3929
17;0.28238487243652344;550;32;12438;3708
18;0.2968714237213135;535;30;12393;3972
19;0.3114187717437744;543;28;12417;3875
20;0.32575130462646484;533;32;12454;3949
21;0.3402085304260254;531;32;12432;4188
22;0.3547842502593994;522;29;12438;3983
23;0.3691885471343994;535;31;12429;4219
24;0.38351917266845703;544;32;12421;3939
25;0.39816761016845703;541;30;12393;3823
26;0.41251325607299805;535;28;12438;3957
27;0.42707180976867676;541;30;12438;3759
28;0.44147205352783203;549;34;12416;4044
29;0.45593738555908203;538;30;12419;3930
30;0.47045397758483887;539;29;12432;3992
31;0.4848294258117676;543;33;12422;3963
32;0.4993598461151123;541;30;12416;3952
33;0.5137295722961426;532;29;12438;3891
34;0.5282580852508545;543;32;12456;3969
35;0.5425443649291992;551;32;12415;3851
36;0.5571928024291992;539;29;12414;3995
37;0.5716793537139893;528;28;12437;3872
38;0.586115837097168;525;31;12439;4056
39;0.6007041931152344;540;34;12438;3811
40;0.6151309013366699;549;29;12440;4108
41;0.6295793056488037;537;30;12419;3928
42;0.6441667079925537;544;32;12423;4045
43;0.6587302684783936;536;30;12402;3850
44;0.6730086803436279;534;27;12416;4012
45;0.6873512268066406;536;30;12456;3947
46;0.7019116878509521;551;34;12415;3963
47;0.716285228729248;541;30;12415;3900
48;0.7307865619659424;539;28;12416;4020
49;0.7453281879425049;539;30;12439;3976
50;0.7598104476928711;542;31;12416;3957
51;0.7743821144104004;541;29;12414;3936
52;0.7888154983520508;543;30;12418;3978
53;0.803429126739502;551;30;12438;3911
54;0.8215334415435791;549;30;12439;3940
55;0.8404555320739746;541;31;12433;3862
56;0.8621368408203125;547;32;12423;3983
57;0.881068229675293;542;27;12427;3933
58;0.9066212177276611;536;30;12438;3949
59;0.9218137264251709;544;34;12438;3852
60;0.9360501766204834;541;30;12415;3986
61;0.9505167007446289;537;28;12429;3961
62;0.9650290012359619;539;30;12437;4019
63;0.9793634414672852;538;31;12437;3938
64;0.9938032627105713;536;30;12438;3955
65;1.0083234310150146;538;31;12437;3988
66;1.0227560997009277;547;32;12432;3949
67;1.0371475219726562;542;31;12404;3876
68;1.051560878753662;531;26;12415;4024
69;1.0660314559936523;525;30;12437;3865
70;1.0804998874664307;546;33;12443;3953
71;1.094968557357788;534;30;12415;3901
72;1.1094248294830322;539;30;12414;3940
73;1.1239373683929443;548;31;12415;3945
74;1.1383328437805176;539;31;12413;3921
75;1.1526222229003906;533;31;12416;3929
76;1.1671617031097412;537;30;12427;4029
77;1.1815414428710938;539;31;12438;3871
78;1.1959328651428223;524;31;12417;4109
79;1.210531234741211;536;29;12414;3887
80;1.2250137329101562;536;30;12438;4028
81;1.239349126815796;539;30;12460;3966
82;1.25370192527771;531;31;12416;3964
83;1.268235206604004;537;30;12420;3974
84;1.2825486660003662;543;30;12427;3934
85;1.2970819473266602;540;29;12414;3910
86;1.3116235733032227;534;30;12438;3964
87;1.3260440826416016;540;30;12415;3866
88;1.3405017852783203;544;32;12424;3950
89;1.3552439212799072;551;31;12415;3978
90;1.3698155879974365;543;30;12438;3888
91;1.3842649459838867;541;31;12417;4011
92;1.3988144397735596;541;30;12437;3815
93;1.4131629467010498;544;30;12438;3940
94;1.4276013374328613;537;30;12419;3967
95;1.4420368671417236;540;32;12416;3944
96;1.4563546180725098;533;30;12440;4057
97;1.4708600044250488;531;30;12429;3946
98;1.4853103160858154;538;30;12436;4031
99;1.4997258186340332;537;30;12438;3920
100;1.6780076026916504;538;30;12436;3913
101;1.6975796222686768;539;31;12424;3989
102;1.7146151065826416;535;30;12415;3958
103;1.7292745113372803;538;30;12415;3975
104;1.7436330318450928;538;30;12417;3969
105;1.7580924034118652;536;31;12414;3928
106;1.7725870609283447;540;31;12438;3980
107;1.787137508392334;535;31;12417;3932
108;1.8016409873962402;542;30;12439;3960
109;1.8161883354187012;540;31;12421;3973
110;1.8307278156280518;539;30;12421;3954
111;1.8451683521270752;545;30;12428;3978
112;1.8596229553222656;546;31;12438;3927
113;1.8754613399505615;540;31;12432;3922
114;1.8899168968200684;541;30;12431;3902
115;1.904524326324463;546;30;12419;3833
116;1.9189777374267578;543;32;12416;3786
117;1.933401346206665;547;31;12393;3832
118;1.9482207298278809;588;30;12370;3838
119;1.962670087814331;662;31;12348;3787
120;1.9771435260772705;838;30;12303;3859
121;1.991753101348877;1122;29;12258;3844
122;2.0061705112457275;1411;31;12195;4008
123;2.020642042160034;1794;31;12105;4046
124;2.035261631011963;2223;31;12049;3922
125;2.04974102973938;2851;31;11938;3877
126;2.0642294883728027;3448;30;11832;4037
127;2.078979015350342;4056;30;11698;3694
128;2.093480348587036;4574;30;11584;4122
129;2.108062982559204;5159;30;11461;3752
130;2.1225943565368652;5868;30;11291;3745
131;2.1372177600860596;6517;31;11135;4315
132;2.1518123149871826;8253;30;10982;3444
133;2.166217565536499;12305;32;10853;3739
134;2.1807713508605957;12823;32;10696;4894
135;2.195429801940918;12137;31;10569;3738
136;2.209994077682495;13345;30;10437;4941
137;2.2244207859039307;15523;29;10369;5021
138;2.2390661239624023;15274;32;10264;4234
139;2.253584623336792;16794;31;10195;5635
140;2.268073081970215;17364;31;10152;4031
141;2.282627582550049;17905;31;10105;5073
142;2.2970778942108154;18169;30;10058;4438
143;2.311624765396118;17812;30;10036;4012
144;2.3261220455169678;17962;30;9992;4919
145;2.3405826091766357;17243;32;9946;3723
146;2.355153799057007;17470;31;9894;4888
147;2.369567394256592;16219;30;9878;3732
148;2.3840320110321045;16504;29;9833;5128
149;2.4046790599823;15844;30;9811;3012
150;2.4199626445770264;16358;30;9771;5223
151;2.438936948776245;15821;31;9724;2923
152;2.4616141319274902;15709;30;9701;4526
153;2.4806125164031982;15989;29;9678;4276
154;2.499577760696411;15543;28;9634;4442
155;2.518676280975342;15040;31;9596;4352
156;2.537745475769043;14754;32;9565;3361
157;2.557081699371338;17337;32;9543;5308
158;2.57607102394104;14776;32;9508;3477
159;2.5949583053588867;13161;30;9477;4344
