;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.004099607467651367;464;28;6;-1001
1;0.020533323287963867;421;31;47;-1068
2;0.03580069541931152;433;19;-16;-1028
3;0.04875516891479492;395;27;41;-1027
4;0.061601877212524414;419;30;39;-1074
5;0.07448291778564453;389;15;5;-1018
6;0.08731389045715332;402;22;82;-1019
7;0.10021328926086426;421;34;28;-1089
8;0.11330795288085938;381;18;5;-1019
9;0.12618041038513184;425;32;30;-997
10;0.13902544975280762;423;38;-48;-1043
11;0.15275096893310547;405;24;4;-1046
12;0.16573882102966309;435;36;3;-991
13;0.17857718467712402;420;37;-66;-1026
14;0.1914198398590088;420;29;-20;-984
15;0.2043592929840088;452;44;11;-972
16;0.2172074317932129;440;33;-70;-1029
17;0.2300395965576172;415;29;-15;-950
18;0.24289774894714355;455;33;38;-1022
19;0.2557811737060547;419;19;-6;-1025
20;0.26863527297973633;393;27;51;-1022
21;0.28148603439331055;420;31;38;-1094
22;0.29428958892822266;372;15;6;-1025
23;0.3079838752746582;390;22;71;-1025
24;0.3208651542663574;423;32;36;-1088
25;0.33371782302856445;374;15;4;-1039
26;0.3466923236846924;402;26;62;-1008
27;0.3595592975616455;422;38;-11;-1059
28;0.3725004196166992;416;30;3;-992
29;0.38535380363464355;449;41;7;-974
30;0.39820313453674316;422;36;-71;-1025
31;0.4111189842224121;420;29;-28;-946
32;0.4239976406097412;460;46;16;-964
33;0.43685364723205566;434;30;-69;-1024
34;0.44971442222595215;409;29;-3;-983
35;0.4626474380493164;442;29;46;-1044
36;0.475513219833374;417;16;5;-1019
37;0.48836255073547363;394;24;61;-1023
38;0.5012397766113281;419;32;37;-1078
39;0.5141317844390869;386;15;6;-1001
40;0.5270466804504395;408;25;85;-1011
41;0.5399222373962402;421;36;3;-1080
42;0.5527739524841309;399;26;4;-1018
43;0.5656874179840088;437;37;6;-980
44;0.5785574913024902;421;35;-68;-1026
45;0.5914154052734375;420;29;-22;-947
46;0.6042900085449219;455;46;13;-946
47;0.617246150970459;439;33;-70;-1027
48;0.6301233768463135;413;30;-14;-951
49;0.6429829597473145;454;32;40;-1022
50;0.6558163166046143;417;18;-1;-1030
51;0.66867995262146;399;27;54;-1016
52;0.6815266609191895;419;30;38;-1071
53;0.6943693161010742;391;15;6;-1018
54;0.7072677612304688;407;21;84;-1016
55;0.7201335430145264;420;37;13;-1092
56;0.7329757213592529;394;25;4;-1018
57;0.7458221912384033;437;37;4;-980
58;0.7586538791656494;422;36;-68;-1027
59;0.7715182304382324;418;28;-21;-977
60;0.7843661308288574;462;46;13;-966
61;0.7972090244293213;443;32;-70;-1025
62;0.8101084232330322;412;30;-11;-958
63;0.8229515552520752;445;30;42;-1038
64;0.8357977867126465;423;16;4;-1036
65;0.8486390113830566;395;25;57;-1024
66;0.8614931106567383;420;30;38;-1085
67;0.8743350505828857;376;14;6;-1046
68;0.8871974945068359;399;23;85;-1013
69;0.9000298976898193;420;36;5;-1074
70;0.9129230976104736;401;26;3;-1022
71;0.9258065223693848;440;38;5;-991
72;0.9387147426605225;418;35;-67;-1027
73;0.9516594409942627;421;28;-18;-997
74;0.9645428657531738;459;45;12;-956
75;0.9774096012115479;440;33;-70;-1028
76;0.9903645515441895;415;29;-21;-912
77;1.0031764507293701;452;32;38;-1019
78;1.0160198211669922;421;19;-14;-1027
79;1.028956651687622;394;28;47;-1022
80;1.0418055057525635;364;31;39;-1084
81;1.05464768409729;399;13;5;-1028
82;1.0675182342529297;405;22;83;-1016
83;1.0803959369659424;421;35;20;-1083
84;1.0932528972625732;396;23;5;-1011
85;1.10618257522583;423;33;14;-995
86;1.1190931797027588;422;37;-59;-1024
87;1.1319351196289062;419;29;-8;-959
88;1.1447784900665283;461;46;10;-985
89;1.1576356887817383;430;33;-71;-1033
90;1.1704833507537842;415;29;-22;-917
91;1.1833217144012451;455;34;34;-1017
92;1.196171522140503;417;18;-15;-1022
93;1.2090659141540527;401;27;42;-1022
94;1.2219130992889404;419;30;39;-1085
95;1.2347502708435059;388;13;5;-984
96;1.2476184368133545;403;20;83;-1017
97;1.2604684829711914;420;34;21;-1088
98;1.273313045501709;389;23;4;-1034
99;1.2861549854278564;428;34;4;-991
100;1.299009084701538;422;36;-64;-1023
101;1.311915397644043;419;30;-10;-946
102;1.324760913848877;457;45;12;-976
103;1.337592601776123;440;33;-71;-1026
104;1.3516180515289307;418;30;-22;-972
105;1.3645141124725342;465;46;13;-987
106;1.3773455619812012;434;33;-70;-1034
107;1.390294075012207;414;29;-12;-935
108;1.4031343460083008;452;31;42;-1034
109;1.4159560203552246;423;16;-2;-1028
110;1.4288909435272217;410;25;53;-1022
111;1.4417295455932617;423;30;39;-1079
112;1.454585313796997;385;15;5;-1038
113;1.467423677444458;398;22;84;-1014
114;1.480348825454712;420;35;13;-1103
115;1.4931919574737549;406;25;4;-1009
116;1.6003234386444092;418;30;37;-1080
117;1.6144497394561768;381;14;6;-1027
118;1.6273093223571777;411;24;85;-1017
119;1.64017653465271;421;36;-2;-1075
120;1.6529865264892578;399;27;4;-1027
121;1.665881872177124;439;39;7;-972
122;1.6787214279174805;413;35;-69;-1024
123;1.6915664672851562;418;29;-26;-953
124;1.7044401168823242;454;46;16;-973
125;1.7173421382904053;448;32;-70;-1026
126;1.730309247970581;413;29;-10;-966
127;1.743192195892334;445;30;44;-1032
128;1.7560057640075684;410;17;2;-1028
129;1.7689340114593506;396;26;54;-1022
130;1.7817761898040771;420;31;39;-1092
131;1.7946226596832275;387;14;6;-1045
132;1.8081529140472412;396;21;75;-1024
133;1.8211183547973633;418;32;33;-1087
134;1.8339905738830566;383;16;5;-1034
135;1.8468425273895264;414;29;41;-1006
136;1.859692096710205;421;38;-29;-1060
137;1.8726322650909424;423;30;2;-996
138;1.8854689598083496;450;42;9;-986
139;1.8983306884765625;416;35;-72;-1026
140;1.9111616611480713;417;30;-37;-938
141;1.9240658283233643;456;43;22;-980
142;1.9370925426483154;430;28;-63;-1024
143;1.949950933456421;406;30;9;-992
144;1.9627885818481445;432;30;48;-1063
145;1.9757320880889893;401;16;6;-1028
146;1.9885921478271484;409;20;68;-1022
147;2.001425266265869;421;31;36;-1084
148;2.01428484916687;380;15;4;-1029
149;2.0272300243377686;417;26;67;-1010
150;2.0400760173797607;415;38;-14;-1071
151;2.052955150604248;409;30;3;-991
152;2.0658068656921387;452;40;8;-951
153;2.078644275665283;413;36;-72;-1026
154;2.091501235961914;419;30;-32;-963
155;2.1043572425842285;462;46;18;-976
156;2.11724591255188;441;30;-67;-1027
157;2.130096197128296;408;29;4;-991
158;2.1429343223571777;435;31;46;-1053
159;2.1557891368865967;394;14;6;-1024
160;2.1686434745788574;391;23;68;-1024
161;2.1814773082733154;420;31;36;-1086
162;2.194314479827881;379;15;4;-1054
163;2.207167863845825;403;28;58;-1007
164;2.220075845718384;421;38;-18;-1058
165;2.2329318523406982;417;30;4;-996
166;2.2457714080810547;447;40;8;-991
167;2.258619546890259;426;37;-72;-1028
168;2.2714810371398926;419;30;-34;-979
169;2.284316301345825;464;44;19;-982
170;2.2971625328063965;437;28;-58;-1026
171;2.310015916824341;405;30;11;-989
172;2.3229057788848877;433;30;46;-1064
173;2.3357489109039307;396;15;5;-1012
174;2.3486273288726807;402;22;70;-1020
175;2.361478567123413;421;32;36;-1089
176;2.3743019104003906;380;15;3;-1044
177;2.387213945388794;408;27;54;-1007
178;2.400052547454834;420;38;-23;-1051
179;2.4128966331481934;416;29;3;-980
180;2.425816535949707;449;41;7;-976
181;2.4386632442474365;422;36;-72;-1025
182;2.4515082836151123;417;28;-36;-965
183;2.4643607139587402;458;44;21;-984
184;2.4771997928619385;438;28;-57;-1026
185;2.49004864692688;406;29;13;-996
186;2.50287127494812;428;30;47;-1059
187;2.5157828330993652;401;15;6;-990
188;2.528688907623291;396;22;70;-1020
189;2.54156756401062;421;30;35;-1097
190;2.5544135570526123;386;15;5;-1012
191;2.567255735397339;406;31;54;-1007
192;2.5800938606262207;421;37;-23;-1059
