;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.0035400390625;90;25;40;2940
1;0.017212867736816406;95;35;27;2901
2;0.030648469924926758;88;31;13;2879
3;0.04644584655761719;77;28;-56;2916
4;0.05943632125854492;94;34;43;2908
5;0.07232856750488281;100;31;14;2888
6;0.08531355857849121;90;25;8;2930
7;0.09821248054504395;92;36;26;2907
8;0.11110973358154297;91;30;7;2877
9;0.12403082847595215;91;25;39;2935
10;0.13685107231140137;94;33;29;2901
11;0.14970159530639648;86;30;-20;2888
12;0.16253995895385742;90;29;95;2905
13;0.1755836009979248;100;29;29;2898
14;0.18853378295898438;76;29;-78;2899
15;0.2014458179473877;91;31;111;2902
16;0.2142493724822998;109;30;20;2902
17;0.22715497016906738;72;29;-90;2907
18;0.24005746841430664;94;33;88;2900
19;0.25290632247924805;103;32;-1;2890
20;0.265744686126709;89;27;-9;2921
21;0.2785921096801758;92;35;24;2903
22;0.291426420211792;94;30;8;2879
23;0.30439043045043945;92;25;32;2930
24;0.3172576427459717;94;35;28;2898
25;0.3300924301147461;88;28;-11;2877
26;0.3429563045501709;90;27;78;2916
27;0.35579514503479004;97;30;29;2894
28;0.368633508682251;75;31;-72;2910
29;0.38147854804992676;91;29;110;2906
30;0.3944110870361328;107;30;21;2900
31;0.4083976745605469;77;30;-84;2899
32;0.42134904861450195;91;31;110;2907
33;0.4342362880706787;108;30;21;2896
34;0.44722461700439453;72;30;-101;2911
35;0.4601857662200928;94;34;100;2902
36;0.4731326103210449;104;30;-3;2963
37;0.48604846000671387;86;28;-29;2920
38;0.4989750385284424;94;35;25;2909
39;0.5119726657867432;96;30;13;2881
40;0.5249581336975098;91;25;22;2930
41;0.5378849506378174;94;35;25;2902
42;0.5509634017944336;90;29;4;2868
43;0.5639944076538086;90;28;41;2939
44;0.5769000053405762;162;33;29;2899
45;0.5898911952972412;86;29;-16;2878
46;0.6028766632080078;90;28;77;2918
47;0.6158747673034668;98;30;30;2894
48;0.6287848949432373;75;30;-58;2892
49;0.641761064529419;89;29;110;2907
50;0.6546673774719238;104;31;21;2900
51;0.6676223278045654;75;30;-116;2904
52;0.6806020736694336;280;32;113;2901
53;0.6935193538665771;105;30;-5;2896
54;0.7065527439117432;76;28;-55;2914
55;0.7195169925689697;95;33;46;2904
56;0.7324473857879639;99;30;12;2891
57;0.745419979095459;92;26;5;2927
58;0.7583694458007812;93;35;25;2900
59;0.7713596820831299;91;31;7;2876
60;0.784355640411377;176;25;33;2931
61;0.7973101139068604;95;36;27;2897
62;0.8102803230285645;87;30;-5;2878
63;0.8232707977294922;89;27;64;2922
64;0.8361830711364746;96;30;33;2893
65;0.8490889072418213;80;30;-45;2888
66;0.862013578414917;90;30;102;2907
67;0.8750836849212646;102;31;23;2903
68;0.8881001472473145;73;30;-115;2905
69;0.9009966850280762;90;30;96;2907
70;0.915565013885498;100;30;29;2899
71;0.9286277294158936;76;30;-74;2900
72;0.9415383338928223;90;32;111;2903
73;0.9544351100921631;107;31;21;2900
74;0.9673395156860352;73;30;-103;2909
75;0.9802529811859131;92;32;102;2905
76;0.9932422637939453;104;31;-2;2894
77;1.0061979293823242;82;28;-34;2918
78;1.0191400051116943;95;35;25;2908
79;1.0320513248443604;193;30;12;2887
80;1.0450246334075928;92;25;22;2929
81;1.0579216480255127;93;36;26;2906
82;1.070854663848877;89;30;1;2872
83;1.0837199687957764;90;26;45;2938
84;1.0968024730682373;95;33;30;2896
85;1.1097462177276611;85;29;-20;2886
86;1.1226534843444824;90;29;92;2909
87;1.135554552078247;99;30;28;2898
88;1.1485929489135742;77;29;-79;2893
89;1.1615328788757324;91;30;111;2902
90;1.1744604110717773;107;31;21;2897
91;1.1874933242797852;74;28;-113;2906
92;1.2004060745239258;93;31;109;2905
93;1.2134015560150146;104;32;-6;2896
94;1.2263517379760742;83;28;-39;2918
95;1.2392692565917969;97;35;25;2906
96;1.2522048950195312;96;30;13;2884
97;1.265103816986084;92;25;21;2928
98;1.2780251502990723;93;36;26;2904
99;1.2909538745880127;90;29;3;2915
100;1.3039634227752686;91;26;38;2931
101;1.3171777725219727;94;35;28;2895
102;1.3301527500152588;87;29;-12;2877
103;1.3430867195129395;89;27;74;2917
104;1.3560700416564941;97;30;30;2898
105;1.3689765930175781;78;29;-55;2891
106;1.3818700313568115;91;31;108;2904
107;1.3948249816894531;105;30;21;2969
108;1.4077351093292236;74;28;-115;2902
109;1.4207611083984375;91;31;117;2904
110;1.4336771965026855;105;30;-3;2896
111;1.446577548980713;78;29;-48;2912
112;1.4594824314117432;93;34;35;2909
113;1.4724311828613281;98;31;14;2888
114;1.4854342937469482;90;29;11;2930
115;1.4983563423156738;93;35;25;2924
116;1.5113303661346436;91;30;5;2872
117;1.5242359638214111;91;25;36;2938
118;1.537245750427246;94;35;29;2903
119;1.55019211769104;87;29;-11;2884
120;1.5631225109100342;90;28;77;2915
121;1.5760438442230225;98;30;31;2896
122;1.58896803855896;76;31;-58;2895
123;1.6018600463867188;269;31;107;2903
124;1.6148760318756104;105;30;22;2900
125;1.627793788909912;76;29;-116;2905
126;1.6408824920654297;90;31;117;2908
127;1.6538076400756836;106;30;2;2898
