;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.005700111389160156;29;29;13239;-752
1;0.02081584930419922;44;33;13239;-755
2;0.03518223762512207;29;30;13240;-774
3;0.05059313774108887;26;26;13240;-730
4;0.0635063648223877;29;36;13240;-754
5;0.07649064064025879;31;31;13253;-776
6;0.08935141563415527;26;27;13223;-726
7;0.10240316390991211;38;36;13239;-753
8;0.11529231071472168;29;30;13218;-767
9;0.12815642356872559;29;29;13238;-725
10;0.141082763671875;45;30;13243;-752
11;0.15395379066467285;19;30;13239;-758
12;0.16687798500061035;31;29;13249;-750
13;0.17979788780212402;42;30;13239;-748
14;0.19274353981018066;12;27;13240;-754
15;0.20577526092529297;30;32;13240;-752
16;0.21868228912353516;37;29;13240;-779
17;0.23155665397644043;15;24;13261;-740
18;0.24445629119873047;30;34;13241;-752
19;0.25739479064941406;33;30;13252;-782
20;0.27025818824768066;28;26;13262;-727
21;0.28324294090270996;28;37;13240;-752
22;0.2961287498474121;30;30;13240;-773
23;0.3091001510620117;29;28;13239;-723
24;0.322007417678833;46;36;13240;-749
25;0.33488988876342773;27;30;13246;-763
26;0.34775686264038086;30;30;13240;-735
27;0.36068105697631836;44;30;13239;-759
28;0.37354612350463867;15;30;13239;-755
29;0.38640618324279785;28;31;13240;-757
30;0.3992581367492676;41;34;13240;-752
31;0.4144101142883301;21;30;13257;-752
32;0.42734694480895996;31;30;13239;-744
33;0.4402761459350586;44;30;13263;-751
34;0.45318031311035156;14;29;13241;-749
35;0.46608829498291016;28;31;13239;-752
36;0.47896456718444824;39;31;13239;-771
37;0.4917933940887451;13;24;13240;-747
38;0.5047092437744141;31;33;13220;-751
39;0.5175297260284424;33;30;13240;-786
40;0.5304596424102783;27;26;13240;-729
41;0.5433206558227539;30;35;13257;-749
42;0.5561792850494385;28;30;13252;-776
43;0.569082498550415;26;28;13239;-722
44;0.581977367401123;41;36;13240;-754
45;0.5948450565338135;26;30;13239;-765
46;0.6077969074249268;30;29;13262;-733
47;0.6206498146057129;45;29;13240;-757
48;0.6334958076477051;16;31;13239;-751
49;0.6464114189147949;29;30;13239;-755
50;0.6592628955841064;42;30;13241;-760
51;0.6721904277801514;14;25;13241;-752
52;0.6850481033325195;29;32;13241;-749
53;0.6979024410247803;35;30;13240;-781
54;0.7107992172241211;21;26;13246;-731
55;0.7237062454223633;31;35;13251;-756
56;0.7365522384643555;32;30;13235;-777
57;0.7494027614593506;29;28;13239;-720
58;0.7622346878051758;37;36;13219;-749
59;0.7750873565673828;29;30;13243;-767
60;0.7879409790039062;30;29;13252;-731
61;0.8008418083190918;45;31;13241;-750
62;0.8138198852539062;17;31;13239;-757
63;0.8266682624816895;29;29;13242;-756
64;0.8396053314208984;41;30;13239;-751
65;0.8524453639984131;12;27;13240;-752
66;0.8653333187103271;31;32;13241;-750
67;0.8782014846801758;36;30;13239;-788
68;0.8911037445068359;17;25;13241;-741
69;0.9040191173553467;26;34;13243;-748
70;0.9168927669525146;30;31;13240;-781
71;0.929783821105957;29;26;13241;-732
72;0.9427230358123779;30;37;13240;-750
73;0.955582857131958;33;30;13241;-768
74;0.9684412479400635;29;29;13240;-724
75;0.9813320636749268;46;33;13241;-750
76;0.9942388534545898;22;29;13262;-757
77;1.0072107315063477;30;30;13240;-744
78;1.0200741291046143;48;30;13219;-751
79;1.0329270362854004;16;29;13240;-752
80;1.0457706451416016;29;31;13240;-750
81;1.058624029159546;40;30;13240;-775
82;1.0715341567993164;14;25;13240;-745
83;1.0843908786773682;29;33;13241;-753
84;1.0973355770111084;38;31;13218;-779
85;1.1102721691131592;27;27;13246;-727
86;1.1231703758239746;29;35;13251;-749
87;1.1360347270965576;30;31;13240;-773
88;1.1489410400390625;30;28;13258;-722
89;1.1618058681488037;42;35;13239;-751
90;1.1746604442596436;26;30;13216;-762
91;1.1875004768371582;29;31;13246;-736
92;1.2003467082977295;45;33;13240;-756
93;1.2140274047851562;23;30;13239;-762
94;1.227020263671875;30;29;13242;-745
95;1.2399022579193115;43;28;13240;-750
96;1.2528703212738037;15;28;13232;-755
97;1.2657878398895264;30;31;13228;-755
98;1.278672456741333;39;30;13241;-768
99;1.2915191650390625;13;24;13241;-745
100;1.3043935298919678;29;33;13241;-747
101;1.3174536228179932;33;30;13240;-784
102;1.3303182125091553;24;27;13245;-730
103;1.3432250022888184;28;36;13240;-749
104;1.3561067581176758;30;30;13218;-776
105;1.3689465522766113;30;27;13240;-722
106;1.3817932605743408;41;35;13241;-760
107;1.3947463035583496;27;30;13240;-763
108;1.4075911045074463;31;29;13239;-732
109;1.4205951690673828;46;30;13240;-750
110;1.4334309101104736;18;29;13241;-754
111;1.4463531970977783;28;30;13246;-752
112;1.4591972827911377;42;30;13240;-758
113;1.4720942974090576;14;25;13241;-750
114;1.4849512577056885;29;31;13220;-751
115;1.4977922439575195;35;30;13240;-780
116;1.51069974899292;19;26;13239;-737
117;1.52354097366333;27;35;13240;-752
118;1.5364456176757812;30;29;13241;-777
119;1.549288272857666;29;27;13240;-725
120;1.5621263980865479;35;36;13241;-751
121;1.5749812126159668;28;31;13240;-768
122;1.5878527164459229;30;30;13231;-725
123;1.6007251739501953;44;32;13241;-751
124;1.6136364936828613;21;30;13240;-756
125;1.6265413761138916;31;29;13241;-757
126;1.6394867897033691;43;32;13239;-753
127;1.6542813777923584;26;29;13240;-762
128;1.6671907901763916;30;29;13239;-735
129;1.6800930500030518;44;31;13241;-753
130;1.692943811416626;17;29;13240;-755
131;1.7057762145996094;28;32;13246;-748
132;1.7186672687530518;38;31;13241;-769
133;1.7315280437469482;14;25;13217;-748
134;1.7443675994873047;29;33;13240;-750
135;1.757272720336914;33;31;13241;-777
136;1.7701036930084229;24;25;13250;-726
137;1.7829382419586182;29;35;13240;-754
138;1.7957587242126465;30;30;13218;-776
139;1.808591604232788;29;28;13240;-721
140;1.8214378356933594;45;35;13240;-752
141;1.8342835903167725;24;30;13219;-761
142;1.8471179008483887;30;30;13244;-739
143;1.8599598407745361;46;30;13241;-758
144;1.8728187084197998;15;30;13241;-753
145;1.8856616020202637;30;31;13240;-754
146;1.8985395431518555;40;30;13251;-769
147;1.9113850593566895;13;25;13240;-748
148;1.9242944717407227;30;33;13241;-752
149;1.9372050762176514;34;29;13239;-783
150;1.9500911235809326;26;25;13241;-731
151;1.9629600048065186;27;35;13240;-753
152;1.9759109020233154;30;30;13233;-776
153;1.9887807369232178;30;28;13241;-725
154;2.001617908477783;40;36;13235;-752
155;2.014509916305542;27;30;13262;-767
156;2.0274593830108643;29;29;13263;-728
157;2.040342092514038;43;31;13261;-755
158;2.053239107131958;18;31;13245;-751
159;2.06609845161438;29;29;13240;-748
160;2.078944683074951;42;30;13233;-757
161;2.091759204864502;12;25;13217;-753
162;2.104597330093384;29;32;13218;-757
163;2.1174867153167725;35;31;13239;-783
164;2.130352020263672;19;25;13225;-737
165;2.143275022506714;30;35;13250;-754
166;2.156132698059082;30;30;13223;-778
167;2.1689765453338623;26;26;13238;-722
168;2.181867837905884;36;37;13241;-749
169;2.194761276245117;27;31;13240;-766
170;2.2076025009155273;30;29;13240;-729
171;2.2206788063049316;45;31;13217;-751
172;2.2335119247436523;21;30;13239;-761
173;2.2464334964752197;29;31;13256;-755
174;2.2593939304351807;43;31;13240;-753
175;2.2722229957580566;13;26;13240;-752
176;2.2850799560546875;30;30;13259;-751
177;2.297926902770996;37;30;13218;-785
178;2.310763120651245;14;25;13240;-744
179;2.3237364292144775;29;34;13239;-751
180;2.3365702629089355;31;31;13240;-781
181;2.3494744300842285;28;26;13242;-728
182;2.3623530864715576;30;36;13263;-752
183;2.375180959701538;28;30;13240;-771
184;2.388035297393799;30;28;13240;-723
185;2.400872230529785;44;33;13240;-750
186;2.4137682914733887;23;30;13239;-754
187;2.4266529083251953;28;30;13240;-744
188;2.4395806789398193;44;29;13223;-753
189;2.4524242877960205;14;28;13240;-754
190;2.4652631282806396;30;30;13240;-753
191;2.478102207183838;39;30;13240;-771
192;2.49094557762146;12;25;13240;-748
193;2.5039052963256836;30;33;13218;-755
194;2.516746759414673;31;31;13240;-782
195;2.5296401977539062;30;25;13251;-730
196;2.542494773864746;31;36;13240;-752
197;2.555370807647705;31;30;13239;-768
198;2.5682244300842285;29;28;13240;-719
199;2.581088066101074;42;36;13219;-755
200;2.5939278602600098;26;30;13240;-758
201;2.6068148612976074;31;30;13251;-740
202;2.6197049617767334;44;30;13240;-746
203;2.632702350616455;16;30;13240;-752
204;2.6455912590026855;30;30;13219;-751
205;2.6584389209747314;39;30;13240;-766
206;2.671292304992676;12;25;13244;-752
207;2.6842074394226074;29;32;13240;-750
208;2.697049856185913;34;31;13242;-777
209;2.712165117263794;15;29;13240;-752
210;2.7253122329711914;29;31;13241;-750
211;2.7382304668426514;44;31;13224;-771
212;2.7510921955108643;13;25;13241;-749
213;2.7639431953430176;29;32;13246;-747
214;2.7768054008483887;32;31;13240;-778
215;2.7896974086761475;26;26;13240;-733
216;2.8025951385498047;31;36;13240;-750
217;2.8154280185699463;29;30;13242;-770
218;2.8283348083496094;29;28;13239;-720
219;2.8411786556243896;41;35;13239;-752
220;2.8540995121002197;28;30;13238;-759
221;2.866955280303955;27;30;13262;-736
222;2.879793167114258;45;29;13241;-751
223;2.892730951309204;16;30;13218;-766
224;2.9074466228485107;30;29;13240;-723
225;2.9203333854675293;46;33;13256;-753
226;2.933248281478882;21;30;13239;-757
227;2.946129083633423;30;29;13241;-748
228;2.9589693546295166;43;30;13240;-751
229;2.971806287765503;12;28;13241;-753
230;2.984652519226074;28;31;13241;-752
231;2.997488498687744;39;29;13228;-784
232;3.010322093963623;17;24;13241;-741
233;3.0232884883880615;30;35;13256;-751
234;3.036226272583008;32;30;13240;-779
235;3.0490803718566895;30;27;13240;-724
236;3.061981439590454;31;36;13242;-754
237;3.0748343467712402;29;29;13241;-767
238;3.087671995162964;30;29;13229;-724
239;3.1005783081054688;44;34;13240;-753
240;3.113430976867676;24;30;13239;-754
241;3.126389980316162;31;29;13240;-743
242;3.139240026473999;48;30;13240;-755
243;3.1520848274230957;15;30;13240;-752
244;3.1649930477142334;30;30;13240;-749
245;3.177839994430542;39;31;13241;-776
246;3.190676212310791;13;25;13239;-750
247;3.203561782836914;30;33;13239;-754
248;3.2164039611816406;32;31;13240;-780
249;3.2293214797973633;28;26;13225;-729
250;3.242199182510376;30;37;13241;-751
251;3.2550530433654785;30;30;13239;-771
252;3.2678945064544678;29;28;13262;-720
253;3.2807300090789795;45;34;13239;-750
254;3.2935686111450195;24;29;13240;-760
