;Time;Thrust;BEM_Pressure;N2O_Pressure;N2O_Weight
0;0.005032777786254883;36;6;19;2887
1;0.021574974060058594;33;0;-42;2905
2;0.036071062088012695;36;4;70;2900
3;0.05126023292541504;39;13;22;2898
4;0.06423544883728027;35;7;-167;2895
5;0.07712054252624512;38;7;135;2898
6;0.09003496170043945;38;7;22;2895
7;0.10299205780029297;33;2;-128;2895
8;0.11594843864440918;37;8;162;2894
9;0.1288008689880371;39;5;22;2892
10;0.14167189598083496;33;-2;-32;2900
11;0.15451812744140625;36;12;121;2897
12;0.16735076904296875;37;6;20;2892
13;0.18022918701171875;35;1;21;2905
14;0.19307160377502441;36;16;22;2896
15;0.206024169921875;38;6;-91;2890
16;0.2188889980316162;37;3;38;2898
17;0.23176288604736328;40;14;23;2897
18;0.24460101127624512;35;6;-153;2893
19;0.2575101852416992;36;7;107;2903
20;0.2703561782836914;41;7;23;2897
21;0.28319406509399414;34;3;-139;2898
22;0.2960329055786133;36;7;162;2900
23;0.3089597225189209;39;6;24;2893
24;0.3218402862548828;31;-2;-43;2896
25;0.3346827030181885;37;10;145;2891
26;0.3475487232208252;38;5;20;2889
27;0.3603792190551758;34;0;18;2905
28;0.373288631439209;37;16;22;2901
29;0.3861386775970459;37;6;-76;2899
30;0.3989691734313965;37;2;35;2908
31;0.41185975074768066;41;15;22;2898
32;0.4247136116027832;35;5;-159;2895
33;0.43755340576171875;37;7;103;2906
34;0.45038557052612305;39;7;22;2895
35;0.46325254440307617;33;4;-140;2901
36;0.4761018753051758;37;8;163;2900
37;0.4889383316040039;38;7;23;2892
38;0.5018632411956787;33;-1;-52;2904
39;0.5147843360900879;37;10;151;2898
40;0.5276293754577637;38;5;22;2891
41;0.5405693054199219;36;0;12;2901
42;0.5534408092498779;36;15;23;2895
43;0.5662908554077148;37;6;-17;2889
44;0.5792527198791504;36;1;27;2903
45;0.5921380519866943;39;15;23;2900
46;0.6050481796264648;35;6;-154;2896
47;0.6179256439208984;37;5;77;2906
48;0.6307768821716309;40;11;23;2896
49;0.6437203884124756;35;6;-157;2894
50;0.6565711498260498;37;7;153;2893
51;0.6693999767303467;38;6;23;2895
52;0.6823399066925049;32;-1;-79;2895
53;0.695206880569458;36;9;157;2902
54;0.7080538272857666;39;6;19;2896
55;0.7209014892578125;33;-1;0;2901
56;0.7338495254516602;37;13;61;2898
57;0.746696949005127;36;7;16;2890
58;0.7596209049224854;37;0;24;2902
59;0.7725107669830322;37;15;22;2893
60;0.7853507995605469;35;5;-175;2896
61;0.7981946468353271;38;5;60;2906
62;0.8110494613647461;40;12;23;2901
63;0.8238911628723145;34;6;-155;2898
64;0.8367283344268799;35;6;148;2902
65;0.8496537208557129;39;6;22;2906
66;0.8625071048736572;32;0;-92;2897
67;0.8753542900085449;36;7;158;2896
68;0.8896255493164062;40;7;22;2896
69;0.9028666019439697;33;2;-123;2899
70;0.915719747543335;36;7;162;2897
71;0.9285604953765869;38;6;21;2893
72;0.9414060115814209;34;-2;-52;2907
73;0.9548892974853516;37;9;155;2896
74;0.9677503108978271;39;6;19;2895
75;0.9806239604949951;35;-1;9;2902
76;0.993483304977417;37;15;24;2896
77;1.1050291061401367;36;5;-29;2893
78;1.186307430267334;37;7;-153;2894
79;1.196589708328247;38;3;39;2904
80;1.2110886573791504;40;7;23;2900
81;1.2209031581878662;35;4;28;2899
82;1.2307305335998535;41;6;23;2894
83;1.240541696548462;34;5;38;2900
84;1.250326156616211;39;7;22;2892
85;1.2601537704467773;36;7;47;2907
86;1.2699205875396729;40;6;21;2898
87;1.2797138690948486;36;6;69;2903
88;1.2895469665527344;40;6;20;2894
89;1.2993404865264893;37;7;92;2905
90;1.309129238128662;39;6;19;2890
91;1.3189096450805664;36;8;119;2899
92;1.32869553565979;39;6;20;2889
93;1.3384828567504883;36;7;146;2904
94;1.3482568264007568;38;4;13;2888
95;1.3580267429351807;36;7;160;2908
96;1.3678090572357178;36;6;-67;2888
97;1.3775849342346191;38;9;163;2902
98;1.3874104022979736;37;5;-109;2901
99;1.3971788883209229;35;8;162;2895
100;1.406977653503418;37;6;-176;2894
101;1.4167978763580322;36;12;156;2895
102;1.4265663623809814;36;5;-153;2898
103;1.4363868236541748;37;13;151;2895
104;1.4461731910705566;37;6;-153;2898
105;1.455965280532837;36;15;110;2900
106;1.4657328128814697;35;4;-154;2898
107;1.4755172729492188;37;15;62;2892
108;1.4852864742279053;36;1;-156;2901
109;1.495068073272705;36;16;23;2893
