Time [s];Waga rybacka [kg];pressure_tank
0.04252481460571289;0.007;0.002
0.9633667469024658;0.001;0.022
1.8442857265472412;0.002;0.05
2.716209650039673;0.001;-0.002
3.534588575363159;0.002;-0.01
4.4089367389678955;-0.001;-0.03
5.282788276672363;0.002;0.014
6.139226913452148;0.002;0.05
7.027832508087158;0.001;-0.018
7.9308507442474365;0.001;-0.006
8.964605808258057;-0.001;-0.026
9.799926042556763;-0.001;-0.006
10.665418863296509;-0.001;-0.01
11.520874500274658;-0.004;-0.038
12.348891973495483;0.004;0.002
13.152002811431885;-0.001;0.05
13.967211246490479;0.008;1.652
14.859126091003418;0.022;4.204
15.731839656829834;0.032;5.993
16.646584033966064;0.055;8.394
17.501293182373047;0.034;11.038
18.359214782714844;0.078;24.435
19.223448514938354;0.081;21.903
20.088510513305664;0.144;17.653
20.997095823287964;0.159;18.043
21.829019784927368;0.204;18.941
22.614875555038452;0.174;19.999
23.401540756225586;2.12;20.643
24.19569206237793;0.255;21.362
25.002843141555786;0.234;22.225
25.801480293273926;0.255;22.853
26.596468925476074;0.247;23.577
27.403894424438477;0.252;23.422
28.20215344429016;0.247;23.394
29.1451313495636;0.25;23.39
29.965346813201904;0.241;23.302
30.786367654800415;0.25;23.147
31.613523244857788;0.247;23.028
32.43552851676941;0.253;23.04
33.268160343170166;0.247;23.123
34.091349601745605;0.247;22.941
34.968501567840576;0.25;22.941
35.855165004730225;0.247;23.028
36.73397493362427;0.25;23.028
37.61792469024658;0.244;22.762
38.492741107940674;0.247;22.579
39.39795184135437;0.252;22.849
40.28766655921936;0.247;22.961
41.18228554725647;0.249;22.666
41.976707458496094;0.249;22.579
42.77834725379944;0.243;22.67
43.57011914253235;0.247;22.762
44.36174201965332;0.244;22.845
45.1579372882843;0.249;22.579
45.94734835624695;0.249;22.611
46.74441623687744;0.25;22.758
47.531718492507935;0.246;22.694
48.320730209350586;0.253;22.766
49.1394145488739;0.249;22.805
49.9491491317749;0.252;22.801
50.91410803794861;0.256;22.762
51.72124934196472;0.25;22.762
52.52740693092346;0.25;22.766
53.34140491485596;0.25;22.67
54.1490216255188;0.252;22.762
54.96585559844971;0.244;22.758
55.77324652671814;0.252;22.849
56.5884485244751;0.247;22.758
57.3966600894928;0.264;22.972
58.22689247131348;0.252;23.302
59.0661985874176;0.253;24.018
59.89660978317261;0.268;24.626
60.736811876297;0.277;25.254
61.56800556182861;0.274;25.799
62.400054693222046;0.266;26.523
63.23904991149902;0.284;27.155
64.07105612754822;0.292;27.779
64.91366934776306;0.295;28.423
65.74584937095642;0.301;29.115
66.6014838218689;0.295;29.747
67.45889592170715;0.311;30.096
68.32492160797119;0.34;30.275
69.19734406471252;0.326;30.454
70.06466126441956;0.369;30.721
70.93931555747986;0.381;30.991
71.80597400665283;0.355;31.253
72.68117904663086;0.423;31.579
73.70529413223267;0.434;31.862
74.56996011734009;0.44;32.128
75.44348502159119;0.413;32.466
76.31035089492798;0.474;32.665
77.2092502117157;0.489;32.931
78.09814167022705;0.493;33.289
79.00140380859375;0.501;33.555
79.9030978679657;0.519;33.877
80.81103754043579;0.559;34.179
81.71321821212769;0.563;34.446
82.62028241157532;0.595;34.72
83.43833637237549;0.592;34.99
84.26538109779358;0.614;35.257
85.07966899871826;0.622;35.44
85.90371823310852;0.635;35.702
86.71730899810791;0.65;35.96
87.53168654441833;0.653;36.107
88.35504269599915;0.681;36.39
89.1711494922638;0.689;36.517
89.99488615989685;0.716;36.688
90.81003451347351;0.723;36.946
91.62541770935059;0.739;37.129
92.44982051849365;0.747;37.3
93.26451969146729;0.769;37.547
94.24731230735779;0.789;37.658
95.06199812889099;0.78;37.928
95.87841320037842;0.796;38.02
96.72549724578857;0.82;38.286
97.57587623596191;0.831;38.373
98.43435001373291;0.851;38.58
99.28398013114929;0.859;38.811
100.14348912239075;0.872;38.962
101.00018739700317;0.878;39.109
101.85838627815247;0.902;39.256
102.72550916671753;0.905;39.479
103.5811550617218;0.919;39.634
104.44695377349854;0.93;39.848
105.30352306365967;0.942;39.888
106.15835189819336;0.948;40.075
107.02317571640015;0.965;40.345
107.87860155105591;0.977;40.476
108.74357414245605;0.984;40.612
109.5989944934845;0.999;40.699
110.46329998970032;1.007;40.886
111.27712273597717;1.019;41.065
112.08903169631958;1.029;41.148
112.90874195098877;1.032;41.327
113.7200129032135;1.047;41.498
114.5403835773468;1.054;41.586
115.37579679489136;1.066;41.769
116.21011352539062;1.074;41.852
117.21953988075256;1.084;42.118
118.05287075042725;1.095;42.206
118.89409589767456;1.105;42.385
119.72709441184998;1.113;42.476
120.56364274024963;1.121;42.659
121.4043607711792;1.133;42.75
122.23825669288635;1.132;42.925
123.0811812877655;1.15;43.013
123.91634845733643;1.159;43.188
124.76185011863708;1.163;43.283
125.59669613838196;1.165;43.375
126.43031406402588;1.175;43.375
127.27329277992249;1.175;43.331
128.1091296672821;1.184;43.279
128.95327877998352;1.175;43.283
129.78953385353088;1.175;43.327
130.62447094917297;1.18;43.267
131.46879482269287;1.184;43.192
132.3056697845459;1.177;43.188
133.15211725234985;1.177;43.104
133.98826479911804;1.184;43.021
134.8581781387329;1.183;43.057
135.71602535247803;1.198;42.953
136.57198023796082;1.187;42.921
137.4375035762787;1.189;42.921
138.2951774597168;1.19;42.925
139.33571934700012;1.19;42.921
140.1920280456543;1.192;42.838
141.048002243042;1.19;42.925
141.91363430023193;1.195;42.838
142.77227807044983;1.192;42.898
143.64349150657654;1.198;42.838
144.50602912902832;1.196;42.838
145.36378359794617;1.202;42.834
146.2306592464447;1.199;42.838
147.08855199813843;1.205;42.782
147.95770478248596;1.21;42.85
148.8162326812744;1.204;42.838
149.68255805969238;1.204;42.834
